time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.5,,22.5,22.4,,0,,,29,1.6,39,1.3,21,2.9,,,,,,,,,,,
2013-9-1 00:00:00,22.5,,23.1,22.5,,0,,,71,0.4,44,0.7,52,3.3,,,,,,,,,,,
2013-8-31 23:00:00,23.1,,23.2,23.1,,0,,,57,1.1,32,1,35,4.7,,,,,,,,,,,
2013-8-31 22:00:00,23.2,,23.8,23.2,,0,,,15,2.1,51,1.5,71,5.3,,,,,,,,,,,
2013-8-31 21:00:00,23.8,,24.3,23.8,,0,,,18,2.8,48,2.9,46,6.6,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,24.7,24.3,,0,,,49,1.5,52,1.9,40,6.3,,,,,,,,,,,
2013-8-31 19:00:00,24.7,,25.2,24.7,,0,,,26,5.1,57,2.4,38,6.8,,,,,,,,,,,
2013-8-31 18:00:00,25.2,,26,25.2,,0,,,77,1.3,53,1.9,32,7.7,,,,,,,,,,,
2013-8-31 17:00:00,26,,26.9,25.9,,0,,,52,4.6,56,2.5,52,8.2,,,,,,,,,,,
2013-8-31 16:00:00,27,,28.8,27,,0,,,29,1.9,41,3.1,46,8.1,,,,,,,,,,,
2013-8-31 15:00:00,27.8,,28.9,27.7,,0,,,350,2.6,53,2.7,49,6.8,,,,,,,,,,,
2013-8-31 14:00:00,27.8,,28.6,27.4,,0,,,32,2,33,2,52,8.2,,,,,,,,,,,
2013-8-31 13:00:00,27.9,,29.2,27.8,,0,,,358,1.4,52,2.1,32,5.2,,,,,,,,,,,
2013-8-31 12:00:00,29.4,,29.9,28.3,,0,,,60,2,14,2,7,4.8,,,,,,,,,,,
2013-8-31 11:00:00,28.4,,28.6,28,,0,,,46,2.2,50,2.4,52,5.5,,,,,,,,,,,
2013-8-31 10:00:00,28.5,,28.7,27.7,,0,,,40,0.8,44,2.3,32,6.9,,,,,,,,,,,
2013-8-31 9:00:00,27.9,,28,26.2,,0,,,52,1.8,23,1.8,46,4.2,,,,,,,,,,,
2013-8-31 8:00:00,26.3,,26.3,25.6,,0,,,66,1,28,1.3,46,4.9,,,,,,,,,,,
2013-8-31 7:00:00,25.6,,25.6,24.5,,0,,,40,1.8,53,1.8,60,7.2,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.5,24.2,,0,,,74,1.7,45,1.5,77,4.3,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.6,24.3,,0,,,21,1.3,46,1.5,40,6.2,,,,,,,,,,,
2013-8-31 4:00:00,24.6,,24.7,24.6,,0,,,49,2.9,54,2.1,85,5.9,,,,,,,,,,,
2013-8-31 3:00:00,24.7,,24.9,24.7,,0,,,35,1.6,52,2.6,52,5.9,,,,,,,,,,,
2013-8-31 2:00:00,24.9,,25.2,24.9,,0,,,18,2.3,44,2.3,32,7.5,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.6,25.2,,0,,,128,1.5,52,2,38,6.3,,,,,,,,,,,
2013-8-31 00:00:00,25.6,,25.8,25.6,,0,,,32,5.1,40,2.5,29,7.9,,,,,,,,,,,
2013-8-30 23:00:00,25.8,,26,25.8,,0,,,52,4.2,52,3.2,52,8.8,,,,,,,,,,,
2013-8-30 22:00:00,26,,26.5,26,,0,,,52,2.2,50,1.9,52,8.3,,,,,,,,,,,
2013-8-30 21:00:00,26.5,,27.3,26.5,,0,,,66,4.5,50,2.6,35,8.2,,,,,,,,,,,
2013-8-30 20:00:00,27.3,,27.9,27.3,,0,,,43,1.3,52,2.8,46,8.1,,,,,,,,,,,
2013-8-30 19:00:00,27.9,,28.7,27.9,,0,,,88,1.9,51,2.4,43,10.3,,,,,,,,,,,
2013-8-30 18:00:00,28.7,,29.6,28.7,,0,,,91,3.1,45,3.9,49,9.7,,,,,,,,,,,
