time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,24,,24.1,23.9,,0,,,46,1.1,28,1.4,26,5.5,,,,,,,,,,,
2013-9-1 00:00:00,23.9,,23.9,23.6,,0,,,29,3,37,2.5,38,5.3,,,,,,,,,,,
2013-8-31 23:00:00,23.8,,24.2,23.8,,0,,,26,0.9,29,1.2,52,5.1,,,,,,,,,,,
2013-8-31 22:00:00,24.2,,24.8,24.2,,0,,,7,3.5,26,1.5,29,7,,,,,,,,,,,
2013-8-31 21:00:00,24.8,,25.5,24.8,,0,,,32,3.4,30,4.2,49,7.3,,,,,,,,,,,
2013-8-31 20:00:00,25.5,,25.6,25.5,,0,,,21,3.8,33,3.2,40,6.4,,,,,,,,,,,
2013-8-31 19:00:00,26.1,,27,26.1,,0,,,52,4.7,90,,49,8.3,,,,,,,,,,,
2013-8-31 18:00:00,27,,27.9,27,,0,,,4,2.3,1,,54,7.4,,,,,,,,,,,
2013-8-31 17:00:00,27.9,,28.8,27.9,,0,,,327,4,0,0,1,7.7,,,,,,,,,,,
2013-8-31 16:00:00,28.9,,30.2,28.9,,0,,,32,3.6,302,0.2,15,7.6,,,,,,,,,,,
2013-8-31 15:00:00,30.1,,30.4,29.5,,0,,,268,2.7,90,,327,7.5,,,,,,,,,,,
2013-8-31 14:00:00,30.4,,30.4,28.9,,0,,,355,3.8,65,,35,8.1,,,,,,,,,,,
2013-8-31 13:00:00,29.1,,29.8,28.8,,0,,,7,3.4,36,,40,7.3,,,,,,,,,,,
2013-8-31 12:00:00,29.7,,29.7,28.1,,0,,,40,2.6,0,0,341,7.5,,,,,,,,,,,
2013-8-31 11:00:00,28.2,,28.6,27.4,,0,,,341,1.1,270,0.2,12,5.9,,,,,,,,,,,
2013-8-31 10:00:00,27.3,,27.9,26.3,,0,,,12,4,71,,296,5.2,,,,,,,,,,,
2013-8-31 9:00:00,26.5,,26.5,25.3,,0,,,49,1.4,0,0,7,5.4,,,,,,,,,,,
2013-8-31 8:00:00,25.2,,25.2,24.3,,0,,,319,1.3,0,0,268,,,,,,,,,,,,
2013-8-31 7:00:00,24.3,,24.3,24,,0,,,330,1,309,1.3,350,5.5,,,,,,,,,,,
2013-8-31 6:00:00,24,,24.3,24,,0,,,322,1.8,334,2,7,4.7,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,25.1,24.3,,0,,,355,1.5,315,1.3,341,4.3,,,,,,,,,,,
2013-8-31 4:00:00,25.1,,25.3,25.1,,0,,,353,2.1,6,2.1,12,4.9,,,,,,,,,,,
2013-8-31 3:00:00,25.3,,25.3,25.3,,0,,,15,2.5,6,1.8,350,5.3,,,,,,,,,,,
2013-8-31 2:00:00,25.3,,25.4,25.2,,0,,,4,1.7,5,2.3,15,5.2,,,,,,,,,,,
2013-8-31 1:00:00,25.5,,26,25.5,,0,,,344,1.6,13,2.5,15,6.7,,,,,,,,,,,
2013-8-31 00:00:00,26,,26.4,26,,0,,,7,2.5,14,3.6,4,9.1,,,,,,,,,,,
2013-8-30 23:00:00,26.4,,26.8,26.4,,0,,,18,3.1,5,3.1,12,9.2,,,,,,,,,,,
2013-8-30 22:00:00,26.8,,27.6,26.8,,0,,,358,4.7,18,4.5,15,11,,,,,,,,,,,
2013-8-30 21:00:00,27.6,,28.5,27.6,,0,,,15,7.2,22,5.4,4,9.9,,,,,,,,,,,
2013-8-30 20:00:00,28.5,,29.4,28.5,,0,,,341,3.3,28,3.1,18,9.4,,,,,,,,,,,
2013-8-30 19:00:00,29.4,,30.4,29.4,,0,,,21,3.3,39,2.5,12,8.5,,,,,,,,,,,
2013-8-30 18:00:00,30.4,,30.8,30.4,,0,,,15,4.7,20,2.9,18,8.7,,,,,,,,,,,
2013-8-30 17:00:00,31,,31.8,31,,0,,,4,2.9,14,3.5,52,7.3,,,,,,,,,,,
2013-8-30 16:00:00,31.9,,33.1,31.9,,0,,,7,5.4,21,3,15,7.8,,,,,,,,,,,
2013-8-30 15:00:00,32.5,,32.7,32.3,,0,,,26,3.5,30,4.7,23,8,,,,,,,,,,,
2013-8-30 14:00:00,32.4,,32.6,32.1,,0,,,23,3.9,31,5,38,8.8,,,,,,,,,,,
2013-8-30 13:00:00,32.4,,32.5,31.9,,0,,,23,2.7,44,3.6,12,9.5,,,,,,,,,,,
2013-8-30 12:00:00,32,,32.3,31.7,,0,,,15,3.1,41,4.4,60,8.6,,,,,,,,,,,
2013-8-30 11:00:00,31.2,,32,31.1,,0,,,347,2.4,10,2.6,38,9.9,,,,,,,,,,,
2013-8-30 10:00:00,31.7,,32.5,31.2,,0,,,35,4.8,16,2.9,347,10.9,,,,,,,,,,,
2013-8-30 9:00:00,31.2,,31.2,30,,0,,,29,3.1,37,4.3,35,7.8,,,,,,,,,,,
2013-8-30 8:00:00,30,,30.1,28.9,,0,,,40,3.6,33,4.2,15,6,,,,,,,,,,,
2013-8-30 7:00:00,28.7,,28.7,28.2,,0,,,338,2,358,1.6,353,5.9,,,,,,,,,,,
2013-8-30 6:00:00,28.2,,28.4,27.7,,0,,,7,3.3,4,2.4,7,4.2,,,,,,,,,,,
2013-8-30 5:00:00,27.7,,27.9,27.6,,0,,,299,0.8,0,0,40,2.2,,,,,,,,,,,
2013-8-30 4:00:00,27.9,,27.9,27.7,,0,,,353,0.8,0,0,85,2.6,,,,,,,,,,,
2013-8-30 3:00:00,27.9,,28,27.9,,0,,,94,1.3,159,,113,4.7,,,,,,,,,,,
2013-8-30 2:00:00,27.9,,28,27.9,,0,,,116,0.4,360,,77,1.5,,,,,,,,,,,
2013-8-30 1:00:00,28,,28.1,27.8,,0,,,46,0.4,180,,71,1.5,,,,,,,,,,,
2013-8-30 00:00:00,27.8,,27.9,27.7,,0,,,40,1,359,,85,1.3,,,,,,,,,,,
2013-8-29 23:00:00,27.8,,28,27.7,,0,,,43,0.4,360,,83,1.1,,,,,,,,,,,
2013-8-29 22:00:00,27.8,,28,27.8,,0,,,246,0,90,53.2,277,1.3,,,,,,,,,,,
2013-8-29 21:00:00,27.9,,28.1,27.6,,0.1,,,43,0.7,90,,195,1.6,,,,,,,,,,,
2013-8-29 20:00:00,28.1,,28.1,26.9,,0,,,4,1,0,0,38,4.8,,,,,,,,,,,
2013-8-29 19:00:00,26.9,,26.9,26.2,,0.1,,,133,0.7,90,,108,5,,,,,,,,,,,
2013-8-29 18:00:00,26.1,,31.7,26.1,,16.7,,,68,1.4,360,,161,8.2,,,,,,,,,,,
2013-8-29 17:00:00,31.7,,34.9,31.7,,0,,,26,4.1,0,,60,9.2,,,,,,,,,,,
2013-8-29 16:00:00,35,,37.3,35,,0,,,142,4.9,1,,153,5,,,,,,,,,,,
2013-8-29 15:00:00,37.6,,37.7,36.9,,0,,,175,2,230,1.6,220,4.8,,,,,,,,,,,
2013-8-29 14:00:00,37.6,,37.9,37.2,,0,,,187,2.4,220,2.6,195,4.8,,,,,,,,,,,
2013-8-29 13:00:00,37.3,,37.3,35.8,,0,,,136,1.1,179,2.1,212,6.3,,,,,,,,,,,
2013-8-29 12:00:00,36.8,,36.8,35.4,,0,,,229,3.1,203,2.8,195,6.5,,,,,,,,,,,
2013-8-29 11:00:00,35.9,,36.2,35.1,,0,,,175,2.8,190,2.7,156,5.4,,,,,,,,,,,
2013-8-29 10:00:00,35.3,,35.4,34.6,,0,,,198,2,177,2.1,164,5.3,,,,,,,,,,,
2013-8-29 9:00:00,33.1,,33.6,31.6,,0,,,206,1.8,208,1.2,173,3.8,,,,,,,,,,,
2013-8-29 8:00:00,31.6,,31.6,29.1,,0,,,187,3.4,187,2,173,4.3,,,,,,,,,,,
2013-8-29 7:00:00,29.1,,29.1,26.9,,0,,,156,0.5,168,1.2,170,3.3,,,,,,,,,,,
2013-8-29 6:00:00,26.9,,26.9,26.7,,0,,,147,1.1,189,0.6,164,1.9,,,,,,,,,,,
2013-8-29 5:00:00,26.8,,27.1,26.8,,0,,,184,0.1,138,0.4,150,5.3,,,,,,,,,,,
2013-8-29 4:00:00,27.1,,27.3,27.1,,0,,,178,0.5,155,0.5,133,2.5,,,,,,,,,,,
2013-8-29 3:00:00,27.3,,27.6,27.3,,0,,,139,1.3,151,1.5,158,3.1,,,,,,,,,,,
2013-8-29 2:00:00,27.6,,27.9,27.6,,0,,,139,2,144,1.8,167,3.6,,,,,,,,,,,
2013-8-29 1:00:00,27.8,,28.2,27.8,,0,,,164,2,151,2.4,142,3.7,,,,,,,,,,,
2013-8-29 00:00:00,28.2,,28.4,28.2,,0,,,156,2.3,151,1.8,153,4.7,,,,,,,,,,,
2013-8-28 23:00:00,28.4,,28.6,28.4,,0,,,139,2.7,154,2.2,142,5,,,,,,,,,,,
2013-8-28 22:00:00,28.6,,28.8,28.6,,0,,,144,2.1,130,2.6,144,5.1,,,,,,,,,,,
