time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.2,15.9,23.5,23.2,,0,63,61,46,0.6,20,0.5,40,3.6,,,,,,,,,,,
2013-9-1 00:00:00,23.4,15.8,23.5,23.2,,0,63,62,54,1,28,1,29,3.4,,,,,,,,,,,
2013-8-31 23:00:00,23.5,15.6,23.8,23.5,,0,61,60,32,0.8,33,1.1,40,4.3,,,,,,,,,,,
2013-8-31 22:00:00,23.7,15.4,24,23.7,,0,60,59,38,1.4,38,1.5,29,5.2,,,,,,,,,,,
2013-8-31 21:00:00,24,15.7,24.5,24,,0,60,58,15,2,33,2.8,32,6.4,,,,,,,,,,,
2013-8-31 20:00:00,24.5,15.7,25.3,24.5,,0,58,54,18,2.2,36,2.8,23,7,,,,,,,,,,,
2013-8-31 19:00:00,25.3,15.2,26.2,25.3,,0,54,51,21,1.3,35,2.2,46,8.4,,,,,,,,,,,
2013-8-31 18:00:00,26.2,15.3,27,26.2,,0,51,48,52,2,33,3.3,38,6.6,,,,,,,,,,,
2013-8-31 17:00:00,27,15.3,27.7,27,,0,49,46,18,2.2,24,2.3,358,6.5,,,,,,,,,,,
2013-8-31 16:00:00,27.6,15.3,28.6,27.6,,0,47,43,38,3.1,27,3.4,18,8.3,,,,,,,,,,,
2013-8-31 15:00:00,28.4,15.3,30,27.9,,0,45,37,40,2.1,24,2.6,353,6.5,,,,,,,,,,,
2013-8-31 14:00:00,29.8,13.8,30.5,28.9,,0,37,33,333,3.8,287,2,23,6.1,,,,,,,,,,,
2013-8-31 13:00:00,29.6,14.3,30.1,28.4,,0,39,39,336,0.3,328,1.4,355,4.8,,,,,,,,,,,
2013-8-31 12:00:00,28.3,17,29.3,27.7,,0,50,45,23,1.8,34,2.4,35,6.4,,,,,,,,,,,
2013-8-31 11:00:00,28.8,17.3,28.8,27.6,,0,50,49,15,0.9,17,1.4,29,5.8,,,,,,,,,,,
2013-8-31 10:00:00,27.6,18.6,27.6,26.6,,0,58,58,40,2.7,33,2.3,35,5.2,,,,,,,,,,,
2013-8-31 9:00:00,27,19,27,25.5,,0,62,62,77,1.3,39,1.7,15,4.6,,,,,,,,,,,
