time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.2,,23.3,23.1,,0,,,63,2.5,51,2.4,57,4.4,,,,,,,,,,,
2013-9-1 00:00:00,23.3,,23.6,23.2,,0,,,60,3.5,50,2.3,66,4.3,,,,,,,,,,,
2013-8-31 23:00:00,23.5,,23.7,23.4,,0,,,52,1.9,49,2,40,4.1,,,,,,,,,,,
2013-8-31 22:00:00,23.7,,24.1,23.7,,0,,,71,2.8,52,2.5,52,5.4,,,,,,,,,,,
2013-8-31 21:00:00,24.1,,24.6,24.1,,0,,,74,3.9,52,3.2,43,8.3,,,,,,,,,,,
2013-8-31 20:00:00,24.6,,25.4,24.6,,0,,,63,4.3,55,3.9,46,8.6,,,,,,,,,,,
2013-8-31 19:00:00,25.4,,26.2,25.4,,0,,,91,3.1,60,4.5,52,8.7,,,,,,,,,,,
2013-8-31 18:00:00,26.2,,27.6,26.2,,0,,,52,4.9,56,5.4,54,7.5,,,,,,,,,,,
2013-8-31 17:00:00,27.6,,27.8,27.6,,0,,,32,2.8,44,2.8,32,6.2,,,,,,,,,,,
2013-8-31 16:00:00,27.6,,29.6,27.5,,0,,,74,3.5,67,4.1,85,7.2,,,,,,,,,,,
2013-8-31 15:00:00,29.5,,29.9,29,,0,,,15,2.7,360,2.2,330,6.3,,,,,,,,,,,
2013-8-31 14:00:00,29,,30.6,28.9,,0,,,15,2.1,350,2.1,4,7.7,,,,,,,,,,,
2013-8-31 13:00:00,29.9,,30.2,28.6,,0,,,15,3.2,12,3.8,15,6,,,,,,,,,,,
2013-8-31 12:00:00,28.6,,28.8,27.4,,0,,,333,0.5,357,2,305,6.8,,,,,,,,,,,
2013-8-31 11:00:00,27.7,,28.2,27,,0,,,63,2.4,18,3.1,344,5.3,,,,,,,,,,,
2013-8-31 10:00:00,26.9,,26.9,25.8,,0,,,322,1.8,343,2,308,4.9,,,,,,,,,,,
2013-8-31 9:00:00,26,,26.2,25.3,,0,,,327,1.9,27,3,15,4.9,,,,,,,,,,,
2013-8-31 8:00:00,25.2,,25.9,25.2,,0,,,322,0.4,306,1.9,282,4.1,,,,,,,,,,,
2013-8-31 7:00:00,25.7,,25.7,24.5,,0,,,18,1.3,352,2,38,4.3,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.6,24.3,,0,,,46,2.4,56,2.3,60,4.3,,,,,,,,,,,
2013-8-31 5:00:00,24.6,,24.9,24.6,,0,,,57,2.5,56,3.1,54,4.8,,,,,,,,,,,
2013-8-31 4:00:00,24.9,,25.4,24.9,,0,,,71,2.8,61,2.7,57,5,,,,,,,,,,,
2013-8-31 3:00:00,25.3,,25.5,25.3,,0,,,38,2.3,53,2,54,4.4,,,,,,,,,,,
2013-8-31 2:00:00,25.5,,25.7,25.5,,0,,,66,1.6,55,2.5,49,5.6,,,,,,,,,,,
2013-8-31 1:00:00,25.7,,26.1,25.7,,0,,,52,1.5,32,1.9,26,5.5,,,,,,,,,,,
2013-8-31 00:00:00,26.1,,26.3,26.1,,0,,,63,2.4,63,2.6,40,6.4,,,,,,,,,,,
2013-8-30 23:00:00,26.3,,26.9,26.3,,0,,,49,3.6,47,2.7,23,7.1,,,,,,,,,,,
2013-8-30 22:00:00,26.9,,27.7,26.9,,0,,,40,5.2,46,4.9,52,9.9,,,,,,,,,,,
2013-8-30 21:00:00,27.7,,28.5,27.7,,0,,,40,2.6,48,3.5,63,8.2,,,,,,,,,,,
2013-8-30 20:00:00,28.5,,29.1,28.5,,0,,,38,5.1,50,4.4,52,8.6,,,,,,,,,,,
