time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.5,,23.7,23.5,,0,,,97,0,0,0,54,1.7,,,,,,,,,,,
2013-9-1 00:00:00,23.7,,24,23.7,,0,,,153,0,0,0,57,1.9,,,,,,,,,,,
2013-8-31 23:00:00,24,,24.2,24,,0,,,88,1,149,0.5,74,2.4,,,,,,,,,,,
2013-8-31 22:00:00,24.2,,24.6,24.2,,0,,,125,1.7,80,1.2,26,2.8,,,,,,,,,,,
2013-8-31 21:00:00,24.6,,25,24.6,,0,,,49,1.3,93,0.3,52,2.6,,,,,,,,,,,
2013-8-31 20:00:00,25,,25.7,25,,0,,,139,0.9,62,1,63,3.1,,,,,,,,,,,
2013-8-31 19:00:00,25.7,,26.3,25.7,,0,,,80,0.4,68,1.1,26,3.7,,,,,,,,,,,
2013-8-31 18:00:00,26.3,,27.1,26.3,,0,,,52,0.5,94,0.8,83,3.7,,,,,,,,,,,
2013-8-31 17:00:00,27.1,,28.2,27.1,,0,,,91,0.8,76,1.2,54,4.2,,,,,,,,,,,
2013-8-31 16:00:00,28.1,,29.2,28.1,,0,,,38,1.2,50,1,32,7.5,,,,,,,,,,,
2013-8-31 15:00:00,29.2,,29.2,28.3,,0,,,29,2.6,42,1.6,102,4.7,,,,,,,,,,,
2013-8-31 14:00:00,28.6,,29.5,28.6,,0,,,66,2.5,80,1.6,49,4.8,,,,,,,,,,,
2013-8-31 13:00:00,29.3,,29.9,28.8,,0,,,237,2.2,119,1.3,57,5.1,,,,,,,,,,,
2013-8-31 12:00:00,28.8,,29.6,28.4,,0,,,94,1.3,110,1.1,260,4.9,,,,,,,,,,,
2013-8-31 11:00:00,28.6,,28.6,27.8,,0,,,108,4.4,160,1.9,46,4.7,,,,,,,,,,,
2013-8-31 10:00:00,28.6,,28.6,26.9,,0,,,49,0.8,68,0.9,358,3.3,,,,,,,,,,,
2013-8-31 9:00:00,26.9,,27,25.7,,0,,,21,1,28,1.6,116,3.1,,,,,,,,,,,
2013-8-31 8:00:00,25.7,,25.7,25.4,,0,,,77,0.8,54,0.8,43,3.9,,,,,,,,,,,
2013-8-31 7:00:00,25.4,,25.4,24.8,,0,,,57,1.1,59,0.6,52,3.1,,,,,,,,,,,
2013-8-31 6:00:00,24.8,,24.9,24.8,,0,,,108,0,0,0,52,2.2,,,,,,,,,,,
2013-8-31 5:00:00,24.9,,25.1,24.9,,0,,,57,0.9,33,0.2,344,2.4,,,,,,,,,,,
2013-8-31 4:00:00,25.1,,25.4,25.1,,0,,,97,0,78,1,38,3.3,,,,,,,,,,,
2013-8-31 3:00:00,25.4,,25.6,25.4,,0,,,35,0.8,42,1.1,32,3.3,,,,,,,,,,,
2013-8-31 2:00:00,25.6,,25.9,25.6,,0,,,63,3.5,80,2.2,38,5,,,,,,,,,,,
2013-8-31 1:00:00,25.9,,26,25.9,,0,,,38,1.6,46,0.9,57,5.9,,,,,,,,,,,
2013-8-31 00:00:00,26,,26.4,26,,0,,,40,1.9,74,2.5,68,6.6,,,,,,,,,,,
2013-8-30 23:00:00,26.4,,26.6,26.4,,0,,,330,2.8,54,1.5,49,6.1,,,,,,,,,,,
2013-8-30 22:00:00,26.6,,27.1,26.6,,0,,,38,3.8,64,2.2,71,5.2,,,,,,,,,,,
