time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,20.9,,21.1,20.3,,0,,,54,0.6,32,1.1,38,2.6,,,,,,,,,,,
2013-9-1 00:00:00,20.3,,20.4,19.5,,0,,,26,0.5,29,1.1,18,2.3,,,,,,,,,,,
2013-8-31 23:00:00,20.4,,21.3,20.4,,0,,,32,0,42,0.3,9,3.8,,,,,,,,,,,
2013-8-31 22:00:00,21.2,,21.8,21,,0,,,18,1.3,42,1.6,60,3.5,,,,,,,,,,,
2013-8-31 21:00:00,21.8,,23.2,21.8,,0,,,57,1.3,36,1.8,46,6.1,,,,,,,,,,,
2013-8-31 20:00:00,23.1,,24.2,23.1,,0,,,60,2.5,44,4,46,7.5,,,,,,,,,,,
2013-8-31 19:00:00,24.2,,25.2,24.2,,0,,,15,2.3,43,2.7,29,8.2,,,,,,,,,,,
2013-8-31 18:00:00,25.2,,26.7,25.2,,0,,,32,5.3,29,4.4,23,8.2,,,,,,,,,,,
2013-8-31 17:00:00,26.7,,28.4,26.7,,0,,,40,3.1,27,2.4,38,8.3,,,,,,,,,,,
2013-8-31 16:00:00,28.5,,29.8,28.1,,0,,,29,2,34,4.3,9,7.4,,,,,,,,,,,
2013-8-31 15:00:00,30,,30.9,28.6,,0,,,26,5.2,16,4.4,1,6.9,,,,,,,,,,,
2013-8-31 14:00:00,29.6,,30.8,28,,0,,,333,3.7,349,3.8,12,8.3,,,,,,,,,,,
2013-8-31 13:00:00,29.3,,31.5,28.1,,0,,,40,3.5,54,3.2,32,8,,,,,,,,,,,
2013-8-31 12:00:00,28,,30,28,,0,,,15,4.3,7,3.1,38,6,,,,,,,,,,,
2013-8-31 11:00:00,28.9,,29.2,27.1,,0,,,15,1.8,11,2.8,23,6.3,,,,,,,,,,,
2013-8-31 10:00:00,27.1,,27.6,26.4,,0,,,344,3.6,346,3.6,43,7.3,,,,,,,,,,,
2013-8-31 9:00:00,26.5,,27.3,25.2,,0,,,12,5.2,12,3.8,344,6.4,,,,,,,,,,,
2013-8-31 8:00:00,25.3,,25.3,22.7,,0,,,23,2,10,2.7,4,5.4,,,,,,,,,,,
2013-8-31 7:00:00,22.7,,23,22.5,,0,,,38,1.9,15,2.1,350,4.4,,,,,,,,,,,
2013-8-31 6:00:00,22.5,,22.8,22.3,,0,,,344,1.8,343,2.4,358,5,,,,,,,,,,,
2013-8-31 5:00:00,22.7,,22.7,22,,0,,,353,2.8,351,2.3,344,4.7,,,,,,,,,,,
2013-8-31 4:00:00,22.6,,23.4,22.6,,0,,,26,1.1,3,1.3,344,4.3,,,,,,,,,,,
2013-8-31 3:00:00,23.4,,23.6,23.3,,0,,,4,2.2,351,1.8,49,4.7,,,,,,,,,,,
2013-8-31 2:00:00,23.6,,24,23.5,,0,,,49,2.1,24,2.6,15,8.3,,,,,,,,,,,
2013-8-31 1:00:00,23.9,,24.2,23.8,,0,,,4,4.1,14,4,18,6.6,,,,,,,,,,,
2013-8-31 00:00:00,24.2,,24.9,24.2,,0,,,38,4.2,12,3.3,23,8,,,,,,,,,,,
2013-8-30 23:00:00,25,,25.4,25,,0,,,18,3.1,12,4.1,18,8.8,,,,,,,,,,,
2013-8-30 22:00:00,25.3,,25.9,25.3,,0,,,29,3.6,31,3.2,29,10.2,,,,,,,,,,,
2013-8-30 21:00:00,26,,26.8,26,,0,,,32,4.9,27,4.1,23,9.5,,,,,,,,,,,
2013-8-30 20:00:00,26.8,,27.7,26.8,,0,,,57,4.3,36,4.5,38,9.8,,,,,,,,,,,
2013-8-30 19:00:00,27.7,,28.8,27.7,,0,,,18,5.6,35,5,38,10.6,,,,,,,,,,,
2013-8-30 18:00:00,28.8,,29.7,28.8,,0,,,29,4.8,27,4.1,26,9.2,,,,,,,,,,,
2013-8-30 17:00:00,29.7,,30.1,29.7,,0,,,35,3.6,44,3.5,40,7.7,,,,,,,,,,,
2013-8-30 16:00:00,30,,32.6,30,,0,,,52,5.6,35,3.7,32,7.3,,,,,,,,,,,
