time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,21.4,,21.5,21.3,,0,,,347,0,0,0,330,1.8,,,,,,,,,,,
2013-9-1 00:00:00,21.5,,22.1,21.5,,0,,,347,0,0,0,338,2.1,,,,,,,,,,,
2013-8-31 23:00:00,22.1,,22.8,22.1,,0,,,347,0,0,0,7,2.6,,,,,,,,,,,
2013-8-31 22:00:00,22.8,,23.6,22.8,,0,,,32,0,0,0,29,6.1,,,,,,,,,,,
2013-8-31 21:00:00,23.6,,24.2,23.6,,0,,,38,2.1,27,3,29,7.1,,,,,,,,,,,
2013-8-31 20:00:00,24.2,,24.6,24.2,,0,,,46,1.4,23,3.4,32,8.8,,,,,,,,,,,
2013-8-31 19:00:00,24.6,,25.2,24.6,,0,,,15,6.2,26,4.3,15,10.6,,,,,,,,,,,
2013-8-31 18:00:00,25.2,,26.4,25.2,,0,,,38,3.4,33,5.1,32,9.6,,,,,,,,,,,
2013-8-31 17:00:00,26.5,,29,26.4,,0,,,52,2.2,30,4.4,26,9.3,,,,,,,,,,,
2013-8-31 16:00:00,28.8,,29.6,27.9,,0,,,26,7.1,33,5.1,54,9.3,,,,,,,,,,,
2013-8-31 15:00:00,29.8,,30.3,28.7,,0,,,29,2.6,49,4.4,46,9.4,,,,,,,,,,,
2013-8-31 14:00:00,28.7,,30.7,28.7,,0,,,52,3.2,57,3.1,57,8.2,,,,,,,,,,,
2013-8-31 13:00:00,30,,31.3,29.9,,0,,,63,4,40,4.5,52,7.9,,,,,,,,,,,
2013-8-31 12:00:00,30.2,,30.8,29.3,,0,,,7,3.4,22,3.2,353,5.9,,,,,,,,,,,
2013-8-31 11:00:00,29.4,,30.2,29.2,,0,,,29,5.2,25,4.7,29,7,,,,,,,,,,,
2013-8-31 10:00:00,29.6,,29.8,28.1,,0,,,29,3.5,36,2.2,29,8.6,,,,,,,,,,,
2013-8-31 9:00:00,28.2,,28.4,26.5,,0,,,7,3,3,3,347,6.1,,,,,,,,,,,
2013-8-31 8:00:00,26.8,,26.8,25.2,,0,,,15,2.4,5,2.6,29,6.4,,,,,,,,,,,
2013-8-31 7:00:00,25.2,,25.2,23.8,,0,,,350,0,13,1.2,7,4.2,,,,,,,,,,,
2013-8-31 6:00:00,23.8,,24.3,23.7,,0,,,29,0,0,0,358,4.2,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.6,24.3,,0,,,4,0,20,0.2,7,5.2,,,,,,,,,,,
2013-8-31 4:00:00,24.7,,24.9,24.7,,0,,,29,0,19,0.2,23,7.4,,,,,,,,,,,
2013-8-31 3:00:00,24.9,,25,24.9,,0,,,23,2.5,17,2.4,12,6.6,,,,,,,,,,,
2013-8-31 2:00:00,24.9,,25.1,24.9,,0,,,7,4.4,10,4,38,7.6,,,,,,,,,,,
2013-8-31 1:00:00,25.1,,25.4,25.1,,0,,,38,2.3,26,2.3,15,6,,,,,,,,,,,
2013-8-31 00:00:00,25.4,,25.7,25.4,,0,,,18,0,17,0.9,26,8.6,,,,,,,,,,,
2013-8-30 23:00:00,25.6,,26,25.6,,0,,,21,4,13,3.2,353,9.3,,,,,,,,,,,
2013-8-30 22:00:00,26,,26.7,26,,0,,,29,4,24,3.8,15,8.9,,,,,,,,,,,
2013-8-30 21:00:00,26.8,,27.5,26.8,,0,,,350,3,17,3.5,4,11,,,,,,,,,,,
2013-8-30 20:00:00,27.5,,28.2,27.5,,0,,,32,6.2,33,6,38,10.1,,,,,,,,,,,
