time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.7,15.5,22.7,22.2,1011.1,0,64,64,11,1.6,6,1.8,339,3.5,46514,28821,20.4,20.8,19.9,24.8,26.9,28.3,29.1,,
2013-9-1 00:00:00,22.5,15.6,22.9,22.5,1011.3,0,65,64,358,0.7,22,1.3,23,3.9,28900,26426,20.2,20.6,20.2,25.1,27.3,28.6,29.4,,
2013-8-31 23:00:00,22.9,15.7,23.3,22.8,1011,0,64,63,7,1.1,8,1.5,15,4.6,35788,24463,20.7,21.5,20.5,25.7,27.8,29,29.7,,
2013-8-31 22:00:00,23.4,16,23.8,23.4,1010.8,0,63,60,6,3.1,24,2.4,21,7.1,32550,20950,21.5,22.5,21.5,26.3,28.3,29.4,29.9,,
2013-8-31 21:00:00,23.7,15.5,24.3,23.7,1010.6,0,60,58,29,4.2,22,2.7,23,7.2,35417,22804,22.5,23.6,22.5,27.1,28.9,29.8,30.2,,
2013-8-31 20:00:00,24.3,15.8,25.1,24.3,1010.4,0,59,57,36,3.8,40,3.2,41,7.4,31936,22659,23.6,24.9,23.6,28,29.5,30.3,30.4,,
2013-8-31 19:00:00,25.1,15.7,25.6,25.1,1010.3,0,56,55,35,5.4,35,4.8,30,8.7,31407,22376,24.9,26.5,24.9,28.9,30.2,30.7,30.6,,
2013-8-31 18:00:00,25.7,16.8,26.8,25.7,1009.8,0,58,54,32,3.5,37,4.5,31,8.1,35431,23280,26.5,29.1,26.5,30.2,31,31.1,30.8,,
2013-8-31 17:00:00,26.8,16.4,28.2,26.8,1009.5,0,53,45,26,4.7,34,4.1,23,8.3,32555,23451,29.1,36.3,29.1,31.7,31.8,31.4,30.8,,
2013-8-31 16:00:00,28.1,15.7,28.6,28,1009.1,0,47,46,29,4.9,31,4.9,10,8.6,31872,15294,34.6,40.9,33.7,33.6,32.3,31.5,30.7,,
2013-8-31 15:00:00,28.2,17.7,28.5,27.8,1008.7,0,53,53,75,4.6,56,4.1,49,8.4,36026,13738,37.9,41.6,35.5,34.3,32.5,31.5,30.5,,
2013-8-31 14:00:00,28.6,18.7,29.8,28.6,1008.9,0,55,42,71,4.1,46,4.7,23,8.5,29081,12889,41.2,51.1,41,35.8,32.7,31.2,30.1,,
