time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.3,,23.3,23,,0,,,74,1.1,43,1.8,54,4.7,,,,,,,,,,,
2013-9-1 00:00:00,23.2,,23.2,23,,0,,,46,3.1,43,2.7,49,4.7,,,,,,,,,,,
2013-8-31 23:00:00,23.2,,23.5,23.2,,0,,,32,3.1,38,2.8,15,5.2,,,,,,,,,,,
2013-8-31 22:00:00,23.4,,23.8,23.4,,0,,,40,2.8,31,3.9,15,5.9,,,,,,,,,,,
2013-8-31 21:00:00,23.8,,24.3,23.8,,0,,,52,2.1,51,2.7,54,6.6,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,24.7,24.3,,0,,,26,4.4,57,3.5,46,8.3,,,,,,,,,,,
2013-8-31 19:00:00,24.7,,25.4,24.7,,0,,,66,3.6,59,3.3,52,7.9,,,,,,,,,,,
2013-8-31 18:00:00,25.4,,26.1,25.4,,0,,,52,2.1,37,2.8,23,8.3,,,,,,,,,,,
2013-8-31 17:00:00,26.1,,27.2,26.1,,0,,,49,2.8,59,3.8,26,8.2,,,,,,,,,,,
2013-8-31 16:00:00,27.4,,28.8,27.2,,0,,,46,4.6,36,5.4,29,8.3,,,,,,,,,,,
2013-8-31 15:00:00,28.3,,29.1,27.7,,0,,,52,4,14,3,57,8.6,,,,,,,,,,,
2013-8-31 14:00:00,28.4,,28.4,26.9,,0,,,29,5.3,37,4.4,49,7.9,,,,,,,,,,,
2013-8-31 13:00:00,27.2,,29,27.1,,0,,,63,3.4,56,4,32,8.4,,,,,,,,,,,
2013-8-31 12:00:00,28.9,,29,27.9,,0,,,49,4.3,64,4.2,32,7.3,,,,,,,,,,,
2013-8-31 11:00:00,27.9,,28.5,27.1,,0,,,23,2,40,2.3,35,6.7,,,,,,,,,,,
2013-8-31 10:00:00,27,,27.5,26.6,,0,,,344,2.2,349,2,60,6.3,,,,,,,,,,,
2013-8-31 9:00:00,26.7,,26.7,25.4,,0,,,355,2.1,11,2.9,32,6,,,,,,,,,,,
2013-8-31 8:00:00,25.6,,25.6,25,,0,,,38,2.5,38,2.1,29,5.8,,,,,,,,,,,
2013-8-31 7:00:00,25,,25.1,24.4,,0,,,32,3.7,22,3.4,32,5.7,,,,,,,,,,,
2013-8-31 6:00:00,24.4,,24.4,24.3,,0,,,60,1.5,54,2,35,5.1,,,,,,,,,,,
2013-8-31 5:00:00,24.2,,24.3,24.1,,0,,,38,2.9,32,2.5,15,5,,,,,,,,,,,
2013-8-31 4:00:00,24.3,,24.6,24.3,,0,,,29,1.8,43,2.3,23,7.1,,,,,,,,,,,
2013-8-31 3:00:00,24.6,,24.8,24.6,,0,,,26,4.3,44,4.2,32,6.4,,,,,,,,,,,
2013-8-31 2:00:00,24.8,,25,24.8,,0,,,57,4.1,49,2.7,63,7.3,,,,,,,,,,,
2013-8-31 1:00:00,25,,25.4,25,,0,,,52,2.5,40,3.5,32,9.7,,,,,,,,,,,
2013-8-31 00:00:00,25.4,,25.6,25.4,,0,,,94,4.1,44,3.5,60,9.2,,,,,,,,,,,
2013-8-30 23:00:00,25.6,,25.8,25.6,,0,,,49,3.8,30,3.9,26,10.1,,,,,,,,,,,
2013-8-30 22:00:00,25.8,,26.2,25.8,,0,,,1,2.7,31,4.7,38,9.5,,,,,,,,,,,
2013-8-30 21:00:00,26.2,,26.9,26.2,,0,,,63,3.1,52,2.9,32,9.6,,,,,,,,,,,
2013-8-30 20:00:00,26.9,,27.8,26.9,,0,,,29,4,33,3.8,32,9.5,,,,,,,,,,,
2013-8-30 19:00:00,27.8,,28.5,27.8,,0,,,52,3.5,48,4.8,49,10.4,,,,,,,,,,,
2013-8-30 18:00:00,28.5,,29.3,28.5,,0,,,40,4.7,23,5.3,32,11,,,,,,,,,,,
2013-8-30 17:00:00,29.3,,30.2,29.3,,0,,,52,2.7,49,4,63,9.3,,,,,,,,,,,
2013-8-30 16:00:00,30.2,,31.7,30.2,,0,,,57,4.4,69,4.2,40,8.5,,,,,,,,,,,
2013-8-30 15:00:00,31.7,,31.9,30.8,,0,,,52,4,73,4.1,80,8.5,,,,,,,,,,,
2013-8-30 14:00:00,31.2,,32.4,31.2,,0,,,40,2.8,38,3.2,63,8.9,,,,,,,,,,,
2013-8-30 13:00:00,31.8,,32.2,30.7,,0,,,66,7.2,69,5.9,46,9.1,,,,,,,,,,,
2013-8-30 12:00:00,31,,31,30.2,,0,,,38,4.2,47,4.3,60,8.7,,,,,,,,,,,
2013-8-30 11:00:00,30.3,,30.5,29.7,,0,,,38,4.1,44,4.1,85,9.1,,,,,,,,,,,
2013-8-30 10:00:00,29.7,,30.3,29.6,,0,,,7,3.5,31,2.5,63,8.9,,,,,,,,,,,
2013-8-30 9:00:00,29.8,,30.1,29,,0,,,23,3.9,22,4.3,29,9.1,,,,,,,,,,,
2013-8-30 8:00:00,29,,29,28.2,,0,,,52,2.7,43,2.6,35,5.9,,,,,,,,,,,
2013-8-30 7:00:00,28.2,,28.2,27.8,,0,,,38,3,34,2.8,29,5.6,,,,,,,,,,,
2013-8-30 6:00:00,27.9,,27.9,27.3,,0,,,29,2.8,17,3.2,18,4.5,,,,,,,,,,,
2013-8-30 5:00:00,27.5,,27.7,27.5,,0,,,1,0,0,0,63,1.1,,,,,,,,,,,
2013-8-30 4:00:00,27.8,,28,27.8,,0,,,344,0.5,356,0.1,136,1.9,,,,,,,,,,,
2013-8-30 3:00:00,28,,28,27.9,,0,,,184,0.6,163,0.9,158,1.9,,,,,,,,,,,
2013-8-30 2:00:00,27.9,,27.9,27.7,,0,,,147,0.8,153,0.8,150,1.7,,,,,,,,,,,
2013-8-30 1:00:00,27.7,,28,27.6,,0,,,161,0.6,153,0.8,133,1.3,,,,,,,,,,,
2013-8-30 00:00:00,28,,28.4,28,,0,,,220,0.4,215,0.8,153,2.1,,,,,,,,,,,
2013-8-29 23:00:00,28.4,,28.8,28.4,,0,,,139,0.8,145,0.9,181,3,,,,,,,,,,,
2013-8-29 22:00:00,28.8,,29.3,28.8,,0,,,181,1,179,1.1,203,4.3,,,,,,,,,,,
2013-8-29 21:00:00,29.3,,29.7,29.3,,0,,,187,0.4,170,1.1,209,5.2,,,,,,,,,,,
2013-8-29 20:00:00,29.7,,29.8,29.3,,0,,,209,2.2,190,1.9,203,3.2,,,,,,,,,,,
2013-8-29 19:00:00,29.7,,29.8,29.5,,0,,,68,2.6,69,2.5,35,4.5,,,,,,,,,,,
2013-8-29 18:00:00,29.6,,29.6,28.9,,0,,,353,3,11,2.3,29,3.5,,,,,,,,,,,
2013-8-29 17:00:00,29.3,,32.7,29.3,,0,,,310,0.9,341,0.9,341,7.2,,,,,,,,,,,
2013-8-29 16:00:00,32.9,,34.7,32.9,,0,,,344,5.3,346,3.2,338,5.6,,,,,,,,,,,
2013-8-29 15:00:00,34.8,,36,34.8,,0,,,175,2.7,173,2.1,128,6.7,,,,,,,,,,,
2013-8-29 14:00:00,35.8,,36,34.9,,0,,,192,3.8,210,2.6,150,6.3,,,,,,,,,,,
2013-8-29 13:00:00,34.9,,35.1,34.5,,0,,,181,2.7,204,3.4,187,7.5,,,,,,,,,,,
2013-8-29 12:00:00,34.7,,34.9,33.8,,0,,,184,2.3,180,3.7,170,7.8,,,,,,,,,,,
2013-8-29 11:00:00,34.2,,34.2,32.8,,0,,,206,4.1,187,3,189,7.9,,,,,,,,,,,
2013-8-29 10:00:00,32.8,,33.2,32.1,,0,,,170,3.9,198,4.1,192,6.7,,,,,,,,,,,
2013-8-29 9:00:00,32.2,,32.2,30.7,,0,,,173,3.8,191,3.6,237,5.3,,,,,,,,,,,
2013-8-29 8:00:00,30.7,,30.7,29.1,,0,,,229,2.5,214,3.1,229,6.4,,,,,,,,,,,
2013-8-29 7:00:00,29.1,,29.1,27.8,,0,,,195,3,195,2.5,192,5.3,,,,,,,,,,,
2013-8-29 6:00:00,27.7,,27.8,27.5,,0,,,209,2.8,214,3.2,187,5.1,,,,,,,,,,,
