time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.5,15.6,23.6,23.3,1011.7,0,61,60,64,6.3,60,3,39,6.8,35000,35000,19.7,19.9,19.4,21.7,23.8,25.4,26.6,27.9,
2013-9-1 00:00:00,23.3,15.6,23.7,23.3,1011.7,0,62,60,32,4,45,2,9,7.5,35000,35000,19.4,19.6,19.2,21.8,24.1,25.8,26.9,28,
2013-8-31 23:00:00,23.6,15.4,23.9,23.6,1011.6,0,60,59,36,4.7,37,3.3,24,7.5,35000,35000,19.6,20.1,19.6,22.2,24.5,26.1,27.2,28,
2013-8-31 22:00:00,23.8,15.6,23.9,23.8,1011.8,0,60,59,48,4.2,44,3.1,49,7.3,35000,35000,20.1,20.3,19.9,22.6,25,26.5,27.4,28,
2013-8-31 21:00:00,23.9,15.7,24.1,23.9,1011.7,0,60,58,56,4.6,48,3.2,42,7.2,35000,35000,20.2,20.8,20.2,23.1,25.6,27,27.7,28,
2013-8-31 20:00:00,24.3,14.1,24.7,24.3,1011.5,0,53,51,46,2.6,33,3.3,31,6.1,50000,50000,20.2,21.2,20.2,23.2,24.9,26.6,27,25.9,
2013-8-31 19:00:00,24.7,14.2,25.4,24.6,1011,0,52,48,54,3.3,41,3.3,43,6.8,50000,50000,21.2,22.5,21.2,24.1,25.7,27.1,27.3,26,
2013-8-31 18:00:00,25.5,13.7,25.9,25.5,1010.9,0,48,46,88,2.1,46,2.6,23,7.7,50000,50000,22.4,24.3,22.4,25.2,26.5,27.6,27.5,26,
2013-8-31 17:00:00,25.9,14.4,27.2,25.9,1010.6,0,49,44,15,3.7,36,4,12,9.1,46443,7475,24.2,28.9,23.8,26.7,27.2,27.8,27.6,26,
2013-8-31 16:00:00,27,14.1,27.5,26.9,1010.1,0,45,37,37,5.4,28,4.7,333,7.5,42768,28138,27.5,30.1,26.5,27.8,27.6,28,27.6,26,
2013-8-31 15:00:00,27.4,13.7,27.7,27.1,1009.9,0,43,40,4,5.6,340,5.6,37,7.8,38277,22410,29.5,31.8,26.7,28.4,28,28.1,27.6,26,
2013-8-31 14:00:00,27.7,14.7,27.7,26.9,1009.9,0,45,44,25,5,28,5.1,34,9.5,33367,23710,29.9,32.5,26.8,28.8,28.1,28.1,27.5,26.1,
2013-8-31 13:00:00,27.4,14.4,28.1,27.3,1009.9,0,45,41,324,3.6,340,2.9,333,7.9,41369,17032,30,34.9,28.8,29.6,28.5,27.9,27.2,26.1,
2013-8-31 12:00:00,27.8,14.8,27.8,27.1,1009.9,0,45,45,281,4.7,298,3.5,2,6,34723,15376,32.8,36.6,31.4,30.6,28.2,27.5,26.9,26.1,
2013-8-31 11:00:00,27.1,17.9,27.2,26.4,1010.1,0,57,55,23,3.3,19,3.8,37,5.8,24523,16707,33.9,36.4,31.2,29.8,27.4,26.9,26.5,26.2,
2013-8-31 10:00:00,26.5,17.8,26.5,26.1,1010.4,0,59,58,105,2.1,55,3.1,40,5.7,32841,15827,33.1,33.4,30.2,28.4,26.4,26.3,26.3,26.2,
2013-8-31 9:00:00,26.3,18.2,26.3,25.7,1010.1,0,61,59,9,3.6,24,3.5,40,6.2,43776,14058,32.4,32.4,28.3,27.2,25.4,25.8,26.2,26.3,
2013-8-31 8:00:00,25.7,18.4,25.7,24.5,1009.7,0,64,64,48,4.1,40,3,7,5.4,20481,13820,28.7,28.8,23,24.9,24.5,25.7,26.2,26.3,
2013-8-31 7:00:00,24.5,18.4,24.7,24.5,1009.3,0,69,68,39,3.1,25,3,32,4.4,35938,21256,23,23.3,22.4,23.8,24.3,25.8,26.4,26.3,
2013-8-31 6:00:00,24.6,18.3,24.8,24.5,1008.7,0,68,66,15,1.1,22,1.7,23,5,28369,21061,22.4,22.5,22,23.5,24.4,25.9,26.5,26.3,
2013-8-31 5:00:00,24.7,18.2,24.8,24.7,1008.3,0,67,67,356,2.5,1,2.3,7,4.6,45268,25312,22.5,22.5,22.3,23.7,24.6,26.2,26.7,26.4,
2013-8-31 4:00:00,24.8,18.5,24.9,24.7,1007.9,0,68,67,359,1.5,26,1.6,37,5.7,40984,33120,22.5,22.5,22.2,23.8,24.8,26.4,27,26.4,
2013-8-31 3:00:00,24.9,18.6,25.1,24.8,1007.7,0,68,67,44,2.8,33,2.8,36,5.5,42201,32305,22.5,22.6,22.4,24,25,26.6,27.2,26.5,
2013-8-31 2:00:00,25.1,18.5,25.3,25.1,1007.3,0,67,66,330,2.7,23,3,26,5.5,36519,33628,22.6,22.6,22.4,24.1,25.2,26.9,27.4,26.5,
2013-8-31 1:00:00,25.3,18.7,25.6,25.3,1007.2,0,67,65,116,0.7,13,1.7,359,8.3,37368,28681,22.5,22.9,22.5,24.4,25.6,27.2,27.7,26.5,
2013-8-31 00:00:00,25.6,18.5,25.8,25.6,1007.1,0,65,63,18,3.4,8,2.6,2,8.1,32685,24680,22.9,22.9,22.6,24.6,25.9,27.6,28,26.5,
