time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,20.3,,20.5,19.5,,0,,,322,0.7,332,0.5,341,0.8,,,,,,,,,,,
2013-9-1 00:00:00,19.9,,20.2,19.7,,0,,,327,0.3,323,0.4,344,0.8,,,,,,,,,,,
2013-8-31 23:00:00,20.2,,20.8,20.1,,0,,,353,0.7,353,0.7,350,1.2,,,,,,,,,,,
2013-8-31 22:00:00,20.8,,22.7,20.8,,0,,,333,0.4,348,0.6,35,2.2,,,,,,,,,,,
2013-8-31 21:00:00,22.7,,23.6,22.6,,0,,,18,1.5,30,1.5,57,3.4,,,,,,,,,,,
2013-8-31 20:00:00,23.6,,24.9,23.6,,0,,,43,1.6,40,1.2,18,4.8,,,,,,,,,,,
2013-8-31 19:00:00,24.9,,25.9,24.9,,0,,,7,2,14,2.6,15,4.8,,,,,,,,,,,
2013-8-31 18:00:00,26,,26.9,26,,0,,,1,1,4,1.2,341,4.7,,,,,,,,,,,
2013-8-31 17:00:00,26.9,,28.8,26.9,,0,,,7,3.6,358,2.8,353,7.4,,,,,,,,,,,
2013-8-31 16:00:00,28.8,,29.5,28.6,,0,,,353,3.8,351,3.3,322,8.1,,,,,,,,,,,
2013-8-31 15:00:00,29.7,,31.7,28.8,,0,,,341,1,346,2.8,313,7,,,,,,,,,,,
2013-8-31 14:00:00,31.1,,31.1,29.3,,0,,,302,2.9,356,1.3,322,6.7,,,,,,,,,,,
2013-8-31 13:00:00,30.1,,30.4,28.7,,0,,,353,4.8,339,3.1,327,6.5,,,,,,,,,,,
2013-8-31 12:00:00,30.2,,30.2,28.5,,0,,,327,2.7,327,3,327,7.2,,,,,,,,,,,
2013-8-31 11:00:00,28.8,,28.9,27.7,,0,,,341,2.9,342,2.6,353,5.6,,,,,,,,,,,
2013-8-31 10:00:00,27.8,,28,26.2,,0,,,18,1.4,12,2.4,310,7.1,,,,,,,,,,,
2013-8-31 9:00:00,26.2,,26.3,25.1,,0,,,330,2,337,3,353,6.9,,,,,,,,,,,
2013-8-31 8:00:00,25.2,,25.2,24,,0,,,341,4.7,347,4.3,344,6,,,,,,,,,,,
2013-8-31 7:00:00,24.1,,24.2,23,,0,,,9,0.9,333,2,15,4,,,,,,,,,,,
2013-8-31 6:00:00,23,,23.1,22.8,,0,,,308,1.3,331,1.6,18,3.2,,,,,,,,,,,
2013-8-31 5:00:00,23.1,,23.5,23.1,,0,,,344,1,335,1.6,353,3.3,,,,,,,,,,,
2013-8-31 4:00:00,23.5,,24,23.5,,0,,,341,0.8,342,1,330,3.2,,,,,,,,,,,
2013-8-31 3:00:00,24,,24.1,23.9,,0,,,7,0.9,351,1,330,3.6,,,,,,,,,,,
2013-8-31 2:00:00,24,,24.1,23.9,,0,,,32,0.9,358,1.1,7,3.5,,,,,,,,,,,
2013-8-31 1:00:00,24.1,,24.5,24.1,,0,,,350,2.1,0,1.4,344,5,,,,,,,,,,,
