time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.8,,23.8,23.6,,0,,,119,2,85,0.9,74,4.8,,,,,,,,,,,
2013-9-1 00:00:00,23.7,,23.8,23.4,,0,,,150,0.8,145,0.7,358,4.5,,,,,,,,,,,
2013-8-31 23:00:00,23.7,,24,23.7,,0,,,43,0.3,144,1,83,5.4,,,,,,,,,,,
2013-8-31 22:00:00,24.1,,24.3,23.9,,0,,,229,0.5,87,0.7,46,4.5,,,,,,,,,,,
2013-8-31 21:00:00,24.1,,24.6,24.1,,0,,,142,1.8,126,1.5,108,5,,,,,,,,,,,
2013-8-31 20:00:00,24.5,,25,24.5,,0,,,316,1.6,336,1.4,97,7.2,,,,,,,,,,,
2013-8-31 19:00:00,25,,25.7,25,,0,,,77,2.5,114,2.3,74,7.6,,,,,,,,,,,
2013-8-31 18:00:00,25.7,,26.6,25.6,,0,,,4,1.4,328,2.5,105,7.1,,,,,,,,,,,
2013-8-31 17:00:00,26.6,,27.8,26.6,,0,,,206,1.3,106,2.3,108,6.9,,,,,,,,,,,
2013-8-31 16:00:00,27.4,,28.5,27.3,,0,,,119,0.5,357,2.2,344,6.6,,,,,,,,,,,
2013-8-31 15:00:00,27.5,,29.6,27.2,,0,,,97,1.2,108,1.9,285,6.4,,,,,,,,,,,
2013-8-31 14:00:00,29.6,,30,28.1,,0,,,49,1.8,85,1.2,319,5.7,,,,,,,,,,,
2013-8-31 13:00:00,28.4,,29.2,27.9,,0,,,66,1.9,96,1.5,265,6,,,,,,,,,,,
2013-8-31 12:00:00,28.6,,29.5,27.9,,0,,,7,2.8,322,2.1,347,4.7,,,,,,,,,,,
2013-8-31 11:00:00,28.4,,28.4,27,,0,,,29,1.4,114,2.2,77,5.1,,,,,,,,,,,
2013-8-31 10:00:00,26.9,,27.1,26,,0,,,257,0.6,148,0.7,313,3.8,,,,,,,,,,,
2013-8-31 9:00:00,26.1,,26.1,24.8,,0,,,344,1.2,355,0.5,333,3.7,,,,,,,,,,,
2013-8-31 8:00:00,24.7,,24.9,24.5,,0,,,313,0.9,280,1.1,313,3.5,,,,,,,,,,,
2013-8-31 7:00:00,24.9,,25,24.7,,0,,,299,1.5,279,1.3,7,3.7,,,,,,,,,,,
2013-8-31 6:00:00,24.7,,24.7,24.5,,0,,,23,0.8,65,1.3,116,4.2,,,,,,,,,,,
2013-8-31 5:00:00,24.6,,24.8,24.5,,0,,,128,1.4,332,1.1,130,4.6,,,,,,,,,,,
2013-8-31 4:00:00,24.7,,25.1,24.7,,0,,,57,1.3,115,1.2,113,4.1,,,,,,,,,,,
2013-8-31 3:00:00,25.1,,25.4,25.1,,0,,,139,0.8,103,1.2,91,4.6,,,,,,,,,,,
2013-8-31 2:00:00,25.4,,25.6,25.3,,0,,,29,1,2,1.5,113,5.7,,,,,,,,,,,
2013-8-31 1:00:00,25.6,,25.8,25.6,,0,,,344,1.4,303,2.1,52,5.7,,,,,,,,,,,
2013-8-31 00:00:00,25.7,,26.2,25.7,,0,,,240,1.8,189,0.7,355,6.9,,,,,,,,,,,
2013-8-30 23:00:00,26.2,,26.4,26.2,,0,,,97,1.5,73,1.9,353,5.8,,,,,,,,,,,
2013-8-30 22:00:00,26.3,,26.8,26.3,,0,,,248,2.6,313,2.3,116,7,,,,,,,,,,,
2013-8-30 21:00:00,26.9,,27.4,26.9,,0,,,105,3.1,9,2.1,333,7.9,,,,,,,,,,,
2013-8-30 20:00:00,27.4,,28.1,27.4,,0,,,102,4,104,2.6,116,5.8,,,,,,,,,,,
2013-8-30 19:00:00,28.1,,29,28.1,,0,,,97,1.6,29,1.9,21,6.9,,,,,,,,,,,
2013-8-30 18:00:00,29.1,,30,29.1,,0,,,102,3.8,102,2.3,102,6.3,,,,,,,,,,,
2013-8-30 17:00:00,30,,30.4,30,,0,,,158,0.8,110,1.2,97,5.6,,,,,,,,,,,
2013-8-30 16:00:00,30.4,,31.6,30.4,,0,,,102,5.3,108,2.4,83,6.5,,,,,,,,,,,
2013-8-30 15:00:00,31.6,,32.2,31.4,,0,,,181,1,122,1.3,83,5.5,,,,,,,,,,,
2013-8-30 14:00:00,31.8,,32.4,31.8,,0,,,130,2.3,101,2.5,108,5.7,,,,,,,,,,,
2013-8-30 13:00:00,31.8,,31.8,31.1,,0,,,218,0.8,139,1.8,105,7.2,,,,,,,,,,,
2013-8-30 12:00:00,31.5,,31.5,30.2,,0,,,322,0.6,77,1.5,99,5,,,,,,,,,,,
2013-8-30 11:00:00,30.2,,30.8,29.9,,0,,,18,0.8,98,1.9,108,5.4,,,,,,,,,,,
2013-8-30 10:00:00,30.2,,30.5,29.8,,0,,,254,1,298,1.6,77,8.6,,,,,,,,,,,
2013-8-30 9:00:00,29.7,,30.1,29.2,,0,,,319,0.4,45,1.2,4,5.3,,,,,,,,,,,
2013-8-30 8:00:00,29.3,,29.3,28.2,,0,,,142,0.8,353,1.8,108,5.4,,,,,,,,,,,
2013-8-30 7:00:00,28.2,,28.2,27.4,,0,,,195,0.1,8,0.5,119,3.6,,,,,,,,,,,
2013-8-30 6:00:00,27.6,,27.7,27.2,,0,,,333,1.5,343,1.4,94,3.8,,,,,,,,,,,
2013-8-30 5:00:00,27.6,,27.6,27.2,,0.2,,,263,0.1,237,0.1,209,2.4,,,,,,,,,,,
2013-8-30 4:00:00,27.3,,27.6,27.3,,0.8,,,299,0.5,351,0.2,173,0.8,,,,,,,,,,,
2013-8-30 3:00:00,27.5,,27.6,27.5,,0,,,240,0,0,0,122,1.6,,,,,,,,,,,
2013-8-30 2:00:00,27.6,,27.7,27.5,,0,,,226,0,0,0,327,0.4,,,,,,,,,,,
2013-8-30 1:00:00,27.6,,27.7,27.4,,0,,,308,0.1,0,0,167,0.9,,,,,,,,,,,
2013-8-30 00:00:00,27.7,,28,27.7,,0,,,344,0.1,0,0,133,1.9,,,,,,,,,,,
2013-8-29 23:00:00,27.9,,28,27.7,,0,,,322,0.2,349,0.2,150,2.4,,,,,,,,,,,
2013-8-29 22:00:00,27.7,,27.8,27.2,,0.1,,,99,0.6,101,0.4,153,1.8,,,,,,,,,,,
2013-8-29 21:00:00,27.2,,27.2,26.9,,0,,,77,0.3,127,0.5,156,1.3,,,,,,,,,,,
2013-8-29 20:00:00,27,,27.3,26.9,,0,,,113,0.1,0,0,74,1.5,,,,,,,,,,,
2013-8-29 19:00:00,27.3,,27.3,27.1,,0,,,105,0.8,125,0.4,97,1.9,,,,,,,,,,,
2013-8-29 18:00:00,27.1,,27.1,26.4,,1.7,,,308,1.4,296,1.4,333,2.2,,,,,,,,,,,
2013-8-29 17:00:00,26.7,,31.1,26.7,,3.5,,,308,0.7,335,0.4,122,6.5,,,,,,,,,,,
2013-8-29 16:00:00,31.4,,35.4,31.4,,0,,,97,0.9,4,1.8,322,5.2,,,,,,,,,,,
2013-8-29 15:00:00,35.5,,36.2,35.5,,0,,,60,0.6,88,0.8,299,4.5,,,,,,,,,,,
2013-8-29 14:00:00,36,,36,35.2,,0,,,12,0.1,3,1,282,5.3,,,,,,,,,,,
2013-8-29 13:00:00,35.6,,36.2,34.5,,0,,,344,2.7,311,1.7,251,3.8,,,,,,,,,,,
2013-8-29 12:00:00,34.5,,35.2,34.1,,0,,,40,0.5,39,0.4,296,3,,,,,,,,,,,
2013-8-29 11:00:00,35.2,,35.3,33.8,,0,,,15,0.6,84,1.1,133,3.5,,,,,,,,,,,
2013-8-29 10:00:00,34.6,,34.6,32.6,,0,,,133,1.1,125,1.2,324,3.3,,,,,,,,,,,
2013-8-29 9:00:00,32.6,,32.9,30.9,,0,,,330,1,321,1,313,2.3,,,,,,,,,,,
2013-8-29 8:00:00,30.9,,30.9,29.1,,0,,,333,1.8,339,0.9,142,2.7,,,,,,,,,,,
2013-8-29 7:00:00,29.1,,29.1,27.6,,0,,,142,1.6,131,1.6,119,2.9,,,,,,,,,,,
2013-8-29 6:00:00,27.6,,27.9,27.5,,0,,,52,0,333,0.3,355,1.4,,,,,,,,,,,
2013-8-29 5:00:00,27.8,,27.9,27.7,,0,,,77,0.4,82,0.4,136,3.8,,,,,,,,,,,
2013-8-29 4:00:00,28,,28.4,27.9,,0,,,175,0,0,0,187,2.2,,,,,,,,,,,
2013-8-29 3:00:00,28.2,,28.6,28.2,,0,,,91,1.1,111,1,167,3.5,,,,,,,,,,,
2013-8-29 2:00:00,28.4,,28.8,28.3,,0,,,130,0.8,104,0.9,111,2.7,,,,,,,,,,,
2013-8-29 1:00:00,28.8,,28.8,28.6,,0,,,21,0.6,74,0.4,161,4,,,,,,,,,,,
2013-8-29 00:00:00,28.8,,28.9,28.7,,0,,,63,0.3,83,0.5,187,3.5,,,,,,,,,,,
2013-8-28 23:00:00,28.8,,28.9,28.6,,0,,,116,0.2,110,0.8,164,3.1,,,,,,,,,,,
2013-8-28 22:00:00,28.9,,29.2,28.8,,0,,,119,0,108,0.9,113,4.7,,,,,,,,,,,
2013-8-28 21:00:00,29.1,,29.5,29.1,,0,,,164,2,136,1.9,150,3.5,,,,,,,,,,,
2013-8-28 20:00:00,29.5,,30.1,29.5,,0,,,85,0.3,107,0.7,147,3.5,,,,,,,,,,,
2013-8-28 19:00:00,30.1,,31.2,30.1,,0,,,119,1.1,126,1.4,128,3.8,,,,,,,,,,,
2013-8-28 18:00:00,31.3,,32.6,31.3,,0,,,153,0.3,127,0.6,116,3.5,,,,,,,,,,,
2013-8-28 17:00:00,32.6,,34,32.6,,0,,,97,1.4,111,1.3,133,4.8,,,,,,,,,,,
2013-8-28 16:00:00,33.5,,34.6,33.1,,0,,,38,0.4,66,1,153,4,,,,,,,,,,,
2013-8-28 15:00:00,34.5,,34.9,33.7,,0,,,83,0.9,34,0.7,119,4.3,,,,,,,,,,,
2013-8-28 14:00:00,33.9,,34.1,32.5,,0,,,187,2.3,133,0.6,150,4,,,,,,,,,,,
2013-8-28 13:00:00,32.6,,34.2,32.5,,0,,,111,1.7,128,1.1,108,4,,,,,,,,,,,
2013-8-28 12:00:00,32.9,,34.1,32.3,,0,,,97,0.8,95,1.1,288,3.8,,,,,,,,,,,
2013-8-28 11:00:00,32.8,,32.8,31.4,,0,,,344,0.8,94,1.2,119,4.4,,,,,,,,,,,
2013-8-28 10:00:00,31.6,,31.6,30.3,,0,,,102,0.9,97,0.9,99,4.3,,,,,,,,,,,
2013-8-28 9:00:00,30.4,,30.5,27.9,,0,,,94,0.8,133,1.2,122,3.1,,,,,,,,,,,
2013-8-28 8:00:00,27.9,,28.1,27.2,,0,,,102,1.1,87,0.8,147,3.3,,,,,,,,,,,
2013-8-28 7:00:00,27.2,,27.2,26.6,,0,,,102,1.5,135,1.3,173,3.6,,,,,,,,,,,
2013-8-28 6:00:00,26.6,,26.6,26.4,,0,,,142,0.5,131,0.5,153,3.5,,,,,,,,,,,
2013-8-28 5:00:00,26.4,,26.5,26.3,,0,,,150,2.1,146,1,147,3.5,,,,,,,,,,,
2013-8-28 4:00:00,26.5,,26.7,26.5,,0,,,108,1.1,130,0.6,147,4.2,,,,,,,,,,,
2013-8-28 3:00:00,26.5,,26.7,26.5,,0,,,102,0.6,136,0.5,147,4.1,,,,,,,,,,,
2013-8-28 2:00:00,26.7,,26.8,26.7,,0,,,181,0.4,109,0.7,161,3.5,,,,,,,,,,,
2013-8-28 1:00:00,26.8,,26.8,26.6,,0,,,74,0.8,105,0.8,122,3,,,,,,,,,,,
2013-8-28 00:00:00,26.6,,26.6,26.6,,0,,,139,0.7,143,1.3,156,3.8,,,,,,,,,,,
2013-8-27 23:00:00,26.6,,27,26.6,,0,,,158,0.8,134,0.9,161,4.3,,,,,,,,,,,
2013-8-27 22:00:00,27,,27.1,26.9,,0,,,116,0.8,99,1.1,125,3.6,,,,,,,,,,,
2013-8-27 21:00:00,27,,27.3,26.9,,0,,,133,0.5,128,0.8,88,3.2,,,,,,,,,,,
2013-8-27 20:00:00,27.3,,27.5,27.2,,0,,,26,0.8,101,1.1,139,4,,,,,,,,,,,
2013-8-27 19:00:00,27.5,,28.3,27.5,,0,,,156,3.4,132,1.3,150,3.6,,,,,,,,,,,
2013-8-27 18:00:00,28.3,,29,28.3,,0,,,130,0.8,117,1.2,102,4.6,,,,,,,,,,,
2013-8-27 17:00:00,28.8,,29.3,28.6,,0,,,71,1.1,138,1.4,139,4.4,,,,,,,,,,,
2013-8-27 16:00:00,29.4,,30,28.4,,0,,,142,2.4,123,1.4,167,4.5,,,,,,,,,,,
2013-8-27 15:00:00,28.6,,29.6,28.6,,0,,,77,0.9,118,1.1,153,4.1,,,,,,,,,,,
2013-8-27 14:00:00,29.5,,30.1,29.5,,0,,,40,1.8,98,1.2,77,4,,,,,,,,,,,
