time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.4,,23.5,23.2,,0,,,52,1.1,31,1.2,23,4,,,,,,,,,,,
2013-9-1 00:00:00,23.2,,23.3,23,,0,,,38,1.3,22,1.8,23,5,,,,,,,,,,,
2013-8-31 23:00:00,23.3,,23.5,23.1,,0,,,347,1.9,13,1.7,12,6.3,,,,,,,,,,,
2013-8-31 22:00:00,23.5,,23.8,23.3,,0,,,15,3,13,2.4,52,5.9,,,,,,,,,,,
2013-8-31 21:00:00,23.8,,24.6,23.8,,0,,,35,1.4,26,1.6,15,5.6,,,,,,,,,,,
2013-8-31 20:00:00,24.6,,25.2,24.6,,0,,,15,1.5,34,2.2,18,6.4,,,,,,,,,,,
2013-8-31 19:00:00,25.2,,25.9,25.2,,0,,,77,2.1,49,2.6,29,6.7,,,,,,,,,,,
2013-8-31 18:00:00,25.9,,27.2,25.9,,0,,,29,2.3,34,3.8,358,6.6,,,,,,,,,,,
2013-8-31 17:00:00,27.2,,28.2,27.2,,0,,,336,2.1,8,3.4,4,7.7,,,,,,,,,,,
2013-8-31 16:00:00,28.3,,30.5,28.1,,0,,,358,3.5,24,4.4,355,7.3,,,,,,,,,,,
2013-8-31 15:00:00,30.8,,31.1,29.6,,0,,,316,2.9,348,3.7,355,7.6,,,,,,,,,,,
2013-8-31 14:00:00,29.4,,31.8,28.9,,0,,,333,2.5,340,3.7,327,8.1,,,,,,,,,,,
2013-8-31 13:00:00,29.3,,30.9,29.3,,0,,,7,5.4,350,3.5,327,7.6,,,,,,,,,,,
2013-8-31 12:00:00,30.4,,30.7,29.2,,0,,,322,2.1,349,2.1,4,7.9,,,,,,,,,,,
2013-8-31 11:00:00,29.7,,29.7,28.3,,0,,,26,5.8,339,3.8,353,7.3,,,,,,,,,,,
2013-8-31 10:00:00,28.5,,28.6,27.2,,0,,,336,2.4,5,2.5,347,5.6,,,,,,,,,,,
2013-8-31 9:00:00,27.2,,27.3,26.3,,0,,,313,1.4,348,2.1,324,5.9,,,,,,,,,,,
2013-8-31 8:00:00,26.1,,26.1,24.4,,0,,,327,1.3,318,1.4,353,4.2,,,,,,,,,,,
2013-8-31 7:00:00,24.4,,24.5,24.3,,0,,,327,2.3,328,1.7,4,4.1,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.6,24.3,,0,,,333,2.5,307,1.5,15,4.2,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.8,24.3,,0,,,18,2.2,22,1.4,40,4.4,,,,,,,,,,,
2013-8-31 4:00:00,24.8,,25.1,24.8,,0,,,18,0.9,23,1.2,12,4.5,,,,,,,,,,,
2013-8-31 3:00:00,25.1,,25.3,25.1,,0,,,26,0.1,18,0.9,355,5.8,,,,,,,,,,,
2013-8-31 2:00:00,25.2,,25.4,25.2,,0,,,29,3.5,0,3.2,40,8.5,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.5,25.2,,0,,,52,1.3,28,2.9,29,6.9,,,,,,,,,,,
2013-8-31 00:00:00,25.5,,26.1,25.5,,0,,,358,1.8,3,1.9,7,9,,,,,,,,,,,
2013-8-30 23:00:00,26.1,,26.3,26,,0,,,7,1.9,9,3.6,29,8.8,,,,,,,,,,,
2013-8-30 22:00:00,26.2,,27.1,26.2,,0,,,355,2.6,351,3.5,7,8,,,,,,,,,,,
2013-8-30 21:00:00,27.2,,27.8,27.2,,0,,,358,6.4,4,3.8,9,7.3,,,,,,,,,,,
2013-8-30 20:00:00,27.8,,28.6,27.8,,0,,,66,2.4,19,1.9,23,9.1,,,,,,,,,,,
2013-8-30 19:00:00,28.6,,29.5,28.6,,0,,,46,6.2,32,4.7,15,9.5,,,,,,,,,,,
2013-8-30 18:00:00,29.5,,30.2,29.5,,0,,,7,7.2,15,4.1,35,7.4,,,,,,,,,,,
2013-8-30 17:00:00,30.2,,31.3,30.2,,0,,,54,3.8,47,3.2,60,7.4,,,,,,,,,,,
2013-8-30 16:00:00,31.3,,32.4,31.3,,0,,,54,1.7,26,2.5,9,7.1,,,,,,,,,,,
2013-8-30 15:00:00,32.5,,32.9,32.1,,0,,,355,2.7,6,2.8,18,6.5,,,,,,,,,,,
2013-8-30 14:00:00,32.2,,33.4,32.2,,0,,,23,3,42,2.9,347,8.1,,,,,,,,,,,
