time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,21.6,,22,21.4,,0,,,46,0,39,0.4,85,1.6,,,,,,,,,,,
2013-9-1 00:00:00,21.3,,22.1,21.3,,0,,,83,0.3,57,0.2,23,1.9,,,,,,,,,,,
2013-8-31 23:00:00,22.1,,22.9,22.1,,0,,,32,0.5,50,0.7,63,2.7,,,,,,,,,,,
2013-8-31 22:00:00,22.9,,23.6,22.9,,0,,,74,1.1,49,1.4,12,3.4,,,,,,,,,,,
2013-8-31 21:00:00,23.6,,24.4,23.6,,0,,,40,1.9,48,2,71,5.4,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,25,24.3,,0,,,358,1.6,55,3.3,52,6.1,,,,,,,,,,,
2013-8-31 19:00:00,25,,26,25,,0,,,60,4.7,56,3.1,54,6,,,,,,,,,,,
2013-8-31 18:00:00,26,,27.1,26,,0,,,52,2.7,58,2.4,60,5.6,,,,,,,,,,,
2013-8-31 17:00:00,27.1,,27.6,27.1,,0,,,43,1.4,29,2.1,29,5.1,,,,,,,,,,,
2013-8-31 16:00:00,27.7,,29.4,27.7,,0,,,32,3.1,43,2.6,29,6,,,,,,,,,,,
2013-8-31 15:00:00,29.5,,30.5,29.1,,0,,,4,3.1,3,2.7,355,7.7,,,,,,,,,,,
2013-8-31 14:00:00,29.8,,29.9,28.5,,0,,,1,3.2,347,3.9,322,6.7,,,,,,,,,,,
2013-8-31 13:00:00,29,,30,28.5,,0,,,355,1.8,352,3.2,353,6.6,,,,,,,,,,,
2013-8-31 12:00:00,29.2,,29.2,27.9,,0,,,9,3.4,338,3.7,322,6.6,,,,,,,,,,,
2013-8-31 11:00:00,28.1,,28.1,26.8,,0,,,285,4.1,307,2.4,52,6.6,,,,,,,,,,,
2013-8-31 10:00:00,26.6,,27.1,25.8,,0,,,353,1.4,323,1.9,344,6.3,,,,,,,,,,,
2013-8-31 9:00:00,26,,26,25,,0,,,353,2.2,345,3.6,330,6.1,,,,,,,,,,,
2013-8-31 8:00:00,24.9,,25,24.5,,0,,,322,3.5,320,2.7,330,5.1,,,,,,,,,,,
2013-8-31 7:00:00,24.8,,24.8,24.1,,0,,,319,1,320,1.8,319,3.3,,,,,,,,,,,
2013-8-31 6:00:00,24.1,,24.1,23.8,,0,,,38,1.3,36,0.7,38,2.9,,,,,,,,,,,
2013-8-31 5:00:00,24.1,,24.5,24.1,,0,,,26,0.8,50,0.6,29,4.4,,,,,,,,,,,
2013-8-31 4:00:00,24.4,,24.8,24.4,,0,,,88,1.7,68,1.7,32,2.9,,,,,,,,,,,
2013-8-31 3:00:00,24.8,,25.1,24.8,,0,,,119,0.5,57,0.6,7,5.1,,,,,,,,,,,
2013-8-31 2:00:00,25.1,,25.1,24.9,,0,,,353,2.1,25,1.9,32,4.9,,,,,,,,,,,
2013-8-31 1:00:00,25.1,,25.7,25,,0,,,7,0.8,29,1.4,32,3.9,,,,,,,,,,,
2013-8-31 00:00:00,25.7,,25.8,25.6,,0,,,353,1.9,21,2,1,5.8,,,,,,,,,,,
2013-8-30 23:00:00,25.8,,26.3,25.8,,0,,,32,4.2,26,1.8,26,7.1,,,,,,,,,,,
2013-8-30 22:00:00,26.2,,26.9,26.2,,0,,,18,1.5,22,2.6,23,6.2,,,,,,,,,,,
2013-8-30 21:00:00,26.9,,28,26.9,,0,,,7,1.3,49,1.9,18,5.3,,,,,,,,,,,
2013-8-30 20:00:00,28,,28.6,28,,0,,,49,2.4,46,2.6,38,6.3,,,,,,,,,,,
2013-8-30 19:00:00,28.6,,29.2,28.6,,0,,,63,1.3,49,1.7,60,5.2,,,,,,,,,,,
2013-8-30 18:00:00,29.2,,29.9,29.2,,0,,,52,4.2,57,2.7,54,5.9,,,,,,,,,,,
2013-8-30 17:00:00,29.9,,31.1,29.9,,0,,,32,5,59,3.6,38,6.4,,,,,,,,,,,
2013-8-30 16:00:00,31.2,,32.1,31.2,,0,,,52,1.6,71,2.3,97,7.4,,,,,,,,,,,
2013-8-30 15:00:00,31.4,,31.9,31.4,,0,,,66,1.3,40,2.4,57,5.4,,,,,,,,,,,
2013-8-30 14:00:00,31.8,,32.4,31.7,,0,,,52,3.5,56,3.2,18,7.5,,,,,,,,,,,
2013-8-30 13:00:00,32,,32.4,31,,0,,,344,1.4,22,3.2,29,8.3,,,,,,,,,,,
2013-8-30 12:00:00,31,,31,30.2,,0,,,63,3,26,2.5,29,5.7,,,,,,,,,,,
2013-8-30 11:00:00,30.3,,30.9,30.3,,0,,,4,2,37,3,40,6.1,,,,,,,,,,,
2013-8-30 10:00:00,30.6,,30.8,29.8,,0,,,91,2.4,47,2.7,18,5.4,,,,,,,,,,,
2013-8-30 9:00:00,29.8,,29.9,28.5,,0,,,88,1.8,16,2,40,5.4,,,,,,,,,,,
