time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,21.9,21.9,22.1,21.7,,0,,,38,0.4,33,0.8,38,2.5,,,,,,,,,,,
2013-9-1 00:00:00,22,21.8,22,20.8,,0,,,15,1.4,22,1.4,15,2.6,,,,,,,,,,,
2013-8-31 23:00:00,21.1,21.2,22.3,21.1,,0,,,344,0.7,353,0.8,29,2.6,,,,,,,,,,,
2013-8-31 22:00:00,22.3,22.4,23.1,22.3,,0,,,35,0.4,42,1.1,97,4,,,,,,,,,,,
2013-8-31 21:00:00,23.1,23.1,23.9,23.1,,0,,,97,1,54,1.8,77,4.8,,,,,,,,,,,
2013-8-31 20:00:00,23.9,23.9,24.9,23.9,,0,,,29,1.2,58,1.6,97,5.7,,,,,,,,,,,
2013-8-31 19:00:00,24.9,25,26,24.9,,0,,,54,3.3,52,1.6,29,5.6,,,,,,,,,,,
2013-8-31 18:00:00,26,26.1,27,26,,0,,,38,2,43,1.8,77,6,,,,,,,,,,,
2013-8-31 17:00:00,27,27.2,28.6,27,,0,,,32,3.9,39,2.9,32,7.2,,,,,,,,,,,
2013-8-31 16:00:00,28.1,28.4,29.3,28.1,,0,,,353,2.8,2,2.4,32,8,,,,,,,,,,,
2013-8-31 15:00:00,28.9,29,30.4,28.3,,0,,,38,4.1,17,3.4,7,7.1,,,,,,,,,,,
2013-8-31 14:00:00,30,29.8,30.4,28.8,,0,,,7,1.7,1,2.7,12,6.9,,,,,,,,,,,
2013-8-31 13:00:00,29.6,29.3,29.9,28.7,,0,,,344,3.6,3,3.6,327,6.3,,,,,,,,,,,
2013-8-31 12:00:00,28.7,28.6,28.8,27.1,,0,,,54,2.1,360,3.2,15,6,,,,,,,,,,,
2013-8-31 11:00:00,27.1,27.2,28,26.6,,0,,,330,1.1,23,1.5,12,5.9,,,,,,,,,,,
2013-8-31 10:00:00,27.5,27.4,27.5,26.1,,0,,,322,2.6,2,2.9,29,5.9,,,,,,,,,,,
2013-8-31 9:00:00,26.3,26.2,26.7,24.4,,0,,,32,2,9,3.1,353,5,,,,,,,,,,,
2013-8-31 8:00:00,24.9,24.8,24.9,23.8,,0,,,60,1.3,17,2.6,7,4.6,,,,,,,,,,,
2013-8-31 7:00:00,23.9,23.8,23.9,23.3,,0,,,7,2.4,8,2.9,12,5.7,,,,,,,,,,,
2013-8-31 6:00:00,23.3,23.2,23.3,23,,0,,,32,1.5,29,1.8,353,4.6,,,,,,,,,,,
2013-8-31 5:00:00,23.1,23.1,23.4,23,,0,,,54,1,32,1.1,353,3.5,,,,,,,,,,,
2013-8-31 4:00:00,23.4,23.4,23.9,23.4,,0,,,57,2.5,30,1.9,12,4,,,,,,,,,,,
2013-8-31 3:00:00,23.9,24,24.1,23.9,,0,,,29,0.6,28,1.4,54,3.6,,,,,,,,,,,
2013-8-31 2:00:00,23.9,23.9,24,23.7,,0,,,29,1.3,36,1.3,32,4.2,,,,,,,,,,,
2013-8-31 1:00:00,24,24,24.5,24,,0,,,347,2.4,39,1.9,38,6.1,,,,,,,,,,,
2013-8-31 00:00:00,24.5,24.5,24.9,24.5,,0,,,7,2.5,36,1.9,60,6,,,,,,,,,,,
2013-8-30 23:00:00,24.9,25,25.7,24.9,,0,,,52,1.3,39,1.6,57,8.2,,,,,,,,,,,
2013-8-30 22:00:00,25.7,25.7,26.6,25.7,,0,,,38,4.1,43,4.3,52,9.1,,,,,,,,,,,
2013-8-30 21:00:00,26.6,26.7,27.6,26.6,,0,,,9,2.4,45,2.3,80,8.4,,,,,,,,,,,
2013-8-30 20:00:00,27.6,27.7,28.4,27.6,,0,,,32,3.9,42,2.9,9,6.8,,,,,,,,,,,
2013-8-30 19:00:00,28.4,28.5,29.2,28.4,,0,,,74,1.8,55,2.9,35,6.5,,,,,,,,,,,
2013-8-30 18:00:00,29.2,29.3,29.9,29.2,,0,,,74,2.9,50,1.3,38,6.2,,,,,,,,,,,
2013-8-30 17:00:00,30,30.1,31.6,30,,0,,,38,1.8,45,3.3,38,6.3,,,,,,,,,,,
2013-8-30 16:00:00,31.6,31.8,33.3,31.6,,0,,,83,0.6,53,2.2,83,5.6,,,,,,,,,,,
2013-8-30 15:00:00,33.4,33.3,33.4,31.6,,0,,,54,2,47,2.1,57,5.7,,,,,,,,,,,
2013-8-30 14:00:00,31.5,31.6,31.9,31,,0,,,74,1.3,59,2.2,32,6.9,,,,,,,,,,,
2013-8-30 13:00:00,31.7,32,33.4,31.7,,0,,,7,4.7,41,3.8,29,8.8,,,,,,,,,,,
2013-8-30 12:00:00,32.5,32.2,32.5,30.2,,0,,,102,2.6,65,2.3,38,7.9,,,,,,,,,,,
2013-8-30 11:00:00,30.2,30.4,30.9,30.2,,0,,,57,2.7,43,2.3,32,6.4,,,,,,,,,,,
2013-8-30 10:00:00,30.6,30.6,31.1,30.2,,0,,,15,3.6,43,2.7,97,7,,,,,,,,,,,
2013-8-30 9:00:00,31,31,31,29,,0,,,32,1.3,48,2.2,52,6.1,,,,,,,,,,,
2013-8-30 8:00:00,29,29,29.2,28,,0,,,38,0.5,44,1.8,12,4.9,,,,,,,,,,,
2013-8-30 7:00:00,28,28,28,27.4,,0,,,9,1.9,23,1.5,38,3.8,,,,,,,,,,,
2013-8-30 6:00:00,27.4,27.4,27.4,27.1,,0,,,29,1.6,21,1.2,7,2.5,,,,,,,,,,,
2013-8-30 5:00:00,27.1,27.2,27.1,27,,0,,,38,1.1,21,0.8,15,2.4,,,,,,,,,,,
2013-8-30 4:00:00,27,27.2,27.1,26.9,,0,,,29,0.6,355,0.7,29,1.2,,,,,,,,,,,
2013-8-30 3:00:00,27.1,27.3,27.3,27.1,,0,,,54,0.8,70,0.5,74,2.4,,,,,,,,,,,
2013-8-30 2:00:00,27.2,27.4,27.2,27.1,,0,,,74,0.7,89,0.7,15,2.4,,,,,,,,,,,
2013-8-30 1:00:00,27.1,27.3,27.3,27.1,,0,,,29,0.7,45,0.9,38,2.4,,,,,,,,,,,
2013-8-30 00:00:00,27.3,27.2,27.3,26.8,,0,,,15,0.8,29,1.1,7,2,,,,,,,,,,,
