time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,20.8,16.3,21,20.5,1011.7,0,76,72,18,1.8,22,1.7,30,3.1,1085,1074,,,,,,,,,
2013-9-1 00:00:00,20.9,15.7,21.6,20.8,1011.6,0,72,70,28,1.9,27,2,20,4.2,1114,990,,,,,,,,,
2013-8-31 23:00:00,21.6,15.8,22.4,21.5,1011.5,0,70,66,6,3,18,2.4,30,6,1073,845,,,,,,,,,
2013-8-31 22:00:00,22.4,16.2,22.5,22.2,1011.3,0,68,67,33,2.2,28,2.7,25,5.4,1104,827,,,,,,,,,
2013-8-31 21:00:00,22.4,16.5,23.3,22.3,1011.4,0,68,63,8,2.1,27,3,33,5.6,1107,901,,,,,,,,,
2013-8-31 20:00:00,23.3,15.7,23.6,23.1,1011.5,0,63,57,40,2.7,33,2.6,24,6.4,1128,333,,,,,,,,,
2013-8-31 19:00:00,23.5,15.3,24.1,23.4,1011.1,0,59,58,47,4.1,38,2.9,26,8,1096,403,,,,,,,,,
2013-8-31 18:00:00,24,15.4,25.3,23.9,1010.9,0.1,59,57,31,4.8,38,4.1,30,9,652,162,,,,,,,,,
2013-8-31 17:00:00,25.2,16.8,25.8,25.1,1010.7,0,60,57,28,4.9,35,4.6,18,9.5,276,132,,,,,,,,,
2013-8-31 16:00:00,25.8,17.5,26.7,25.4,1010.3,0,60,57,41,4.7,44,5.5,28,10.2,1076,186,,,,,,,,,
2013-8-31 15:00:00,26.7,17.6,27.1,26.3,1010,0,57,56,32,6.4,19,6.5,34,10,1096,180,,,,,,,,,
2013-8-31 14:00:00,27,17.8,27.4,26.6,1010,0,58,58,52,5.8,54,5.9,58,10.5,442,76,,,,,,,,,
2013-8-31 13:00:00,26.9,18.9,27.8,26.3,1010,0,60,58,38,3.8,36,4.9,40,9.1,879,209,,,,,,,,,
2013-8-31 12:00:00,26.6,19.7,26.9,25.8,1010.2,0,64,63,33,2.9,44,4.3,59,7.7,656,144,,,,,,,,,
2013-8-31 11:00:00,26.3,19.6,27.3,26.2,1010.2,0,65,60,25,5.6,45,3.5,26,7,936,572,,,,,,,,,
2013-8-31 10:00:00,26.2,19.5,26.8,25.4,1010.2,0,65,62,358,4.6,16,4.2,16,7.1,1104,583,,,,,,,,,
2013-8-31 9:00:00,26.3,18.9,26.4,24.7,1010,0,65,65,34,4.2,35,3,33,6.8,900,285,,,,,,,,,
2013-8-31 8:00:00,25.2,19.5,25.3,24.2,1009.6,0,70,70,22,4.3,21,4.2,273,6.9,1113,622,,,,,,,,,
2013-8-31 7:00:00,24.2,19.6,24.3,23.1,1009.1,0,75,75,11,2.2,28,3,6,5.5,1097,944,,,,,,,,,
2013-8-31 6:00:00,23.2,19.2,23.3,23,1008.5,0,78,75,21,2,42,1.8,28,5.4,1095,908,,,,,,,,,
2013-8-31 5:00:00,23.3,18.7,23.7,23.2,1008.2,0,76,74,27,2.3,30,3.3,10,6.4,1079,334,,,,,,,,,
2013-8-31 4:00:00,23.7,18.8,23.8,23.5,1007.8,0,74,74,38,4.1,34,3.9,27,6.9,1145,216,,,,,,,,,
2013-8-31 3:00:00,23.7,19.1,24.1,23.6,1007.6,0,76,74,20,2.4,34,3.2,5,8.2,1025,385,,,,,,,,,
2013-8-31 2:00:00,24,19.3,24.5,24,1007.4,0,75,74,64,4.5,27,3.7,36,8.8,1102,518,,,,,,,,,
2013-8-31 1:00:00,24.5,20,24.7,24.2,1007.2,0,76,75,15,4.1,33,3.9,8,8.4,1011,698,,,,,,,,,
2013-8-31 00:00:00,24.7,20,25,24.5,1006.9,0,75,74,7,2.8,14,4.2,20,10.5,898,289,,,,,,,,,
2013-8-30 23:00:00,25,20,25.2,24.9,1006.9,0,74,73,12,6.6,20,5.8,21,9,982,169,,,,,,,,,
2013-8-30 22:00:00,25.1,20.9,25.6,25,1006.5,0,77,77,34,3.5,15,4.3,32,9.4,1038,456,,,,,,,,,
2013-8-30 21:00:00,25.6,21.3,26.1,25.5,1006.7,0,77,77,39,4.9,33,4.2,38,10.9,1019,162,,,,,,,,,
2013-8-30 20:00:00,26.1,22.7,26.7,26,1005.9,0,82,82,79,4.6,30,6,17,10.6,629,228,,,,,,,,,
2013-8-30 19:00:00,26.7,24,27.3,26.6,1004.8,0,85,83,48,5.9,37,5.8,49,11.9,657,164,,,,,,,,,
2013-8-30 18:00:00,27.3,24.6,28.1,27.3,1003.9,0,85,81,26,6.6,26,5.5,23,10.9,857,152,,,,,,,,,
2013-8-30 17:00:00,28,24.6,28.7,28,1003.6,0,81,75,30,4.6,32,5,21,9,467,223,,,,,,,,,
2013-8-30 16:00:00,28.5,23.6,29.7,28.4,1003.3,0,74,70,42,2.9,41,5.6,61,9.3,1020,190,,,,,,,,,
2013-8-30 15:00:00,29.1,24,30.2,29,1003,0,73,68,47,3.6,44,5.6,41,9,496,159,,,,,,,,,
2013-8-30 14:00:00,29.8,24.4,30.3,29.3,1002.9,0,72,70,56,3.7,40,6,39,8.6,1128,141,,,,,,,,,
2013-8-30 13:00:00,29.5,24.5,30.2,28.9,1002.9,0,75,70,29,6.5,30,5,30,9.7,1076,194,,,,,,,,,
2013-8-30 12:00:00,29,23.9,29.1,28.6,1003.4,0,75,75,42,4.3,40,5,52,9.1,847,174,,,,,,,,,
2013-8-30 11:00:00,28.8,24.7,28.8,28.2,1003.5,0,78,77,17,4.4,40,4.7,44,9.6,567,104,,,,,,,,,
2013-8-30 10:00:00,28.3,24.8,28.7,28,1003.3,0,81,78,14,4.3,25,5.7,21,10.6,1031,344,,,,,,,,,
2013-8-30 9:00:00,28.5,24.6,28.6,27.9,1003.2,0,79,73,24,3.3,21,5.5,35,9,1142,197,,,,,,,,,
2013-8-30 8:00:00,27.9,23,28.1,27.5,1003.1,0,74,72,19,2.1,42,3.7,43,7.3,1125,574,,,,,,,,,
2013-8-30 7:00:00,28,26.9,28,27.5,1002.3,0,94,94,50,2.1,44,1.8,18,5.2,1013,998,,,,,,,,,
2013-8-30 6:00:00,27.5,26.6,27.8,27.5,1002,0,95,92,1,1.5,8,1.7,13,2.8,1037,1036,,,,,,,,,
2013-8-30 5:00:00,27.7,26.3,28.1,27.6,1001.4,0,92,91,310,0,312,0,169,2.5,1058,1026,,,,,,,,,
2013-8-30 4:00:00,28.1,26.4,28.3,28,1001.2,0,91,90,200,1.5,195,1.4,197,3.8,1050,1015,,,,,,,,,
2013-8-30 3:00:00,28.2,26.4,28.5,28.2,1001.6,0,90,89,190,3.7,191,3.1,195,4,1019,1010,,,,,,,,,
2013-8-30 2:00:00,28.3,26.4,28.5,28.2,1001.8,0,89,89,187,2.5,211,2.2,198,4.2,1081,1028,,,,,,,,,
2013-8-30 1:00:00,28.4,26.6,28.5,28.3,1001.8,0,90,89,205,3.9,203,3.6,213,5.1,1047,786,,,,,,,,,
2013-8-30 00:00:00,28.4,26.3,28.6,28.3,1001.7,0,89,89,209,4.7,212,4.4,199,5.9,1075,946,,,,,,,,,
2013-8-29 23:00:00,28.5,26.9,28.8,28.4,1001.5,0,91,90,177,2.7,183,4.4,177,5.7,1086,962,,,,,,,,,
2013-8-29 22:00:00,28.8,27.2,28.9,28.6,1001.9,0,91,87,174,3.8,189,3.4,180,6.4,1066,955,,,,,,,,,
2013-8-29 21:00:00,28.8,26.5,29.3,28.7,1001.9,0,87,86,169,4.5,176,4.4,188,8.6,1051,876,,,,,,,,,
2013-8-29 20:00:00,29.1,26.7,29.3,29,1002,0,87,86,179,6.1,185,6.5,182,9.8,1031,896,,,,,,,,,
2013-8-29 19:00:00,29.1,26.5,29.7,29,1001.7,0,86,85,99,1.5,136,1.5,198,6.7,1113,1010,,,,,,,,,
2013-8-29 18:00:00,29.6,27.1,29.6,29.2,1001.9,0,86,86,198,5.2,198,6.3,169,8,1034,926,,,,,,,,,
2013-8-29 17:00:00,29.4,27,30.4,29.3,1000.7,0,87,81,171,6.5,174,5.9,172,8,1107,978,,,,,,,,,
2013-8-29 16:00:00,30.3,26.6,32.8,30.2,1000.2,0,81,71,171,4.1,171,5,175,7.7,1139,941,,,,,,,,,
2013-8-29 15:00:00,32.7,26.6,33.2,32.6,1000.2,0,70,66,183,5,177,5,182,7.4,1008,965,,,,,,,,,
2013-8-29 14:00:00,33.1,26.3,33.4,32.5,1000.5,0,67,65,198,5.8,188,5.9,193,8,998,978,,,,,,,,,
2013-8-29 13:00:00,32.9,26,33,32.1,1001.3,0,67,67,192,5,199,6.1,201,9.3,1057,981,,,,,,,,,
2013-8-29 12:00:00,32.2,26,32.3,31.5,1001.7,0,69,66,204,7.3,205,6.3,215,8.8,1100,961,,,,,,,,,
2013-8-29 11:00:00,31.6,25.6,31.7,31,1002,0,70,70,215,6.3,212,6.7,213,9,1060,476,,,,,,,,,
2013-8-29 10:00:00,31.1,25.9,31.1,30.5,1002.1,0,74,74,206,7.3,207,7,199,8.1,1083,983,,,,,,,,,
2013-8-29 9:00:00,30.6,26.1,30.7,29.7,1002.5,0,77,76,211,5,213,5.4,214,8.3,1111,984,,,,,,,,,
2013-8-29 8:00:00,29.8,25.9,29.8,28.8,1002.3,0.1,80,80,221,7.5,214,7.1,222,9.4,1108,989,,,,,,,,,
2013-8-29 7:00:00,28.8,25.6,28.9,28,1002.5,0,83,83,208,5.2,218,6.5,208,9,1045,609,,,,,,,,,
2013-8-29 6:00:00,28.1,25.5,28.2,28,1001.9,0,86,86,221,6.6,213,7.3,217,9.4,1155,1023,,,,,,,,,
2013-8-29 5:00:00,28.1,25.5,28.2,28,1002,0,86,86,217,7.1,215,7.3,212,9.7,1153,389,,,,,,,,,
2013-8-29 4:00:00,28.1,25.6,28.4,28.1,1001.9,0,86,86,207,6.2,211,8,214,10.5,1199,1049,,,,,,,,,
