time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,20.4,,21.2,20.4,,0,,,22,1.8,22,1.2,26,4.1,,,,,,,,,,,
2013-9-1 00:00:00,21.1,,21.8,20.8,,0,,,8,2.7,25,2.4,33,4,,,,,,,,,,,
2013-8-31 22:00:00,21.7,,22.1,21.7,,0,,,7,1.6,36,2,85,4.6,,,,,,,,,,,
2013-8-31 21:00:00,22,,22.7,21.9,,0,,,71,0.7,53,0.9,72,4.6,,,,,,,,,,,
2013-8-31 20:00:00,22.6,,23.3,22.6,,0,,,0,0,59,1.5,46,5.1,,,,,,,,,,,
2013-8-31 19:00:00,23.3,,24.3,23.3,,0,,,18,3.7,37,3.2,46,6.3,,,,,,,,,,,
2013-8-31 17:00:00,25.4,,26.5,25.4,,0,,,5,4.6,13,3.8,9,7.2,,,,,,,,,,,
2013-8-31 15:00:00,26.5,,28.9,26.4,,0,,,25,2.7,34,2.9,13,7.9,,,,,,,,,,,
2013-8-31 14:00:00,27.4,,29.8,27.4,,0,,,351,2.9,24,3.8,16,7.1,,,,,,,,,,,
2013-8-31 13:00:00,28.7,,29.8,28.7,,0,,,12,3.4,17,4.1,0,7.1,,,,,,,,,,,
2013-8-31 11:00:00,28.7,,28.7,26.5,,0,,,67,1.5,18,3,12,7.2,,,,,,,,,,,
2013-8-31 10:00:00,27.2,,27.2,25.9,,0,,,22,3.4,15,4,12,6.5,,,,,,,,,,,
2013-8-31 9:00:00,25.8,,25.9,24.4,,0,,,10,3.8,4,4.1,347,6.4,,,,,,,,,,,
2013-8-31 7:00:00,22.3,,22.3,21.2,,0,,,351,2.7,347,2.3,346,3.7,,,,,,,,,,,
2013-8-31 4:00:00,21.9,,22.4,21.8,,0,,,325,0.5,311,1,317,2.3,,,,,,,,,,,
2013-8-30 23:00:00,24.4,,24.8,24.3,,0,,,355,2.1,4,3.1,16,8.5,,,,,,,,,,,
2013-8-30 22:00:00,24.8,,25.3,24.8,,0,,,356,4.3,6,3.9,9,8.6,,,,,,,,,,,
2013-8-30 21:00:00,25.3,,25.6,25.3,,0,,,17,1.4,12,2.4,9,7.8,,,,,,,,,,,
2013-8-30 18:00:00,27.7,,28.6,27.7,,0,,,22,6.6,20,4.3,359,8.9,,,,,,,,,,,
2013-8-30 17:00:00,28.6,,30,28.6,,0,,,14,3.6,25,2.9,14,8.1,,,,,,,,,,,
2013-8-30 16:00:00,29.9,,30.3,29.4,,0,,,58,3.4,50,2.8,356,6.7,,,,,,,,,,,
2013-8-30 15:00:00,29.6,,31.8,29.6,,0,,,44,1.1,24,3.7,15,8.2,,,,,,,,,,,
2013-8-30 14:00:00,31.9,,32,31.7,,0,,,50,4.8,53,3.9,32,8,,,,,,,,,,,
2013-8-30 13:00:00,31.9,,32,31.3,,0,,,18,4.4,19,3.8,12,7.7,,,,,,,,,,,
2013-8-30 10:00:00,30.1,,30.1,28.6,,0,,,59,3.6,37,2.5,39,8,,,,,,,,,,,
2013-8-30 8:00:00,27.7,,27.7,27.3,,0,,,0,0,28,1.4,20,3.7,,,,,,,,,,,
2013-8-30 7:00:00,27.3,,27.3,26.7,,0,,,0,0,0,0,4,2.6,,,,,,,,,,,
2013-8-30 4:00:00,26.8,,27,26.8,,0,,,0,0,0,0,0,0,,,,,,,,,,,
2013-8-30 2:00:00,26.9,,27,26.9,,0,,,0,0,0,0,0,0,,,,,,,,,,,
2013-8-29 23:00:00,26.7,,27.1,26.7,,0,,,0,0,0,0,0,0,,,,,,,,,,,
2013-8-29 19:00:00,27.5,,27.7,27.5,,0,,,0,0,0,0,62,2.8,,,,,,,,,,,
2013-8-29 18:00:00,27.8,,28,27.8,,0,,,0,0,64,0.4,50,3.6,,,,,,,,,,,
2013-8-29 17:00:00,28,,28,27.7,,0,,,0,0,0,0,324,2.2,,,,,,,,,,,
2013-8-29 16:00:00,27.8,,32.5,27.8,,1.5,,,0,0,0,0,351,8.6,,,,,,,,,,,
2013-8-29 15:00:00,32.6,,37.2,32.6,,0,,,0,0,155,0.2,155,5.1,,,,,,,,,,,
2013-8-29 12:00:00,36.4,,36.7,36,,0,,,263,0.4,249,0.3,242,4,,,,,,,,,,,
2013-8-28 20:00:00,29.7,,30.3,29.7,,0,,,126,0,161,1.1,182,4.3,,,,,,,,,,,
2013-8-28 13:00:00,35.2,,35.3,33.1,,0,,,0,0,148,0.2,234,3.8,,,,,,,,,,,
