time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.7,,23,22.7,,0,,,347,0.8,14,1.3,350,3.2,,,,,,,,,,,
2013-9-1 00:00:00,23,,23.1,23,,0,,,350,2.3,9,1.6,319,3.7,,,,,,,,,,,
2013-8-31 23:00:00,23,,23,22.7,,0,,,341,1.7,8,1.7,336,3.4,,,,,,,,,,,
2013-8-31 22:00:00,23,,23.4,23,,0,,,74,1.1,40,0.8,74,4.6,,,,,,,,,,,
2013-8-31 21:00:00,23.4,,24,23.4,,0,,,43,0.8,30,1.6,38,4.4,,,,,,,,,,,
2013-8-31 20:00:00,24.1,,25,24.1,,0,,,102,1.9,49,2.6,1,5.6,,,,,,,,,,,
2013-8-31 19:00:00,25,,25.8,25,,0,,,29,2,24,2.6,15,6.5,,,,,,,,,,,
2013-8-31 18:00:00,25.8,,26.9,25.8,,0,,,355,3.5,360,3.1,344,8.1,,,,,,,,,,,
2013-8-31 17:00:00,27,,27.6,27,,0,,,344,2.8,360,2.5,333,8.6,,,,,,,,,,,
2013-8-31 16:00:00,27.1,,27.6,27,,0,,,333,5.4,339,4.8,333,10.3,,,,,,,,,,,
2013-8-31 15:00:00,27.6,,27.7,27.2,,0,,,319,5.2,315,4.6,296,9.1,,,,,,,,,,,
2013-8-31 14:00:00,27.5,,27.7,27.2,,0,,,313,5.5,310,5.1,344,9.2,,,,,,,,,,,
2013-8-31 13:00:00,27.4,,27.5,26.8,,0,,,310,5.9,320,5,336,8,,,,,,,,,,,
2013-8-31 12:00:00,27,,27.1,26.1,,0,,,324,3.8,310,4.1,308,7.4,,,,,,,,,,,
2013-8-31 11:00:00,26.1,,26.3,25.6,,0,,,299,3.9,312,3.2,333,6.2,,,,,,,,,,,
2013-8-31 10:00:00,26.2,,26.2,24.9,,0,,,327,4.6,336,5.1,336,7.9,,,,,,,,,,,
