time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,20.8,,21.7,20.7,,0,,,38,1.3,29,1.2,29,3.5,,,,,,,,,,,
2013-9-1 00:00:00,21.6,,21.6,20.1,,0,,,18,2.9,20,1.9,23,4.1,,,,,,,,,,,
2013-8-31 23:00:00,21,,21.9,21,,0,,,38,0.9,49,1.3,32,4.1,,,,,,,,,,,
2013-8-31 22:00:00,21.9,,23,21.9,,0,,,46,1.5,39,2,7,5.7,,,,,,,,,,,
2013-8-31 21:00:00,23,,23.5,22.6,,0,,,29,3.8,41,3.7,46,6,,,,,,,,,,,
2013-8-31 20:00:00,23.5,,24.5,23.5,,0,,,38,3.8,38,3.5,18,7.3,,,,,,,,,,,
2013-8-31 19:00:00,24.4,,25.3,24.4,,0,,,29,4.5,36,3.7,29,8.5,,,,,,,,,,,
2013-8-31 18:00:00,25.3,,26.3,25.3,,0,,,60,3.2,33,4,21,8,,,,,,,,,,,
2013-8-31 17:00:00,26.3,,26.9,26.3,,0,,,1,4.7,10,5,344,9,,,,,,,,,,,
2013-8-31 16:00:00,26.7,,28.6,26.7,,0,,,347,8.1,0,6.1,353,9.9,,,,,,,,,,,
2013-8-31 15:00:00,27.7,,29.3,26.8,,0,,,15,3.3,1,3.4,347,8.3,,,,,,,,,,,
2013-8-31 14:00:00,29.1,,29.4,27.2,,0,,,38,2.9,13,4.6,344,8,,,,,,,,,,,
2013-8-31 13:00:00,29.1,,29.2,27.3,,0,,,336,4.4,329,4.9,353,7.8,,,,,,,,,,,
2013-8-31 12:00:00,28.4,,28.9,27.6,,0,,,355,6.6,345,4.2,330,7.3,,,,,,,,,,,
2013-8-31 11:00:00,28.1,,28.2,26.7,,0,,,353,2.8,2,2.8,333,6.9,,,,,,,,,,,
2013-8-31 10:00:00,27.1,,27.1,25.9,,0,,,7,3.7,7,2.3,353,5.9,,,,,,,,,,,
2013-8-31 9:00:00,25.9,,26,24.3,,0,,,350,2.5,344,3.3,319,6,,,,,,,,,,,
2013-8-31 8:00:00,24.3,,24.4,23.5,,0,,,310,3.8,317,3.1,316,5.1,,,,,,,,,,,
2013-8-31 7:00:00,23.7,,23.8,23.3,,0,,,344,2.3,345,2.4,353,5,,,,,,,,,,,
2013-8-31 6:00:00,23.3,,23.4,22.7,,0,,,336,3.2,346,3,355,4.5,,,,,,,,,,,
2013-8-31 5:00:00,22.8,,23.8,22.8,,0,,,324,2.2,324,1.9,4,4.7,,,,,,,,,,,
2013-8-31 4:00:00,23.8,,24.2,23.7,,0,,,1,3.6,5,2.8,7,5.6,,,,,,,,,,,
2013-8-31 3:00:00,24.2,,24.3,23.8,,0,,,12,2.8,7,2.5,29,7.5,,,,,,,,,,,
2013-8-31 2:00:00,23.8,,24.4,23.7,,0,,,350,2.8,18,2.5,15,6.9,,,,,,,,,,,
2013-8-31 1:00:00,24.1,,24.8,24.1,,0,,,4,3.1,18,3.2,29,8.8,,,,,,,,,,,
2013-8-31 00:00:00,24.7,,25.3,24.6,,0,,,23,7.3,13,4.2,26,9.2,,,,,,,,,,,
2013-8-30 23:00:00,25.2,,25.6,25.1,,0,,,18,5.1,11,5.1,26,9.5,,,,,,,,,,,
2013-8-30 22:00:00,25.6,,26.4,25.6,,0,,,38,4.2,22,4.5,21,10.6,,,,,,,,,,,
2013-8-30 21:00:00,26.4,,27.2,26.4,,0,,,18,5.6,31,4.7,29,10.9,,,,,,,,,,,
2013-8-30 20:00:00,27.1,,28,27.1,,0,,,29,5.7,29,4,23,10.2,,,,,,,,,,,
2013-8-30 19:00:00,28,,28.9,28,,0,,,15,3.8,33,5,35,9.2,,,,,,,,,,,
2013-8-30 18:00:00,28.9,,29.5,28.9,,0,,,46,3.1,40,3.8,32,8.7,,,,,,,,,,,
2013-8-30 17:00:00,29.4,,30.1,29.4,,0,,,60,2.7,38,3.6,32,7.5,,,,,,,,,,,
2013-8-30 16:00:00,30.2,,31.5,30.2,,0,,,29,4,40,3.4,32,7.7,,,,,,,,,,,
