time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,21.9,17.5,22,21.8,1011.8,0,76,70,329,0.7,331,0.5,325,1.3,,,,,,,,,,,
2013-9-1 00:00:00,22,16.3,22.9,21.9,1011.9,0,70,62,307,0.5,316,0.7,40,2.9,,,,,,,,,,,
2013-8-31 23:00:00,22.9,15,23,22.7,1011.7,0,61,61,47,1.2,27,1.7,11,4.9,,,,,,,,,,,
2013-8-31 22:00:00,23.1,15.7,23.8,23.1,1011.6,0,63,59,39,2,31,1.3,52,5.5,,,,,,,,,,,
2013-8-31 21:00:00,23.8,15.3,24.5,23.8,1011.3,0,59,55,79,2.3,50,1.7,45,5.9,,,,,,,,,,,
2013-8-31 20:00:00,24.6,15.3,25.4,24.6,1011.1,0,56,53,52,5.5,32,2.6,40,6.6,,,,,,,,,,,
2013-8-31 19:00:00,25.4,15.7,26.2,25.4,1010.8,0,55,52,19,2.7,25,3.2,27,7.2,,,,,,,,,,,
2013-8-31 18:00:00,26.2,15.9,27,26.2,1010.5,0,53,48,6,2.8,18,3.2,17,6.7,,,,,,,,,,,
2013-8-31 17:00:00,27.1,15.8,27.9,27.1,1010.1,0,50,46,2,2.1,12,4,13,8.1,,,,,,,,,,,
2013-8-31 16:00:00,27.8,15.8,28.5,27.8,1009.9,0,48,41,3,4.5,357,3,347,6.8,,,,,,,,,,,
2013-8-31 15:00:00,28.6,15.9,29.6,28.6,1009.6,0,46,42,329,4.1,332,3.4,305,6.6,,,,,,,,,,,
2013-8-31 14:00:00,29.4,15.2,29.5,28.5,1009.6,0,42,40,5,1.4,349,2.1,343,6.3,,,,,,,,,,,
2013-8-31 13:00:00,28.7,16.9,29,28.2,1010,0,49,46,338,2.7,333,2.7,350,6.9,,,,,,,,,,,
2013-8-31 12:00:00,28.3,16.3,28.7,27.6,1010.2,0,48,46,358,3.8,353,2.9,30,7.4,,,,,,,,,,,
2013-8-31 10:00:00,26.9,19,26.9,25.6,1010.6,0,62,62,342,3.5,307,2.3,329,5.4,,,,,,,,,,,
2013-8-31 9:00:00,25.6,19,25.6,24.8,1010.5,0,67,67,333,2.1,338,2.9,321,5.4,,,,,,,,,,,
2013-8-31 8:00:00,24.9,19.7,24.9,23.8,1010.2,0,73,72,311,2,319,1.7,297,4.4,,,,,,,,,,,
2013-8-31 7:00:00,23.8,19.3,23.8,22.8,1009.7,0,76,76,9,2.5,329,2.2,324,3.6,,,,,,,,,,,
2013-8-31 6:00:00,22.8,20.1,22.8,22.6,1009,0,85,85,352,0.3,329,0.9,320,2.2,,,,,,,,,,,
2013-8-31 5:00:00,22.7,20.2,23.4,22.7,1008.5,0,86,79,302,1.3,318,1.2,315,2.3,,,,,,,,,,,
2013-8-31 4:00:00,23.4,19.6,24.1,23.4,1008.1,0,79,77,327,1.4,330,1.5,318,2.9,,,,,,,,,,,
2013-8-31 3:00:00,24.1,19.8,24.3,24.1,1008,0,77,76,329,0.7,342,1.5,355,4.2,,,,,,,,,,,
2013-8-31 2:00:00,24.1,19.6,24.6,24.1,1007.6,0,76,73,6,2.9,356,1.6,358,4.1,,,,,,,,,,,
2013-8-31 1:00:00,24.6,19.7,25.3,24.6,1007.3,0,74,70,0,1,359,1.4,34,6,,,,,,,,,,,
2013-8-31 00:00:00,25.3,19.4,25.6,25.3,1007.2,0,70,69,9,4,4,3,16,8.4,,,,,,,,,,,
2013-8-30 23:00:00,25.6,20.4,26.1,25.6,1006.9,0,73,69,19,6.2,13,2.9,341,8,,,,,,,,,,,
2013-8-30 22:00:00,26,20.1,26.9,26,1006.5,0,70,68,15,3.8,14,5.3,13,9.6,,,,,,,,,,,
2013-8-30 21:00:00,26.9,21,27.9,26.9,1006.5,0,70,69,11,4.5,7,3.5,31,8.5,,,,,,,,,,,
2013-8-30 20:00:00,27.9,22.2,28.9,27.9,1005.7,0,71,66,24,4.1,13,4.3,46,7.4,,,,,,,,,,,
2013-8-30 19:00:00,28.9,21.9,29.7,28.9,1004.6,0,66,64,41,3.9,45,5.5,48,8.7,,,,,,,,,,,
2013-8-30 18:00:00,29.7,22.2,30.2,29.7,1003.6,0,64,62,33,2.9,27,2.1,12,8.3,,,,,,,,,,,
2013-8-30 17:00:00,30.2,22.6,31.3,30.1,1003,0,64,57,359,2.8,35,3.4,30,6.9,,,,,,,,,,,
2013-8-30 16:00:00,31.3,22.3,32.3,31.3,1002.9,0,59,56,15,2.8,38,2.9,44,6.8,,,,,,,,,,,
2013-8-30 15:00:00,32.2,22.9,32.2,31.4,1002.6,0,58,55,11,3.2,4,2.3,349,6.5,,,,,,,,,,,
2013-8-30 14:00:00,31.6,22,31.6,30.9,1002.8,0,57,56,7,3.1,12,3.3,16,6.9,,,,,,,,,,,
2013-8-30 13:00:00,30.9,22.2,31.8,30.9,1002.6,0,60,56,2,2.7,20,3.6,2,8.7,,,,,,,,,,,
2013-8-30 12:00:00,31.2,23.3,31.2,30.6,1003.2,0,63,60,17,1.6,25,2.7,36,7.8,,,,,,,,,,,
2013-8-30 11:00:00,30.5,23.2,31.4,30.5,1003.3,0,65,62,18,1.7,28,2.3,3,7.1,,,,,,,,,,,
2013-8-30 10:00:00,31,23.6,31.1,30.4,1003.2,0,65,63,0,4.1,7,3,34,6.6,,,,,,,,,,,
2013-8-30 9:00:00,30.4,23.8,30.4,29.2,1003.2,0,68,68,26,3,43,3,18,6.6,,,,,,,,,,,
2013-8-30 8:00:00,29.2,25.2,29.2,27.8,1003,0,79,79,12,3.2,0,3.3,3,5.1,,,,,,,,,,,
2013-8-30 7:00:00,27.8,26.2,27.8,27.5,1002.5,0,91,91,358,0.9,338,1.1,320,2.6,,,,,,,,,,,
2013-8-30 6:00:00,27.5,26.6,27.5,27.1,1002,0,95,95,354,0.6,332,0.9,294,1.8,,,,,,,,,,,
2013-8-30 5:00:00,27.1,26.4,27.1,27,1001.5,0,96,95,314,0.2,354,0,323,1.2,,,,,,,,,,,
2013-8-30 4:00:00,27.1,26.2,27.3,27.1,1001,0,95,95,17,0.3,34,0.4,91,1.4,,,,,,,,,,,
2013-8-30 3:00:00,27.3,26.4,27.4,27.3,1001.2,0,95,95,33,0.2,72,0.4,113,1.7,,,,,,,,,,,
2013-8-30 2:00:00,27.4,26.7,27.4,27.3,1001.6,0,96,96,68,0.3,58,0.5,58,1.3,,,,,,,,,,,
