time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.6,,23.7,23.5,,0,,,108,0.8,49,1.8,57,5.6,,,,,,,,,,,
2013-9-1 00:00:00,23.6,,23.7,23.5,,0,,,105,1.5,34,1.4,40,5.6,,,,,,,,,,,
2013-8-31 23:00:00,23.7,,23.9,23.7,,0,,,66,4.8,59,2.4,60,7.1,,,,,,,,,,,
2013-8-31 22:00:00,23.9,,24.2,23.9,,0,,,60,4.1,58,4.3,49,8.2,,,,,,,,,,,
2013-8-31 21:00:00,24.2,,24.4,24.2,,0,,,60,1.6,57,2.8,54,6.8,,,,,,,,,,,
2013-8-31 20:00:00,24.4,,25,24.4,,0,,,52,2.8,65,2.1,49,8.2,,,,,,,,,,,
2013-8-31 19:00:00,25,,25.5,25,,0,,,38,4.5,66,2.4,49,8.2,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,26.5,25.5,,0,,,26,5.1,40,3.7,32,8.5,,,,,,,,,,,
2013-8-31 17:00:00,26.3,,27.3,26.3,,0,,,57,3.5,47,3.1,57,7.7,,,,,,,,,,,
2013-8-31 16:00:00,27.3,,27.8,27.1,,0,,,52,2.9,51,3.8,60,8.9,,,,,,,,,,,
2013-8-31 15:00:00,27.1,,28.7,27.1,,0,,,52,2.9,44,4.6,60,8.6,,,,,,,,,,,
2013-8-31 14:00:00,27.8,,29.1,27.7,,0,,,358,2.1,27,3,46,8.1,,,,,,,,,,,
2013-8-31 13:00:00,28.8,,29.3,27.8,,0,,,15,1.9,13,2.2,313,6.3,,,,,,,,,,,
2013-8-31 12:00:00,28.1,,29.5,27.9,,0,,,49,0.6,63,1.8,54,7.6,,,,,,,,,,,
2013-8-31 11:00:00,28.1,,28.3,26.4,,0,,,12,1.7,18,1.8,57,7.4,,,,,,,,,,,
2013-8-31 10:00:00,26.5,,27.1,25.9,,0,,,7,1.8,60,2.6,49,6.1,,,,,,,,,,,
2013-8-31 9:00:00,26.3,,26.3,25.4,,0,,,26,1.6,58,2.1,38,5.9,,,,,,,,,,,
2013-8-31 8:00:00,25.4,,25.4,24.6,,0,,,57,4.1,52,3.1,71,5.7,,,,,,,,,,,
2013-8-31 7:00:00,24.6,,24.8,24.5,,0,,,60,1.9,40,1.8,77,4.8,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.5,24.3,,0,,,46,2.2,59,3.1,68,5.8,,,,,,,,,,,
2013-8-31 5:00:00,24.4,,24.6,24.4,,0,,,66,2.3,37,2,40,4.1,,,,,,,,,,,
2013-8-31 4:00:00,24.6,,24.8,24.6,,0,,,60,2.4,40,2.2,66,5.6,,,,,,,,,,,
2013-8-31 3:00:00,24.8,,25.1,24.8,,0,,,54,3,55,3.4,46,7.9,,,,,,,,,,,
2013-8-31 2:00:00,25.1,,25.2,25,,0,,,60,2.3,53,2.9,38,8.2,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.6,25.2,,0,,,83,1.1,58,2.9,49,9.7,,,,,,,,,,,
2013-8-31 00:00:00,25.6,,25.8,25.6,,0,,,52,3.7,48,4.3,43,9.2,,,,,,,,,,,
2013-8-30 23:00:00,25.8,,26.2,25.8,,0,,,66,1.9,60,4.5,52,9.6,,,,,,,,,,,
2013-8-30 22:00:00,26.2,,26.4,26.1,,0,,,91,3.5,45,4.5,40,7.8,,,,,,,,,,,
2013-8-30 21:00:00,26.4,,27.3,26.4,,0,,,63,2.3,66,4.4,52,10,,,,,,,,,,,
2013-8-30 20:00:00,27.3,,28.2,27.3,,0,,,26,3.6,57,3.6,54,9.8,,,,,,,,,,,
2013-8-30 19:00:00,28.1,,28.8,28.1,,0,,,32,3.8,45,3.7,71,10.8,,,,,,,,,,,
2013-8-30 18:00:00,28.8,,29.6,28.8,,0,,,63,3.8,66,4.5,74,13,,,,,,,,,,,
2013-8-30 17:00:00,29.6,,30.3,29.6,,0,,,105,2.3,61,3.4,74,9.3,,,,,,,,,,,
2013-8-30 16:00:00,30.3,,31,30.3,,0,,,54,4.7,42,2.9,38,8.2,,,,,,,,,,,
2013-8-30 15:00:00,30.9,,31.7,30.9,,0,,,23,1.9,45,2.8,74,8.4,,,,,,,,,,,
2013-8-30 14:00:00,31.6,,32,31.1,,0,,,57,4.1,62,4,63,8.9,,,,,,,,,,,
2013-8-30 13:00:00,31.3,,31.5,30.7,,0,,,49,7.1,37,4.5,60,9.4,,,,,,,,,,,
