time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.7,,23.8,23.7,,0,,,26,2.1,23,2.2,29,6.9,,,,,,,,,,,
2013-9-1 00:00:00,23.7,,23.9,23.7,,0,,,29,2.8,39,3.1,330,6,,,,,,,,,,,
2013-8-31 23:00:00,23.8,,24.1,23.8,,0,,,7,2.9,30,2.4,302,6.9,,,,,,,,,,,
2013-8-31 22:00:00,24.1,,24.3,24.1,,0,,,313,0.9,351,1.8,26,7.6,,,,,,,,,,,
2013-8-31 21:00:00,24.3,,24.5,24.3,,0,,,40,2.6,3,3.9,7,8.1,,,,,,,,,,,
2013-8-31 20:00:00,24.5,,24.8,24.5,,0,,,18,5.8,14,4.3,15,8.8,,,,,,,,,,,
2013-8-31 19:00:00,24.8,,25.6,24.8,,0,,,15,5,33,4.2,18,8.4,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,26.2,25.5,,0,,,15,4.2,338,2.7,18,11,,,,,,,,,,,
2013-8-31 17:00:00,26.2,,27.2,26.2,,0,,,15,2.4,359,3.6,23,8.5,,,,,,,,,,,
2013-8-31 16:00:00,26.8,,28.7,26.8,,0,,,71,3.3,19,4.4,18,8.1,,,,,,,,,,,
2013-8-31 15:00:00,27.9,,28.9,27.7,,0,,,336,4,9,3.6,15,8.9,,,,,,,,,,,
2013-8-31 14:00:00,28.2,,29.6,27.5,,0,,,4,3.5,356,2.7,347,9.7,,,,,,,,,,,
2013-8-31 13:00:00,29.3,,29.6,27.1,,0,,,344,2.3,2,1.1,12,7.6,,,,,,,,,,,
2013-8-31 12:00:00,28.8,,29.6,27.9,,0,,,60,1.1,341,1.5,330,7.2,,,,,,,,,,,
2013-8-31 11:00:00,28.2,,28.6,27.1,,0,,,336,2.9,346,3.3,327,8,,,,,,,,,,,
2013-8-31 10:00:00,27.4,,27.4,25.9,,0,,,330,2,5,1,353,7.1,,,,,,,,,,,
2013-8-31 9:00:00,26.4,,26.4,25,,0,,,347,3,354,1.8,15,6.9,,,,,,,,,,,
2013-8-31 8:00:00,25.1,,25.5,24.7,,0,,,12,2,8,3.6,21,6.8,,,,,,,,,,,
2013-8-31 7:00:00,24.7,,24.8,24.6,,0,,,32,2.9,30,3.2,23,8.2,,,,,,,,,,,
2013-8-31 6:00:00,24.7,,24.7,24.6,,0,,,18,1.2,5,1.9,32,6.8,,,,,,,,,,,
2013-8-31 5:00:00,24.6,,24.7,24.6,,0,,,353,2.2,22,2.5,7,6.3,,,,,,,,,,,
2013-8-31 4:00:00,24.7,,24.9,24.6,,0,,,319,0.8,17,2.2,12,7.4,,,,,,,,,,,
2013-8-31 3:00:00,24.8,,25,24.8,,0,,,32,3.1,26,3.6,330,7,,,,,,,,,,,
2013-8-31 2:00:00,25,,25.2,25,,0,,,263,2.2,348,2.3,7,7.7,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.6,25.2,,0,,,316,7.8,335,3,12,8.5,,,,,,,,,,,
2013-8-31 00:00:00,25.6,,25.9,25.6,,0,,,57,1,349,2.4,4,8.3,,,,,,,,,,,
2013-8-30 23:00:00,25.9,,26,25.8,,0,,,333,0.9,350,2.3,18,9,,,,,,,,,,,
2013-8-30 22:00:00,26,,26.3,26,,0,,,52,1.5,357,2.1,18,9.6,,,,,,,,,,,
2013-8-30 21:00:00,26.3,,26.9,26.3,,0,,,341,5.2,25,4.1,38,9.5,,,,,,,,,,,
2013-8-30 20:00:00,26.8,,27.7,26.8,,0,,,26,4,15,3.4,15,9.2,,,,,,,,,,,
2013-8-30 19:00:00,27.7,,28.7,27.7,,0,,,9,1.3,16,3.5,18,10,,,,,,,,,,,
2013-8-30 18:00:00,28.7,,29.4,28.7,,0,,,344,1.3,13,1.7,38,10.4,,,,,,,,,,,
2013-8-30 17:00:00,29.4,,30.4,29.4,,0,,,26,4.3,4,4.1,15,8.8,,,,,,,,,,,
2013-8-30 16:00:00,30.5,,30.9,30.1,,0,,,308,1.7,4,3,353,8.6,,,,,,,,,,,
2013-8-30 15:00:00,30.8,,31.2,30.5,,0,,,38,3.6,9,3.2,32,10.4,,,,,,,,,,,
2013-8-30 14:00:00,30.7,,32.2,30.7,,0,,,21,2.5,24,4.3,15,9.3,,,,,,,,,,,
2013-8-30 13:00:00,31,,31.6,30.5,,0,,,23,2.1,353,3.1,21,10.1,,,,,,,,,,,
2013-8-30 12:00:00,31.4,,31.4,30,,0,,,350,2.3,359,2.5,32,8.3,,,,,,,,,,,
2013-8-30 11:00:00,30.2,,30.2,29.5,,0,,,74,2.1,34,1.3,26,8.8,,,,,,,,,,,
2013-8-30 10:00:00,30.1,,30.3,29.2,,0,,,46,4.2,20,2.6,32,9.8,,,,,,,,,,,
2013-8-30 9:00:00,29.1,,30.3,29.1,,0,,,15,4,5,2.7,15,9.8,,,,,,,,,,,
2013-8-30 8:00:00,29.6,,29.8,28.4,,0,,,322,2,355,2.7,330,7.3,,,,,,,,,,,
2013-8-30 7:00:00,28.4,,28.4,28.1,,0,,,344,1.4,356,1.7,35,5.5,,,,,,,,,,,
2013-8-30 6:00:00,28.1,,28.6,28.1,,0,,,257,1.4,343,2,341,6.6,,,,,,,,,,,
2013-8-30 5:00:00,28.6,,28.6,28.2,,0,,,9,0.9,357,1.2,7,2.4,,,,,,,,,,,
2013-8-30 4:00:00,28.3,,28.4,28.2,,0,,,94,1.3,91,0.9,77,1.9,,,,,,,,,,,
2013-8-30 3:00:00,28.4,,28.6,28.4,,0,,,102,0.6,112,0.8,94,1.5,,,,,,,,,,,
2013-8-30 2:00:00,28.6,,28.6,28.5,,0,,,122,0.5,94,0.9,97,1.9,,,,,,,,,,,
2013-8-30 1:00:00,28.5,,28.5,28.4,,0,,,66,0.3,66,0.3,105,1.5,,,,,,,,,,,
2013-8-30 00:00:00,28.5,,28.6,28.5,,0,,,105,0.3,91,0.6,130,2,,,,,,,,,,,
2013-8-29 23:00:00,28.5,,28.8,28.5,,0,,,105,0.6,125,0.6,147,3.1,,,,,,,,,,,
2013-8-29 22:00:00,28.8,,29,28.8,,0,,,60,0.3,88,1,139,4.2,,,,,,,,,,,
2013-8-29 21:00:00,29,,29.2,28.6,,0,,,113,1.4,115,1.7,122,3.2,,,,,,,,,,,
2013-8-29 20:00:00,28.7,,28.8,28.4,,0,,,60,0,0,0,122,2.6,,,,,,,,,,,
2013-8-29 19:00:00,28.5,,28.8,28.2,,0,,,71,0.6,87,0.7,26,5.1,,,,,,,,,,,
2013-8-29 18:00:00,28.6,,28.6,27.4,,0.1,,,60,0.7,105,1,257,5.4,,,,,,,,,,,
2013-8-29 17:00:00,27.4,,29.5,26.1,,12.9,,,139,1.8,130,1.5,277,8.3,,,,,,,,,,,
2013-8-29 16:00:00,29.5,,35,29.5,,0,,,7,1.2,323,2.4,327,12.1,,,,,,,,,,,
2013-8-29 15:00:00,35,,36.2,35,,0,,,105,2.7,138,3.5,195,6.1,,,,,,,,,,,
2013-8-29 14:00:00,35.4,,35.5,34.6,,0,,,209,4,127,2.2,142,7.6,,,,,,,,,,,
2013-8-29 13:00:00,35.2,,35.4,33.6,,0,,,187,4.6,176,4.3,130,8,,,,,,,,,,,
2013-8-29 12:00:00,34.3,,34.4,33.2,,0,,,173,4.4,177,4.1,156,7.6,,,,,,,,,,,
2013-8-29 11:00:00,33.8,,34.3,32.8,,0,,,133,3.5,131,3.9,150,7.8,,,,,,,,,,,
2013-8-29 10:00:00,33.3,,33.6,31.7,,0,,,144,4.1,161,4.2,144,6.3,,,,,,,,,,,
2013-8-29 9:00:00,32.4,,32.7,30.5,,0,,,206,3.4,190,2.4,147,5.1,,,,,,,,,,,
2013-8-29 8:00:00,30.7,,30.9,28.9,,0,,,187,3.1,206,2.5,153,5.2,,,,,,,,,,,
2013-8-29 7:00:00,28.9,,29,28,,0,,,153,3.7,156,2.9,147,5.6,,,,,,,,,,,
2013-8-29 6:00:00,28,,28,27.9,,0,,,156,2.1,156,2.8,173,5.8,,,,,,,,,,,
2013-8-29 5:00:00,28,,28.1,27.9,,0,,,153,4.5,150,3.5,164,6.4,,,,,,,,,,,
2013-8-29 4:00:00,28.1,,28.2,28.1,,0,,,158,2.9,176,3.2,178,7.1,,,,,,,,,,,
2013-8-29 3:00:00,28.2,,28.5,28.2,,0,,,150,3.7,156,2.8,139,6.7,,,,,,,,,,,
2013-8-29 2:00:00,28.5,,28.6,28.5,,0,,,167,5.2,154,4,130,7.4,,,,,,,,,,,
2013-8-29 1:00:00,28.6,,28.6,28.5,,0,,,164,2.7,169,3.6,147,6.9,,,,,,,,,,,
2013-8-29 00:00:00,28.6,,28.7,28.6,,0,,,187,3.1,161,3.4,147,7.1,,,,,,,,,,,
2013-8-28 23:00:00,28.7,,29.1,28.7,,0,,,164,2,154,2.2,170,8.2,,,,,,,,,,,
2013-8-28 22:00:00,29.1,,29.3,29.1,,0,,,161,4.7,154,2.9,125,7.3,,,,,,,,,,,
2013-8-28 21:00:00,29.3,,29.8,29.3,,0,,,226,1.3,159,2.8,133,6.3,,,,,,,,,,,
2013-8-28 20:00:00,29.8,,30.5,29.8,,0,,,147,3.5,148,3.8,153,7.9,,,,,,,,,,,
2013-8-28 19:00:00,30.5,,31.6,30.5,,0,,,119,4,152,3.8,150,6.7,,,,,,,,,,,
2013-8-28 18:00:00,31.6,,32.8,31.6,,0,,,164,2.9,159,3.7,156,6.9,,,,,,,,,,,
2013-8-28 17:00:00,32.7,,33.8,32.6,,0,,,130,3.8,160,3.2,147,7.4,,,,,,,,,,,
2013-8-28 16:00:00,33.8,,34.3,33.5,,0,,,102,4.6,149,3.8,153,8.8,,,,,,,,,,,
2013-8-28 15:00:00,34.2,,34.5,33.2,,0,,,175,3.5,171,3.7,111,8.1,,,,,,,,,,,
2013-8-28 14:00:00,33.8,,34.7,33.1,,0,,,187,3.1,165,3.5,133,7.3,,,,,,,,,,,
2013-8-28 13:00:00,33.6,,33.8,32.6,,0,,,173,3.2,169,4.3,164,6.4,,,,,,,,,,,
2013-8-28 12:00:00,33.2,,33.3,31.8,,0,,,105,2.8,115,2.2,128,6.4,,,,,,,,,,,
2013-8-28 11:00:00,32.6,,32.6,30.5,,0,,,173,3,160,3.4,139,6.5,,,,,,,,,,,
2013-8-28 10:00:00,30.6,,30.7,29.3,,0,,,144,2.4,175,2.6,144,6.5,,,,,,,,,,,
2013-8-28 9:00:00,29.1,,29.2,27.8,,0,,,308,0.8,147,2.6,122,6,,,,,,,,,,,
2013-8-28 8:00:00,27.7,,27.7,26.8,,0,,,192,1,140,1.8,119,5,,,,,,,,,,,
2013-8-28 7:00:00,26.8,,26.8,26.4,,0,,,130,2.3,128,2.7,116,4.6,,,,,,,,,,,
2013-8-28 6:00:00,26.3,,26.3,26.3,,0,,,113,1.5,123,1.3,133,4.5,,,,,,,,,,,
2013-8-28 5:00:00,26.3,,26.4,26.3,,0,,,102,1.3,118,2.3,133,4.4,,,,,,,,,,,
2013-8-28 4:00:00,26.4,,26.6,26.4,,0,,,122,3.1,123,2.7,133,4.9,,,,,,,,,,,
2013-8-28 3:00:00,26.6,,26.7,26.6,,0,,,97,1.9,89,2.1,122,6,,,,,,,,,,,
2013-8-28 2:00:00,26.7,,26.8,26.7,,0,,,133,2.3,122,3,125,5.3,,,,,,,,,,,
2013-8-28 1:00:00,26.7,,26.7,26.6,,0,,,142,3.4,119,2.3,156,3.9,,,,,,,,,,,
2013-8-28 00:00:00,26.6,,26.6,26.5,,0,,,128,1.3,100,0.7,83,4.6,,,,,,,,,,,
2013-8-27 23:00:00,26.6,,26.9,26.6,,0,,,142,1.6,85,2.6,142,5.1,,,,,,,,,,,
2013-8-27 22:00:00,26.9,,27.1,26.8,,0,,,94,1.9,106,2.7,128,6,,,,,,,,,,,
2013-8-27 21:00:00,27,,27.2,27,,0,,,74,1.4,56,1.7,83,4.4,,,,,,,,,,,
2013-8-27 20:00:00,27.2,,27.4,27.2,,0,,,142,2.8,129,3,133,5.6,,,,,,,,,,,
2013-8-27 19:00:00,27.4,,28,27.4,,0,,,108,1.3,78,2.1,119,5.9,,,,,,,,,,,
2013-8-27 18:00:00,28,,28.7,28,,0,,,150,3.9,82,2.3,133,6.1,,,,,,,,,,,
2013-8-27 17:00:00,28.7,,29.1,28.7,,0,,,122,1.5,122,2.8,122,6.2,,,,,,,,,,,
2013-8-27 16:00:00,28.8,,29.4,28.7,,0,,,71,1.4,88,2.5,130,6.9,,,,,,,,,,,
2013-8-27 15:00:00,29.4,,29.4,28.6,,0,,,122,1.7,83,2.5,128,6.1,,,,,,,,,,,
2013-8-27 14:00:00,28.6,,29.2,28.4,,0,,,133,2.9,118,3.4,122,6.9,,,,,,,,,,,
2013-8-27 13:00:00,28.6,,29.7,28.6,,0,,,150,4,118,3,113,7.1,,,,,,,,,,,
2013-8-27 12:00:00,29.1,,30.6,28.7,,0,,,57,2.5,106,2.9,147,7,,,,,,,,,,,
2013-8-27 11:00:00,30.6,,30.7,29.1,,0,,,60,3.4,75,3,91,7.4,,,,,,,,,,,
2013-8-27 10:00:00,30.2,,30.2,28.4,,0,,,99,3.1,95,2.5,52,5.8,,,,,,,,,,,
2013-8-27 9:00:00,28.8,,29,27.6,,0,,,97,1.7,64,1.1,57,5.4,,,,,,,,,,,
2013-8-27 8:00:00,27.5,,27.7,26.7,,0,,,77,2.4,83,2.9,88,5.8,,,,,,,,,,,
2013-8-27 7:00:00,26.7,,27,26,,0,,,88,3.4,73,2,97,3.6,,,,,,,,,,,
2013-8-27 6:00:00,26,,26,25.3,,0,,,105,0.8,94,0.9,23,2.4,,,,,,,,,,,
2013-8-27 5:00:00,25.3,,25.3,25,,0,,,305,0.5,2,0.7,83,1.7,,,,,,,,,,,
2013-8-27 4:00:00,25,,25.3,24.9,,0,,,97,0.3,115,0.4,113,1.5,,,,,,,,,,,
2013-8-27 3:00:00,25.3,,25.6,25.2,,0,,,187,0,0,0,66,1.9,,,,,,,,,,,
2013-8-27 2:00:00,25.5,,25.9,25.5,,0,,,99,0.1,85,0.2,15,3.9,,,,,,,,,,,
2013-8-27 1:00:00,25.7,,25.8,25.6,,0,,,23,1.3,358,0.9,4,1.9,,,,,,,,,,,
2013-8-27 00:00:00,25.8,,26.1,25.8,,0,,,32,0.2,0,0,66,1.8,,,,,,,,,,,
2013-8-26 23:00:00,26,,26.1,25.7,,0,,,133,0.8,117,1,88,2.2,,,,,,,,,,,
2013-8-26 22:00:00,26.1,,26.3,26.1,,0,,,97,0.4,108,0.3,97,2,,,,,,,,,,,
2013-8-26 21:00:00,26.3,,26.5,26.3,,0,,,139,0,92,0.5,83,3.6,,,,,,,,,,,
2013-8-26 20:00:00,26.4,,26.7,26.3,,0,,,68,1.9,85,2.2,63,3.3,,,,,,,,,,,
2013-8-26 19:00:00,26.7,,27.1,26.7,,0,,,105,2.4,122,1,57,3.5,,,,,,,,,,,
2013-8-26 18:00:00,27.1,,27.8,27.1,,0,,,105,1.3,82,2,91,4.8,,,,,,,,,,,
2013-8-26 17:00:00,27.8,,28,27.7,,0,,,94,3.2,74,2.4,94,5.7,,,,,,,,,,,
2013-8-26 16:00:00,28,,28.3,28,,0,,,108,2.2,73,2.3,29,5.8,,,,,,,,,,,
2013-8-26 15:00:00,28.2,,28.2,27.5,,0,,,38,3.3,49,2.4,88,5.2,,,,,,,,,,,
2013-8-26 14:00:00,27.7,,28,27.2,,0,,,52,2.7,55,2.6,83,5.9,,,,,,,,,,,
2013-8-26 13:00:00,27.2,,27.4,27.1,,0,,,77,3.7,66,3.1,74,5.2,,,,,,,,,,,
2013-8-26 12:00:00,27.1,,27.2,26.4,,0,,,40,3,49,3,102,4.8,,,,,,,,,,,
2013-8-26 11:00:00,26.5,,26.6,25.8,,0.1,,,74,0.3,16,1.2,15,4,,,,,,,,,,,
2013-8-26 10:00:00,26.1,,26.2,25.5,,0.6,,,60,1.3,12,1.1,29,2.7,,,,,,,,,,,
2013-8-26 9:00:00,25.7,,25.8,25.3,,1.3,,,133,0.5,134,0.7,49,2.2,,,,,,,,,,,
2013-8-26 8:00:00,25.6,,25.7,25.2,,0.7,,,54,1.5,20,1.1,26,2.8,,,,,,,,,,,
2013-8-26 7:00:00,25.3,,26.5,25.3,,2.2,,,18,0.9,34,1,21,4.9,,,,,,,,,,,
2013-8-26 6:00:00,26.1,,26.5,26.1,,0.3,,,38,1.3,353,1.6,26,3.5,,,,,,,,,,,
2013-8-26 5:00:00,26.5,,26.5,26.3,,0,,,43,0.8,45,0.5,18,3.2,,,,,,,,,,,
2013-8-26 4:00:00,26.5,,26.7,26.3,,0,,,63,0.8,20,0.2,21,3.3,,,,,,,,,,,
2013-8-26 3:00:00,26.7,,27.1,26.7,,0.1,,,116,0.4,20,1.1,26,2.5,,,,,,,,,,,
2013-8-26 2:00:00,26.9,,27,26.6,,0,,,29,0.9,25,0.7,21,2.6,,,,,,,,,,,
2013-8-26 1:00:00,26.6,,26.8,26.5,,0,,,336,0.3,340,0.2,77,2.6,,,,,,,,,,,
2013-8-26 00:00:00,26.6,,26.8,26.6,,0,,,60,1.9,55,1.5,12,3.6,,,,,,,,,,,
2013-8-25 23:00:00,26.7,,26.8,26.6,,0,,,29,1.3,357,0.9,12,2.9,,,,,,,,,,,
2013-8-25 22:00:00,26.8,,27.1,26.7,,0,,,358,1,351,0.6,26,3,,,,,,,,,,,
2013-8-25 21:00:00,27.1,,27.4,27.1,,0,,,74,1.4,46,1.4,7,2.7,,,,,,,,,,,
2013-8-25 20:00:00,27.2,,27.3,27,,0,,,122,1,120,1.4,136,1.9,,,,,,,,,,,
2013-8-25 19:00:00,27.1,,27.3,27,,0,,,147,0.5,127,0.8,68,2.3,,,,,,,,,,,
2013-8-25 18:00:00,27.2,,27.3,26.9,,0,,,57,0.4,45,0.1,330,3.3,,,,,,,,,,,
2013-8-25 17:00:00,27,,27.1,26.7,,0,,,327,1.5,353,1.4,29,3.1,,,,,,,,,,,
2013-8-25 16:00:00,26.7,,26.7,26.2,,0,,,271,0.3,349,0.3,322,7.8,,,,,,,,,,,
2013-8-25 15:00:00,26.5,,29.4,26.4,,8.5,,,322,6,3,2,336,9.9,,,,,,,,,,,
2013-8-25 14:00:00,28.8,,36.2,28.8,,0,,,341,3.5,345,3.1,268,11.6,,,,,,,,,,,
2013-8-25 13:00:00,36,,36,34.2,,0,,,254,1.2,210,1.9,263,7.2,,,,,,,,,,,
2013-8-25 12:00:00,34.5,,34.9,33,,0,,,268,3.1,224,2.8,268,6.5,,,,,,,,,,,
2013-8-25 11:00:00,34,,34.1,32.9,,0,,,274,2.8,278,1.3,268,6.8,,,,,,,,,,,
2013-8-25 10:00:00,33.6,,34.2,31.2,,0,,,308,0.7,310,1.1,254,6.3,,,,,,,,,,,
2013-8-25 9:00:00,31.7,,31.7,30.1,,0,,,257,1.8,277,1.9,254,4.9,,,,,,,,,,,
2013-8-25 8:00:00,30,,30.3,28.9,,0,,,240,1.6,261,1.4,260,3.8,,,,,,,,,,,
2013-8-25 7:00:00,28.9,,29,28.8,,0,,,265,1.9,261,2.4,268,3.8,,,,,,,,,,,
2013-8-25 6:00:00,28.8,,28.8,28.6,,0,,,263,0.3,280,0.4,296,3.5,,,,,,,,,,,
2013-8-25 5:00:00,28.7,,28.9,28.7,,0,,,251,0,0,0,260,3.8,,,,,,,,,,,
2013-8-25 4:00:00,28.9,,29,28.9,,0,,,277,0.6,273,0.9,322,2.5,,,,,,,,,,,
2013-8-25 3:00:00,29,,29.5,29,,0,,,265,1.1,290,1,268,3.8,,,,,,,,,,,
2013-8-25 2:00:00,29.5,,29.8,29.5,,0,,,226,1.9,246,1.8,257,3.8,,,,,,,,,,,
2013-8-25 1:00:00,29.8,,30.1,29.8,,0,,,302,0.5,302,0.8,341,3,,,,,,,,,,,
2013-8-25 00:00:00,30.1,,30.4,30.1,,0,,,243,0.6,279,1.5,246,4.2,,,,,,,,,,,
2013-8-24 23:00:00,30.3,,30.5,30,,0,,,327,0,326,0.5,15,2.5,,,,,,,,,,,
2013-8-24 22:00:00,30.2,,30.2,29.8,,0,,,274,0,0,0,105,1.9,,,,,,,,,,,
2013-8-24 21:00:00,29.9,,31.5,29.8,,0.5,,,66,0.9,92,0.8,156,5.8,,,,,,,,,,,
2013-8-24 20:00:00,31.5,,31.7,31.4,,0,,,144,2.6,158,1.8,150,5.8,,,,,,,,,,,
2013-8-24 19:00:00,31.7,,33,31.7,,0,,,153,2,161,2.9,150,7.4,,,,,,,,,,,
2013-8-24 18:00:00,33,,34.7,33,,0,,,142,3.5,162,3.7,150,8.1,,,,,,,,,,,
2013-8-24 17:00:00,34.8,,35.9,34.7,,0,,,164,3.4,165,4.1,158,7.4,,,,,,,,,,,
2013-8-24 16:00:00,36.1,,36.7,35.5,,0,,,173,2.9,177,2,254,5.2,,,,,,,,,,,
2013-8-24 15:00:00,36.4,,36.4,34.9,,0,,,271,1.2,192,1.1,173,6.1,,,,,,,,,,,
2013-8-24 14:00:00,34.9,,35.5,34.3,,0,,,175,2.1,185,2.9,254,7,,,,,,,,,,,
2013-8-24 13:00:00,34.6,,34.9,33.5,,0,,,187,4.8,165,3.4,178,7.8,,,,,,,,,,,
2013-8-24 12:00:00,33.9,,34.3,33.1,,0,,,209,3.3,196,2.5,150,7.4,,,,,,,,,,,
