time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,20.5,,20.5,20,,0,,,156,0,0,0,347,1,,,,,,,,,,,
2013-9-1 00:00:00,20.1,,21.2,20.1,,0,,,327,0.8,323,0.8,52,1.6,,,,,,,,,,,
2013-8-31 23:00:00,21.2,,22.4,21.2,,0,,,49,1.3,40,1.3,7,4.1,,,,,,,,,,,
2013-8-31 22:00:00,22.2,,23.2,22.2,,0,,,35,1.7,30,2,29,4.6,,,,,,,,,,,
2013-8-31 21:00:00,23.2,,23.6,23.2,,0,,,38,2.1,36,2.8,40,6.4,,,,,,,,,,,
2013-8-31 20:00:00,23.6,,24.7,23.6,,0,,,52,2.8,50,2.8,29,6.1,,,,,,,,,,,
2013-8-31 19:00:00,24.7,,25.9,24.7,,0,,,52,4.7,47,3.5,7,7.8,,,,,,,,,,,
2013-8-31 18:00:00,25.9,,27,25.9,,0,,,26,2.8,22,3.6,7,6.9,,,,,,,,,,,
2013-8-31 17:00:00,27,,27.9,27,,0,,,26,3.6,26,3.9,35,7.7,,,,,,,,,,,
2013-8-31 16:00:00,28,,29.8,28,,0,,,1,4.4,5,4.5,353,7.9,,,,,,,,,,,
2013-8-31 15:00:00,29.8,,30.4,28.6,,0,,,308,3.1,332,2.3,7,8.1,,,,,,,,,,,
2013-8-31 14:00:00,30,,30.5,28.7,,0,,,353,3.5,347,3.1,344,7.5,,,,,,,,,,,
2013-8-31 13:00:00,30.1,,30.6,29.4,,0,,,347,5.4,5,5,1,7.5,,,,,,,,,,,
2013-8-31 12:00:00,29.8,,29.9,28,,0,,,7,2.9,13,4.3,355,8.3,,,,,,,,,,,
2013-8-31 11:00:00,29.3,,29.4,27.6,,0,,,12,3.9,354,3.5,344,6.6,,,,,,,,,,,
2013-8-31 10:00:00,27.9,,27.9,26.4,,0,,,322,2.1,332,2.7,347,6.3,,,,,,,,,,,
2013-8-31 9:00:00,26.4,,26.4,25.2,,0,,,330,4.1,345,3.8,347,6.9,,,,,,,,,,,
2013-8-31 8:00:00,25.1,,25.1,23.8,,0,,,353,3.9,335,3.1,358,4.7,,,,,,,,,,,
2013-8-31 7:00:00,23.8,,23.8,22.6,,0,,,310,2.6,339,2.1,344,3.8,,,,,,,,,,,
2013-8-31 6:00:00,22.6,,22.9,22.2,,0,,,341,2.4,340,1.8,322,3,,,,,,,,,,,
2013-8-31 5:00:00,22.9,,23.7,22.9,,0,,,310,1.1,317,1.1,336,3.6,,,,,,,,,,,
2013-8-31 4:00:00,23.8,,24.3,23.8,,0,,,7,2.1,2,2.2,4,4.6,,,,,,,,,,,
2013-8-31 3:00:00,24.3,,24.3,24.2,,0,,,353,4.4,357,3,358,5.3,,,,,,,,,,,
2013-8-31 2:00:00,24.2,,24.2,24,,0,,,12,2,12,2.5,7,5.4,,,,,,,,,,,
2013-8-31 1:00:00,24.2,,24.7,24.2,,0,,,355,3.5,15,2.9,7,8.8,,,,,,,,,,,
2013-8-31 00:00:00,24.6,,25.3,24.6,,0,,,7,3.9,2,3.2,353,7.6,,,,,,,,,,,
2013-8-30 23:00:00,25.3,,25.6,25.3,,0,,,49,4.4,18,4.4,9,8.5,,,,,,,,,,,
2013-8-30 22:00:00,25.7,,26.6,25.7,,0,,,29,4.1,25,3.8,15,9.5,,,,,,,,,,,
2013-8-30 21:00:00,26.6,,27.5,26.6,,0,,,29,3.6,15,5.4,18,9.1,,,,,,,,,,,
2013-8-30 20:00:00,27.4,,28.3,27.4,,0,,,40,6.2,29,4.6,15,8.2,,,,,,,,,,,
2013-8-30 19:00:00,28.2,,29.3,28.2,,0,,,7,4.9,35,2.5,29,7.7,,,,,,,,,,,
2013-8-30 18:00:00,29.3,,29.6,29.3,,0,,,29,4.1,29,4.9,40,8.1,,,,,,,,,,,
2013-8-30 17:00:00,29.6,,31.2,29.6,,0,,,60,4.5,64,3.2,43,6.3,,,,,,,,,,,
2013-8-30 16:00:00,31.2,,32.6,31.2,,0,,,21,4.5,35,3.7,49,6.9,,,,,,,,,,,
2013-8-30 15:00:00,32.4,,32.5,31.4,,0,,,29,3.5,23,4.3,4,7.1,,,,,,,,,,,
2013-8-30 14:00:00,31.4,,32.8,31.4,,0,,,38,2.9,34,2.8,26,8.3,,,,,,,,,,,
2013-8-30 13:00:00,32.1,,33,31.9,,0,,,9,4.2,7,5.3,18,9.7,,,,,,,,,,,
2013-8-30 12:00:00,31.9,,32.7,31,,0,,,38,5.7,25,4.7,12,8.6,,,,,,,,,,,
2013-8-30 11:00:00,31.1,,31.9,30.8,,0,,,26,4.4,37,4,46,6.9,,,,,,,,,,,
2013-8-30 10:00:00,31.3,,31.7,31.2,,0,,,46,4.5,31,4.5,29,7.8,,,,,,,,,,,
2013-8-30 9:00:00,31.4,,31.4,29.1,,0,,,38,5.7,45,5.3,57,7.3,,,,,,,,,,,
2013-8-30 8:00:00,29.1,,29.1,26.9,,0.1,,,29,5,9,3.4,29,5,,,,,,,,,,,
2013-8-30 7:00:00,26.9,,27,26.6,,0,,,7,2.1,10,1.4,347,4.7,,,,,,,,,,,
2013-8-30 6:00:00,26.9,,26.9,26.5,,0,,,293,0,0,0,293,0,,,,,,,,,,,
2013-8-30 5:00:00,26.5,,26.7,26.4,,0,,,330,0,0,0,46,1,,,,,,,,,,,
2013-8-30 4:00:00,26.7,,27.2,26.7,,0,,,88,0.4,56,0.7,105,2.6,,,,,,,,,,,
2013-8-30 3:00:00,27.2,,27.2,27,,0,,,102,1.5,100,1.5,119,3.3,,,,,,,,,,,
2013-8-30 2:00:00,27,,27.1,26.8,,0,,,122,1.3,125,0.8,139,1.7,,,,,,,,,,,
2013-8-30 1:00:00,26.8,,26.8,26.5,,0,,,46,0,0,0,23,0.8,,,,,,,,,,,
2013-8-30 00:00:00,26.5,,26.5,26.4,,0,,,105,0,0,0,105,0,,,,,,,,,,,
2013-8-29 23:00:00,26.5,,26.6,26.5,,0,,,353,0,0,0,353,0,,,,,,,,,,,
2013-8-29 22:00:00,26.6,,26.7,26.6,,0,,,336,0,0,0,336,0,,,,,,,,,,,
2013-8-29 21:00:00,26.6,,26.9,26.6,,0,,,322,0,0,0,322,2.6,,,,,,,,,,,
2013-8-29 20:00:00,26.7,,26.7,26.4,,0,,,338,0,0,0,21,5.1,,,,,,,,,,,
2013-8-29 19:00:00,26.4,,26.4,24.3,,0.1,,,150,1.6,148,1,108,4.6,,,,,,,,,,,
2013-8-29 18:00:00,24.3,,26.6,24,,24.4,,,102,2.7,109,3.5,226,14.3,,,,,,,,,,,
2013-8-29 17:00:00,31.4,,33.4,31.4,,0,,,46,3.9,33,3.6,29,7,,,,,,,,,,,
2013-8-29 16:00:00,33.5,,35,33.5,,0,,,128,2.9,149,2.3,170,4.6,,,,,,,,,,,
2013-8-29 15:00:00,34.8,,35.1,34.6,,0,,,142,1.4,155,2.1,156,3.8,,,,,,,,,,,
2013-8-29 14:00:00,34.7,,35,34.1,,0,,,167,1.3,153,1.5,173,4.2,,,,,,,,,,,
2013-8-29 13:00:00,34.1,,34.2,33.3,,0,,,130,2.9,163,2.2,178,5.1,,,,,,,,,,,
2013-8-29 12:00:00,33.8,,34.2,33.2,,0,,,198,1.3,180,2.9,206,5,,,,,,,,,,,
2013-8-29 11:00:00,33.4,,33.4,32.9,,0,,,203,3.1,183,2.2,175,5.2,,,,,,,,,,,
