time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.5,,23.5,22.7,,0,,,173,0,0,0,57,2.1,,,,,,,,,,,
2013-9-1 00:00:00,23.1,,23.4,22.8,,0,,,198,0,255,0.1,108,4.3,,,,,,,,,,,
2013-8-31 23:00:00,22.9,,23.6,22.9,,0,,,209,0,0,0,167,3,,,,,,,,,,,
2013-8-31 22:00:00,23.5,,23.8,23.3,,0,,,229,0.7,168,0.7,113,3.5,,,,,,,,,,,
2013-8-31 21:00:00,23.6,,24.2,23.6,,0,,,23,0.1,272,0.6,97,2.6,,,,,,,,,,,
2013-8-31 20:00:00,24.1,,24.8,24.1,,0,,,254,0.4,347,0.6,164,2.6,,,,,,,,,,,
2013-8-31 19:00:00,24.8,,25.2,24.7,,0,,,153,0,0,0,133,4.2,,,,,,,,,,,
2013-8-31 18:00:00,25.2,,26,25.2,,0,,,77,1.3,230,0.9,142,4,,,,,,,,,,,
2013-8-31 17:00:00,26,,27.1,26,,0,,,133,0.3,287,0.6,195,4.6,,,,,,,,,,,
2013-8-31 16:00:00,27.1,,28.6,27,,0,,,265,0.3,265,0.8,150,4.6,,,,,,,,,,,
2013-8-31 15:00:00,27.7,,29.1,27.5,,0,,,206,0.2,219,0.2,139,4.6,,,,,,,,,,,
2013-8-31 14:00:00,27.6,,29.3,27.5,,0,,,226,0.3,189,1,71,4,,,,,,,,,,,
2013-8-31 13:00:00,27.9,,30.3,27.9,,0,,,254,0.9,203,0.6,308,3.5,,,,,,,,,,,
2013-8-31 12:00:00,29,,29.4,26.9,,0,,,226,0.9,215,0.8,293,3.5,,,,,,,,,,,
2013-8-31 11:00:00,28.2,,29.4,28.1,,0,,,156,0.3,205,0.6,142,3.1,,,,,,,,,,,
2013-8-31 10:00:00,28.5,,28.5,26.1,,0,,,299,0.3,205,0.2,153,3.8,,,,,,,,,,,
2013-8-31 9:00:00,26,,26,25.3,,0,,,40,0.3,186,0.6,122,1.8,,,,,,,,,,,
2013-8-31 8:00:00,25.3,,25.3,24.6,,0,,,136,0,0,0,147,3.9,,,,,,,,,,,
2013-8-31 7:00:00,24.6,,24.8,24.1,,0,,,226,0.1,227,0.4,105,3.4,,,,,,,,,,,
2013-8-31 6:00:00,24.1,,24.3,24,,0,,,187,0.3,176,0.2,133,1.8,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.3,23.8,,0.1,,,175,1.3,166,0.8,173,2.5,,,,,,,,,,,
2013-8-31 4:00:00,24.2,,24.7,24.2,,0,,,299,0,0,0,215,2.4,,,,,,,,,,,
2013-8-31 3:00:00,24.6,,25,24.6,,0,,,206,0.3,169,0.6,170,4,,,,,,,,,,,
2013-8-31 2:00:00,25,,25.1,24.8,,0,,,209,0.5,183,0.8,125,2.8,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.6,25.2,,0,,,173,0.3,193,0.1,144,3.3,,,,,,,,,,,
2013-8-31 00:00:00,25.4,,25.8,25.4,,0,,,80,0.5,273,0.5,102,2.8,,,,,,,,,,,
2013-8-30 23:00:00,25.8,,26.1,25.7,,0,,,246,0.4,217,0.5,128,4.4,,,,,,,,,,,
