time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,21.5,,21.7,21.4,,0,,,49,1,53,1,40,2.2,,,,,,,,,,,
2013-9-1 00:00:00,21.7,,22.1,21.5,,0,,,57,1.1,59,1,60,3,,,,,,,,,,,
2013-8-31 23:00:00,22.1,,22.4,21.9,,0,,,54,1.6,43,1.4,12,5,,,,,,,,,,,
2013-8-31 22:00:00,22.4,,23.2,22.4,,0,,,26,1.6,32,1.3,38,3.6,,,,,,,,,,,
2013-8-31 21:00:00,23.2,,23.8,23.2,,0,,,49,1.9,55,2.6,49,6.2,,,,,,,,,,,
2013-8-31 20:00:00,23.8,,24.8,23.8,,0,,,83,2.1,62,2.7,74,8.2,,,,,,,,,,,
2013-8-31 19:00:00,24.8,,25.6,24.8,,0,,,49,3.9,51,4.2,60,8.3,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,26.9,25.5,,0,,,71,4.3,59,3.3,66,7.1,,,,,,,,,,,
2013-8-31 17:00:00,26.9,,27.5,26.9,,0,,,38,2.7,24,2.2,21,5.6,,,,,,,,,,,
2013-8-31 16:00:00,27.5,,28.3,27.5,,0,,,23,2.5,28,2.9,32,5.5,,,,,,,,,,,
2013-8-31 15:00:00,28.3,,30.3,28.3,,0,,,74,2.4,60,2,15,7.2,,,,,,,,,,,
2013-8-31 14:00:00,30.1,,30.3,29.5,,0,,,330,4.3,353,4.1,330,7,,,,,,,,,,,
2013-8-31 13:00:00,29.5,,30.6,28,,0,,,333,2.5,5,3.5,330,7.9,,,,,,,,,,,
2013-8-31 12:00:00,28.8,,29.7,27.8,,0,,,102,3.6,61,1.6,32,4.8,,,,,,,,,,,
2013-8-31 11:00:00,28.3,,28.4,26.9,,0,,,4,3.9,347,3.4,347,6.1,,,,,,,,,,,
2013-8-31 10:00:00,27.2,,27.3,26,,0,,,355,3.5,8,2.9,4,5.3,,,,,,,,,,,
2013-8-31 9:00:00,26,,26.1,24.7,,0,,,336,2.5,330,3.1,341,6,,,,,,,,,,,
2013-8-31 8:00:00,24.7,,25.5,24.5,,0,,,341,3.9,341,3.6,333,4.8,,,,,,,,,,,
2013-8-31 7:00:00,25.5,,25.5,23.7,,0,,,322,1.2,350,1.7,26,3.8,,,,,,,,,,,
2013-8-31 6:00:00,23.7,,23.8,23.5,,0,,,71,2.1,60,1.6,63,2.8,,,,,,,,,,,
2013-8-31 5:00:00,23.8,,24.4,23.8,,0,,,63,0.8,53,1.8,71,3.6,,,,,,,,,,,
2013-8-31 4:00:00,24.4,,24.7,24.4,,0,,,74,1.4,61,2.1,57,4.5,,,,,,,,,,,
2013-8-31 3:00:00,24.8,,24.9,24.8,,0,,,350,1.8,33,1.6,38,5.3,,,,,,,,,,,
2013-8-31 2:00:00,24.8,,25.1,24.8,,0,,,358,2.7,32,1.3,18,6.3,,,,,,,,,,,
2013-8-31 1:00:00,25,,25.4,24.9,,0,,,29,2.3,31,2.1,32,6.7,,,,,,,,,,,
2013-8-31 00:00:00,25.3,,25.5,25.3,,0,,,23,3,30,2.6,26,5.9,,,,,,,,,,,
2013-8-30 23:00:00,25.4,,26.1,25.4,,0,,,52,1,34,2,29,6.8,,,,,,,,,,,
2013-8-30 22:00:00,26.1,,27,26.1,,0,,,26,2.5,39,4,29,9.7,,,,,,,,,,,
2013-8-30 21:00:00,27,,27.8,27,,0,,,40,7,41,5.2,23,10,,,,,,,,,,,
2013-8-30 20:00:00,27.7,,28.5,27.7,,0,,,18,2,48,3.5,85,8.8,,,,,,,,,,,
2013-8-30 19:00:00,28.5,,29,28.5,,0,,,43,4.8,62,4.4,32,7.6,,,,,,,,,,,
2013-8-30 18:00:00,29,,29.4,29,,0,,,66,2.3,59,3.8,29,7.3,,,,,,,,,,,
2013-8-30 17:00:00,29.5,,30.8,29.5,,0,,,60,4.5,60,3.5,68,7.1,,,,,,,,,,,
