time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,,,,,,0,42,42,26,5.2,27,6.1,26,10.1,,,,,,,,,,,
2013-9-1 00:00:00,,,,,,0,42,42,29,8.3,26,7.8,32,10.7,,,,,,,,,,,
2013-8-31 23:00:00,,,,,,0,42,42,26,7,30,7.5,32,9.4,,,,,,,,,,,
2013-8-31 22:00:00,,,,,,0,42,42,43,5.7,30,7.3,32,10.2,,,,,,,,,,,
2013-8-31 21:00:00,,,,,,0,42,42,40,6.8,39,5.8,43,10.6,,,,,,,,,,,
2013-8-31 20:00:00,,,,,,0,42,42,35,7.6,42,8.2,38,9.9,,,,,,,,,,,
2013-8-31 19:00:00,,,,,,0,42,42,49,7.6,44,8,29,10.7,,,,,,,,,,,
2013-8-31 18:00:00,,,,,,0,42,42,29,7.6,23,8.3,38,11.9,,,,,,,,,,,
2013-8-31 17:00:00,,,,,,0,42,42,26,8.3,26,8,23,12.2,,,,,,,,,,,
2013-8-31 16:00:00,,,,,,0,42,42,26,9.7,28,8.5,23,11.2,,,,,,,,,,,
2013-8-31 15:00:00,,,,,,0,42,42,9,7.2,9,6.8,15,10.3,,,,,,,,,,,
2013-8-31 14:00:00,,,42.3,26.6,,0,47,47,15,6.8,7,4.9,18,10.2,,,,,,,,,,,
2013-8-31 13:00:00,26.7,16.5,49.8,26.3,,0,53,48,4,4.9,5,5.7,341,9.9,,,,,,,,,,,
2013-8-31 12:00:00,,,27.6,25.9,,0,49,46,333,5.9,346,5.7,353,9,,,,,,,,,,,
2013-8-31 11:00:00,,,,,,0,62,59,358,4.8,341,3.9,15,7.4,,,,,,,,,,,
2013-8-31 10:00:00,,,,,,0,64,64,23,4.4,24,3.7,29,6.5,,,,,,,,,,,
2013-8-31 9:00:00,,,37.7,33.2,,0,71,68,15,4.2,8,3.7,341,7.6,,,,,,,,,,,
2013-8-31 8:00:00,,,46.5,24,,0,72,72,353,4.1,3,5,350,8.2,,,,,,,,,,,
2013-8-31 7:00:00,,,42.6,24.1,,0,77,72,350,4.7,359,4.9,336,8.3,,,,,,,,,,,
2013-8-31 6:00:00,,,42.8,30.4,,0,73,69,353,4.6,355,4.9,350,8.5,,,,,,,,,,,
2013-8-31 5:00:00,,,,,,0,71,69,7,4.4,349,5,350,7.3,,,,,,,,,,,
2013-8-31 4:00:00,,,,,,0,70,70,18,5.4,13,4.5,35,7.6,,,,,,,,,,,
2013-8-31 3:00:00,,,,,,0,72,68,38,4.9,29,5.3,26,8,,,,,,,,,,,
2013-8-31 2:00:00,,,41.5,25.2,,0,69,68,18,6.4,11,5.5,15,8.2,,,,,,,,,,,
2013-8-31 1:00:00,25.1,19.4,25.9,25.1,,0,71,68,353,5.5,355,5.6,12,8.8,,,,,,,,,,,
2013-8-31 00:00:00,,,42.1,25.7,,0,70,66,4,6.9,8,6.5,1,9.2,,,,,,,,,,,
2013-8-30 23:00:00,,,26.5,26.5,,0,70,67,1,7.3,8,7.3,15,10.4,,,,,,,,,,,
2013-8-30 22:00:00,,,45.4,26.4,,0,70,68,7,6.7,5,6.4,29,11.1,,,,,,,,,,,
2013-8-30 21:00:00,,,44.3,37.6,,0,74,71,26,8.8,24,8.5,23,13.1,,,,,,,,,,,
2013-8-30 20:00:00,,,44.2,26.9,,0,75,71,18,9.1,20,10.2,29,15.3,,,,,,,,,,,
2013-8-30 19:00:00,,,42,42,,0,76,75,18,12.4,21,11.8,26,14.5,,,,,,,,,,,
2013-8-30 18:00:00,,,,,,0,79,71,18,9.8,29,10.7,32,15.2,,,,,,,,,,,
2013-8-30 17:00:00,,,,,,0,72,68,32,9.8,31,10.2,32,11.8,,,,,,,,,,,
2013-8-30 16:00:00,,,,,,0,68,67,29,8.6,31,9.2,32,10.4,,,,,,,,,,,
2013-8-30 15:00:00,,,,,,0,68,63,23,9.3,21,8.8,26,9.9,,,,,,,,,,,
2013-8-30 14:00:00,,,,,,0,66,63,35,8.2,29,8,26,9.4,,,,,,,,,,,
2013-8-30 13:00:00,,,,,,0,65,65,23,6.2,23,7.4,23,9.5,,,,,,,,,,,
2013-8-30 12:00:00,,,,,,0,65,63,12,6.2,19,6.7,29,10.2,,,,,,,,,,,
2013-8-30 11:00:00,,,,,,0,67,66,32,7.4,31,7.9,29,11.2,,,,,,,,,,,
2013-8-30 10:00:00,,,43.1,43.1,,0,76,76,23,9.1,24,9,23,10.3,,,,,,,,,,,
2013-8-30 9:00:00,,,28.6,28.5,,0,79,74,32,8,26,8.6,23,11.2,,,,,,,,,,,
2013-8-30 8:00:00,28.5,23.3,28.6,28.1,,0,73,72,23,7.8,22,7.7,26,9.1,,,,,,,,,,,
2013-8-30 7:00:00,28.3,23.6,28.3,28,,0,76,76,7,4.4,13,4.6,29,6.4,,,,,,,,,,,
2013-8-30 6:00:00,28,24.8,28.2,27.7,,0,83,80,29,6,27,5.7,26,7.3,,,,,,,,,,,
2013-8-30 5:00:00,28.2,24.6,28.4,27.9,,0,81,78,12,5.1,7,5.4,21,7.6,,,,,,,,,,,
2013-8-30 4:00:00,28.4,25.3,28.4,27.7,,0,83,82,12,4.2,19,4.6,18,5.4,,,,,,,,,,,
2013-8-30 3:00:00,28.1,25.5,28.5,27.5,,5.1,86,83,46,4.5,37,4.5,54,5.5,,,,,,,,,,,
2013-8-30 2:00:00,28.3,25.4,29.1,28.3,,0,84,81,7,3.6,16,4.8,21,7.1,,,,,,,,,,,
2013-8-30 1:00:00,29,25.6,29.3,28.9,,0,82,82,319,3.4,329,2.9,336,4.5,,,,,,,,,,,
2013-8-30 00:00:00,29.2,25.7,29.3,29,,0,81,81,305,1.7,310,1.8,23,3.9,,,,,,,,,,,
2013-8-29 23:00:00,29.2,26.3,29.6,29.1,,0,84,82,21,3,25,3,353,4.4,,,,,,,,,,,
2013-8-29 22:00:00,29.6,26.2,29.7,29.3,,0,82,77,54,1,62,1.7,88,3.8,,,,,,,,,,,
2013-8-29 21:00:00,29.3,24.8,29.5,28.9,,0,77,68,108,1.8,118,2.7,111,5.2,,,,,,,,,,,
2013-8-29 20:00:00,28.9,23.1,28.9,28.6,,0,71,71,108,4.1,112,4.4,116,6.5,,,,,,,,,,,
2013-8-29 19:00:00,28.9,24.8,29,28.8,,0,78,75,105,5.3,114,5.1,122,6.7,,,,,,,,,,,
2013-8-29 18:00:00,28.9,24.3,29.8,28.9,,0,76,73,60,2.7,50,2.6,32,10.1,,,,,,,,,,,
2013-8-29 17:00:00,29.7,24,29.7,27.4,,0.2,72,70,18,2.9,337,2.7,189,5.8,,,,,,,,,,,
2013-8-29 16:00:00,27.5,24.7,31.4,27.5,,4.7,85,59,71,1.4,61,1.4,277,12.7,,,,,,,,,,,
2013-8-29 15:00:00,30.7,25.6,33.8,30.7,,0,74,61,130,4.3,148,4.2,156,9.4,,,,,,,,,,,
2013-8-29 14:00:00,33.4,26.2,34.6,33.4,,0,66,56,99,5.2,109,3.3,99,6.1,,,,,,,,,,,
2013-8-29 13:00:00,34.1,25.7,34.1,33,,0,62,61,122,3.2,90,4.2,74,6.1,,,,,,,,,,,
2013-8-29 12:00:00,33.1,25.6,34.9,32.7,,0,65,51,26,4.9,29,4.8,243,7.1,,,,,,,,,,,
2013-8-29 11:00:00,34.4,23.5,34.4,33,,0,53,53,220,3.8,216,3.5,248,7.3,,,,,,,,,,,
2013-8-29 10:00:00,33.1,23.8,33.1,31.7,,0,58,58,181,5.2,207,4.9,218,7.3,,,,,,,,,,,
2013-8-29 9:00:00,31.7,23.6,31.7,30.7,,0,62,62,218,4.6,221,4.8,218,8.9,,,,,,,,,,,
2013-8-29 8:00:00,30.8,23.4,30.8,29.6,,0,65,64,220,5.2,223,6,223,7.8,,,,,,,,,,,
2013-8-29 7:00:00,29.6,23.4,29.6,28.8,,0,69,69,189,5,193,5.6,181,7.5,,,,,,,,,,,
2013-8-29 6:00:00,28.8,23.7,28.9,28.8,,0,74,72,187,5,205,3.9,201,8.3,,,,,,,,,,,
2013-8-29 5:00:00,28.9,23.6,29,28.8,,0,73,73,184,4.7,192,5.3,173,9.2,,,,,,,,,,,
2013-8-29 4:00:00,28.8,23.8,29.1,28.8,,0,74,73,173,5.8,190,6.1,203,8.8,,,,,,,,,,,
2013-8-29 3:00:00,29.1,23.9,29.4,29.1,,0,74,72,212,4.6,190,6.7,198,8.6,,,,,,,,,,,
2013-8-29 2:00:00,29.4,24.1,29.7,29.3,,0,73,72,206,6,197,5.9,158,9.5,,,,,,,,,,,
2013-8-29 1:00:00,29.4,24.4,29.5,29.3,,0,75,74,187,4.4,183,5.6,189,9.8,,,,,,,,,,,
2013-8-29 00:00:00,29.5,24.2,30,29.4,,0,73,70,201,5.9,199,5.9,203,8.8,,,,,,,,,,,
2013-8-28 23:00:00,30,24,30.4,30,,0,70,69,164,4.7,183,6.3,184,9.6,,,,,,,,,,,
2013-8-28 22:00:00,30.4,24.2,31,30.4,,0,69,66,153,2.8,169,5.7,147,10.3,,,,,,,,,,,
2013-8-28 21:00:00,30.9,23.9,31.6,30.9,,0,66,63,164,5.6,170,4.8,158,9.5,,,,,,,,,,,
2013-8-28 20:00:00,31.6,24,32,31.5,,0,64,61,142,5.1,158,4.4,136,6.9,,,,,,,,,,,
2013-8-28 19:00:00,31.9,23.6,32.6,31.9,,0,62,59,192,5.8,198,5.5,192,8.9,,,,,,,,,,,
2013-8-28 18:00:00,32.6,23.4,33.4,32.6,,0,58,57,192,6.6,189,7.3,206,8.8,,,,,,,,,,,
2013-8-28 17:00:00,33.4,23.8,33.8,33.4,,0,57,56,181,5.2,190,4.8,201,8.5,,,,,,,,,,,
2013-8-28 16:00:00,33.4,23.7,33.4,30.6,,0,57,57,215,4,201,4.6,88,8.4,,,,,,,,,,,
2013-8-28 15:00:00,30.6,26.5,31,30.4,,0,79,77,125,4.8,95,5.4,88,9.6,,,,,,,,,,,
2013-8-28 14:00:00,30.8,26.3,31.3,30.7,,0,77,74,88,6,90,6.1,91,8.9,,,,,,,,,,,
2013-8-28 13:00:00,31.2,26.3,31.3,30.8,,0,75,68,94,7.1,88,6.3,88,8,,,,,,,,,,,
2013-8-28 12:00:00,31,24.8,31.5,30.6,,0,70,65,80,5.3,80,4.9,88,6.8,,,,,,,,,,,
2013-8-28 11:00:00,30.6,24.5,31,30,,0,70,67,46,2.9,62,2.5,88,7.3,,,,,,,,,,,
2013-8-28 10:00:00,30,24.3,30,29.2,,0,72,72,99,3.5,130,3.2,102,7,,,,,,,,,,,
2013-8-28 9:00:00,29.6,24.5,29.6,28.2,,0,74,73,74,1.5,108,1.9,113,6.9,,,,,,,,,,,
2013-8-28 8:00:00,28.2,24.1,28.3,27.4,,0,78,78,105,5,110,5.3,113,7.2,,,,,,,,,,,
2013-8-28 7:00:00,27.4,23.9,27.4,27.1,,0,81,80,133,4.6,123,5.1,113,7.2,,,,,,,,,,,
2013-8-28 6:00:00,27,23.5,27.2,27,,0,81,80,133,4.4,120,5.1,130,7.8,,,,,,,,,,,
2013-8-28 5:00:00,27.1,23.5,27.3,27.1,,0,81,80,116,6.7,125,5.4,133,8,,,,,,,,,,,
2013-8-28 4:00:00,27.3,23.6,27.4,27.2,,0,80,78,130,6.7,126,5.5,125,8.2,,,,,,,,,,,
2013-8-28 3:00:00,27.3,23.5,27.3,27.2,,0,80,78,119,5.8,122,5,133,8.1,,,,,,,,,,,
2013-8-28 2:00:00,27.2,23.2,27.5,27.2,,0,79,77,125,5,128,5.5,147,8.3,,,,,,,,,,,
2013-8-28 1:00:00,27.5,23.3,27.7,27.4,,0,78,78,133,5.5,131,5.6,102,8.7,,,,,,,,,,,
2013-8-28 00:00:00,27.6,23.6,27.8,27.5,,0,79,76,105,3.5,99,5.6,105,8.5,,,,,,,,,,,
2013-8-27 23:00:00,27.7,23.5,27.9,27.5,,0,78,75,113,7.1,131,6.1,116,7.9,,,,,,,,,,,
2013-8-27 22:00:00,27.9,23.2,28,27.8,,0,76,74,122,5.5,134,5.5,128,8.2,,,,,,,,,,,
2013-8-27 21:00:00,27.8,23,28,27.7,,0,75,74,116,6.6,130,6.3,119,8.6,,,,,,,,,,,
2013-8-27 20:00:00,28,23.2,28.2,27.9,,0,75,72,136,7.1,133,6.6,113,8.8,,,,,,,,,,,
2013-8-27 19:00:00,28.2,22.8,28.4,28.2,,0,72,69,116,7.5,122,7,105,9.4,,,,,,,,,,,
2013-8-27 18:00:00,28.4,22.6,28.5,28.3,,0,71,69,116,6.5,115,5.7,113,9.3,,,,,,,,,,,
2013-8-27 17:00:00,28.4,22.8,28.6,28.3,,0,72,72,108,6,108,7.3,113,9.5,,,,,,,,,,,
2013-8-27 16:00:00,28.5,23.2,28.9,28.5,,0,73,67,116,7.9,104,6.8,105,9.7,,,,,,,,,,,
2013-8-27 15:00:00,28.9,22.2,29.5,28.9,,0,67,64,105,7.6,98,5.9,116,9.5,,,,,,,,,,,
2013-8-27 14:00:00,29.5,22.3,29.8,29.2,,0,65,62,102,7.6,103,6.1,91,9.8,,,,,,,,,,,
2013-8-27 13:00:00,29.9,22.3,29.9,29.4,,0,64,63,94,7,92,6.9,80,9.8,,,,,,,,,,,
2013-8-27 12:00:00,29.5,22,29.5,29.2,,0,64,63,94,6.6,87,7.6,88,9.5,,,,,,,,,,,
2013-8-27 11:00:00,29.4,22,29.7,28.6,,0,64,60,94,6.9,90,6,74,9.3,,,,,,,,,,,
2013-8-27 10:00:00,28.7,21.7,28.9,28.1,,0,66,64,91,4.9,106,5.1,88,7.6,,,,,,,,,,,
2013-8-27 9:00:00,28.1,21.9,28.1,27.2,,0,69,68,88,5.2,87,4.7,83,8,,,,,,,,,,,
2013-8-27 8:00:00,27.2,21.7,27.2,26.6,,0,72,71,88,6.2,86,6.8,80,8.5,,,,,,,,,,,
2013-8-27 7:00:00,26.6,21.9,26.6,26.1,,0,75,75,83,6.3,83,6.5,88,8.5,,,,,,,,,,,
2013-8-27 6:00:00,26,21.9,26,25.7,,0,78,76,71,4.5,69,5.1,66,7.7,,,,,,,,,,,
2013-8-27 5:00:00,25.9,21.4,26.1,25.9,,0,76,74,83,5.9,87,4.5,88,6.9,,,,,,,,,,,
2013-8-27 4:00:00,26,21.5,26.1,25.9,,0,76,73,77,5.8,75,4.9,80,7.1,,,,,,,,,,,
2013-8-27 3:00:00,26.1,21.2,26.2,26.1,,0,74,71,71,4.4,80,5.4,83,6.5,,,,,,,,,,,
2013-8-27 2:00:00,26.2,20.8,26.4,26.2,,0,72,70,74,4.8,84,5.1,83,6.7,,,,,,,,,,,
2013-8-27 1:00:00,26.3,20.9,26.6,26.3,,0,72,69,71,4.1,74,4.1,80,6.5,,,,,,,,,,,
2013-8-27 00:00:00,26.6,21.1,26.7,26.4,,0,72,69,80,4.1,79,5,88,6.6,,,,,,,,,,,
2013-8-26 23:00:00,26.7,21.2,26.7,26.5,,0,72,70,80,6.2,82,5.4,88,6.7,,,,,,,,,,,
2013-8-26 22:00:00,26.6,21.1,26.7,26.6,,0,72,71,88,3.8,98,3.7,83,7,,,,,,,,,,,
2013-8-26 21:00:00,26.7,20.8,27,26.7,,0,70,70,97,4.6,85,5.7,85,7,,,,,,,,,,,
2013-8-26 20:00:00,27,21.5,27.3,26.9,,0,72,63,83,3.2,89,4.3,74,7.6,,,,,,,,,,,
2013-8-26 19:00:00,27.3,19.7,27.8,27.3,,0,63,55,54,5.9,58,5.2,83,6.9,,,,,,,,,,,
2013-8-26 18:00:00,27.6,19.9,28.3,27.6,,0,63,59,71,4.1,73,4,83,7.6,,,,,,,,,,,
2013-8-26 17:00:00,28.2,19.5,28.5,28.2,,0,59,50,91,4.1,84,5,71,8,,,,,,,,,,,
2013-8-26 16:00:00,28.5,19.2,28.5,28.2,,0,57,52,83,5.8,85,5.4,83,7.3,,,,,,,,,,,
2013-8-26 15:00:00,28.6,18.6,29.5,28.3,,0,55,47,60,5.4,73,5.3,94,8,,,,,,,,,,,
2013-8-26 14:00:00,28.3,18.6,28.4,27.8,,0,56,56,85,5.8,82,6.2,88,7.4,,,,,,,,,,,
