time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.3,,22.7,22.3,,0,,,4,1,14,0.9,4,2.4,,,,,,,,,,,
2013-9-1 00:00:00,22.5,,22.5,21.9,,0,,,32,1.3,15,1,350,1.8,,,,,,,,,,,
2013-8-31 23:00:00,22.2,,22.6,22.2,,0,,,49,1,35,1.2,29,2.6,,,,,,,,,,,
2013-8-31 22:00:00,22.6,,23.3,22.6,,0,,,319,0.8,21,1,32,4.4,,,,,,,,,,,
2013-8-31 21:00:00,23.3,,24.3,23.3,,0,,,336,1.3,39,1.7,23,6,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,25.1,24.3,,0,,,38,2.4,39,2.6,21,6.3,,,,,,,,,,,
2013-8-31 19:00:00,25.1,,26,25.1,,0,,,71,4.4,40,2.9,49,6.8,,,,,,,,,,,
2013-8-31 18:00:00,26.1,,27.4,26.1,,0,,,7,1.8,32,2.9,4,7.1,,,,,,,,,,,
2013-8-31 17:00:00,27.4,,28.6,27.4,,0,,,333,0.9,9,2,358,6.8,,,,,,,,,,,
2013-8-31 16:00:00,28.8,,29.3,28.4,,0,,,353,1.5,355,3.8,319,8.8,,,,,,,,,,,
2013-8-31 15:00:00,29.1,,30.3,29.1,,0,,,327,3.7,336,3.6,296,7.9,,,,,,,,,,,
2013-8-31 14:00:00,30.1,,30.9,29.5,,0,,,333,4.7,310,4.2,319,8.5,,,,,,,,,,,
2013-8-31 13:00:00,30.3,,30.3,28.5,,0,,,338,2.3,314,3.7,322,8.8,,,,,,,,,,,
2013-8-31 12:00:00,29.2,,30.3,28,,0,,,23,2,354,2.6,313,7.1,,,,,,,,,,,
2013-8-31 11:00:00,28.2,,28.3,27,,0,,,347,3,351,3.3,308,5.9,,,,,,,,,,,
2013-8-31 10:00:00,26.9,,27.3,26.2,,0,,,330,2.4,331,2.4,322,6.4,,,,,,,,,,,
2013-8-31 9:00:00,26.6,,27,24.9,,0,,,330,2.2,329,1.9,313,5.5,,,,,,,,,,,
2013-8-31 8:00:00,24.9,,25.3,23.5,,0,,,299,2.2,311,2.6,308,4.5,,,,,,,,,,,
2013-8-31 7:00:00,23.5,,23.7,23.4,,0,,,18,1.1,336,1.4,330,3.1,,,,,,,,,,,
2013-8-31 6:00:00,23.4,,23.4,22.9,,0,,,313,1.3,342,0.8,4,2.9,,,,,,,,,,,
2013-8-31 5:00:00,23.2,,23.5,23.2,,0,,,347,0.3,360,0.7,4,3.5,,,,,,,,,,,
2013-8-31 4:00:00,23.4,,23.8,23.4,,0,,,15,1.3,356,1.7,353,3.6,,,,,,,,,,,
