time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.3,,23.3,22.9,,0,,,97,1,72,1.6,1,4.4,,,,,,,,,,,
2013-9-1 00:00:00,23,,23.3,23,,0,,,113,1,64,0.1,80,4.6,,,,,,,,,,,
2013-8-31 23:00:00,23.3,,23.7,23.3,,0,,,108,2.1,57,1.4,15,5,,,,,,,,,,,
2013-8-31 22:00:00,23.6,,23.8,23.3,,0,,,144,0,0,0,12,5,,,,,,,,,,,
2013-8-31 21:00:00,23.6,,24.2,23.6,,0,,,68,1.3,51,2.1,15,5.6,,,,,,,,,,,
2013-8-31 20:00:00,24.1,,24.9,24.1,,0,,,142,0.7,11,2.6,66,5.8,,,,,,,,,,,
2013-8-31 19:00:00,24.8,,25.4,24.8,,0,,,83,1,65,2.9,350,5.8,,,,,,,,,,,
2013-8-31 18:00:00,25.4,,26.4,25.4,,0,,,322,3.1,34,2.8,38,7.4,,,,,,,,,,,
2013-8-31 17:00:00,26.4,,27.6,26.4,,0,,,97,3.5,33,2.2,102,6.2,,,,,,,,,,,
2013-8-31 16:00:00,27.6,,29.4,27.4,,0,,,63,3.2,61,3.8,344,6.8,,,,,,,,,,,
2013-8-31 15:00:00,28.8,,29.3,27.7,,0,,,319,4.5,16,3,350,9.2,,,,,,,,,,,
2013-8-31 14:00:00,28.7,,29.7,27.9,,0,,,12,0.7,23,1.8,350,6.4,,,,,,,,,,,
2013-8-31 13:00:00,28,,30,28,,0,,,15,4.1,1,3.3,7,6.8,,,,,,,,,,,
2013-8-31 12:00:00,30.2,,30.5,27.9,,0,,,358,5,296,2.9,7,6.7,,,,,,,,,,,
2013-8-31 11:00:00,28.1,,28.7,27.2,,0,,,316,3.1,334,3,353,7.2,,,,,,,,,,,
2013-8-31 10:00:00,27.9,,27.9,26.1,,0,,,21,3.2,8,2.3,319,5.3,,,,,,,,,,,
2013-8-31 9:00:00,26.9,,27,25.6,,0,,,85,0,36,0.2,80,5.5,,,,,,,,,,,
2013-8-31 8:00:00,25.6,,25.6,25.1,,0,,,347,2.2,6,1.3,21,4.9,,,,,,,,,,,
2013-8-31 7:00:00,25.1,,25.2,24.5,,0,,,119,0,133,0.6,344,4.3,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.5,24.3,,0,,,66,0,0,0,88,4.6,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.4,24.2,,0,,,80,2.3,59,1.5,38,3.9,,,,,,,,,,,
2013-8-31 4:00:00,24.4,,24.8,24.4,,0,,,113,0,66,1.6,21,5.3,,,,,,,,,,,
