time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.9,,23.3,22.9,,0,,,26,1.2,27,1.3,60,4.2,,,,,,,,,,,
2013-9-1 00:00:00,23.3,,23.6,23.3,,0,,,91,2.9,37,2.6,18,5.7,,,,,,,,,,,
2013-8-31 23:00:00,23.4,,24,23.4,,0,,,49,2.5,41,2.8,29,6.8,,,,,,,,,,,
2013-8-31 22:00:00,23.8,,23.9,23.6,,0,,,355,2.5,40,2.6,46,6.5,,,,,,,,,,,
2013-8-31 21:00:00,23.8,,24.4,23.8,,0,,,21,2.2,49,2.7,57,6.2,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,24.6,24.3,,0,,,57,3.3,50,3.7,49,7.6,,,,,,,,,,,
2013-8-31 19:00:00,24.6,,24.9,24.6,,0,,,66,3.2,53,3.5,49,8.7,,,,,,,,,,,
2013-8-31 18:00:00,24.9,,25.5,24.9,,0,,,66,4,60,5.4,52,10.8,,,,,,,,,,,
2013-8-31 17:00:00,25.5,,26.8,25.5,,0,,,52,3.4,57,5.2,54,10.7,,,,,,,,,,,
2013-8-31 16:00:00,26.9,,28.1,26.9,,0,,,60,4.2,58,6.4,66,10.9,,,,,,,,,,,
2013-8-31 15:00:00,27.9,,28.4,27.1,,0,,,91,4.9,61,5.8,54,10.7,,,,,,,,,,,
2013-8-31 14:00:00,28.5,,28.5,27.2,,0,,,57,6.2,44,5,66,10.7,,,,,,,,,,,
2013-8-31 13:00:00,27.9,,28.4,27.3,,0,,,60,5.2,62,4.2,63,9.4,,,,,,,,,,,
2013-8-31 12:00:00,28,,28.6,27.5,,0,,,108,3.8,70,5.4,63,9.2,,,,,,,,,,,
2013-8-31 11:00:00,28.4,,28.8,27.3,,0,,,23,3.3,38,2.9,35,6.8,,,,,,,,,,,
2013-8-31 10:00:00,27.8,,28.6,26.7,,0,,,29,4,35,3.1,66,7.7,,,,,,,,,,,
2013-8-31 9:00:00,26.8,,26.9,25.8,,0,,,54,2.5,25,2.9,52,7.8,,,,,,,,,,,
2013-8-31 8:00:00,25.8,,26.2,25.4,,0,,,38,3.8,31,3.7,46,7.2,,,,,,,,,,,
2013-8-31 7:00:00,25.4,,25.4,24.7,,0,,,38,3.3,32,3.5,29,6.7,,,,,,,,,,,
2013-8-31 6:00:00,24.7,,24.7,24.5,,0,,,60,3.5,50,3,49,6.6,,,,,,,,,,,
2013-8-31 5:00:00,24.6,,24.8,24.6,,0,,,52,4,49,4.2,60,7.8,,,,,,,,,,,
2013-8-31 4:00:00,24.7,,24.9,24.7,,0,,,54,4.5,42,4.1,46,8.7,,,,,,,,,,,
2013-8-31 3:00:00,24.9,,25.1,24.9,,0,,,46,3.9,46,4,57,8.4,,,,,,,,,,,
2013-8-31 2:00:00,25.1,,25.3,25.1,,0,,,355,3.9,45,4.1,49,8.5,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.6,25.2,,0,,,38,5.1,42,4.3,74,10,,,,,,,,,,,
2013-8-31 00:00:00,25.6,,25.9,25.6,,0,,,21,2,39,2.5,66,11.3,,,,,,,,,,,
2013-8-30 23:00:00,25.9,,26,25.9,,0,,,38,4.1,21,4.2,63,10.3,,,,,,,,,,,
2013-8-30 22:00:00,26,,26.3,26,,0,,,66,4.3,40,5.1,63,10.5,,,,,,,,,,,
2013-8-30 21:00:00,26.3,,27.1,26.3,,0,,,32,6,47,5.6,35,11.3,,,,,,,,,,,
2013-8-30 20:00:00,27.1,,27.6,27.1,,0,,,9,4.6,39,5.7,63,11.2,,,,,,,,,,,
2013-8-30 19:00:00,27.6,,28.3,27.6,,0,,,29,4.9,49,5.8,49,11.7,,,,,,,,,,,
2013-8-30 18:00:00,28.3,,28.8,28.3,,0,,,68,7,53,7.1,46,11.8,,,,,,,,,,,
2013-8-30 17:00:00,28.7,,30.4,28.7,,0,,,46,7.9,55,7.4,60,10.2,,,,,,,,,,,
2013-8-30 16:00:00,30.1,,31,29.9,,0,,,40,6.1,36,4.3,68,9.5,,,,,,,,,,,
