time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23,,23.1,22.7,,0,,,88,1.2,75,1.5,88,2.9,,,,,,,,,,,
2013-9-1 00:00:00,23.1,,23.2,22.9,,0,,,85,2,82,2.2,85,4.8,,,,,,,,,,,
2013-8-31 23:00:00,23.2,,23.6,23.2,,0,,,52,1,75,1.3,66,3.3,,,,,,,,,,,
2013-8-31 22:00:00,23.6,,23.9,23.6,,0,,,60,2.1,76,1.9,60,4.8,,,,,,,,,,,
2013-8-31 21:00:00,23.9,,24.4,23.9,,0,,,91,0.8,74,2.2,113,5.9,,,,,,,,,,,
2013-8-31 20:00:00,24.4,,24.8,24.4,,0,,,105,2,76,3.3,85,6.2,,,,,,,,,,,
2013-8-31 19:00:00,24.8,,25.6,24.8,,0,,,66,2.6,76,3.4,94,8.7,,,,,,,,,,,
2013-8-31 18:00:00,25.6,,26.4,25.6,,0,,,54,2.5,74,2.9,80,9.3,,,,,,,,,,,
2013-8-31 17:00:00,26.4,,27.6,26.4,,0,,,46,2.7,74,4,63,8.5,,,,,,,,,,,
2013-8-31 16:00:00,27.6,,28.8,27.6,,0,,,49,2.7,71,3.5,94,7.7,,,,,,,,,,,
2013-8-31 15:00:00,28,,28.7,27.9,,0,,,66,2.5,57,3.5,85,8.2,,,,,,,,,,,
2013-8-31 14:00:00,28.6,,29.7,27.8,,0,,,68,5.3,74,4.1,54,8.5,,,,,,,,,,,
2013-8-31 13:00:00,29.3,,30.2,27.9,,0,,,46,1.7,73,2.2,49,6.8,,,,,,,,,,,
2013-8-31 12:00:00,29.2,,29.5,27.9,,0,,,66,1.3,60,2,66,6.1,,,,,,,,,,,
2013-8-31 11:00:00,28.3,,28.3,27.4,,0,,,105,3,64,2.6,74,7.1,,,,,,,,,,,
2013-8-31 10:00:00,27.3,,28,26.5,,0,,,49,1.1,57,1.3,74,5.5,,,,,,,,,,,
2013-8-31 9:00:00,26.8,,27,25.6,,0,,,288,1.8,49,2.8,63,5.9,,,,,,,,,,,
2013-8-31 8:00:00,25.8,,26,25.5,,0,,,116,2.8,73,2.7,49,5.3,,,,,,,,,,,
2013-8-31 7:00:00,25.4,,25.6,24.4,,0,,,105,2,71,2.2,97,4.6,,,,,,,,,,,
2013-8-31 6:00:00,24.4,,24.4,24.2,,0,,,77,2.1,75,1.7,97,3.8,,,,,,,,,,,
2013-8-31 5:00:00,24.4,,24.8,24.4,,0,,,52,0.9,71,1.8,83,4.5,,,,,,,,,,,
2013-8-31 4:00:00,24.8,,24.9,24.8,,0,,,54,2.5,69,2.2,85,6.3,,,,,,,,,,,
2013-8-31 3:00:00,24.9,,25,24.9,,0,,,52,1.5,62,2.8,52,6.6,,,,,,,,,,,
2013-8-31 2:00:00,25,,25.4,25,,0,,,97,1.8,72,2.3,74,6.5,,,,,,,,,,,
2013-8-31 1:00:00,25.4,,25.7,25.4,,0,,,77,2.9,70,3.5,71,7.6,,,,,,,,,,,
2013-8-31 00:00:00,25.7,,26,25.7,,0,,,68,2.1,66,2.4,63,8,,,,,,,,,,,
2013-8-30 23:00:00,25.9,,26.1,25.9,,0,,,63,5.3,69,4.5,52,7.5,,,,,,,,,,,
2013-8-30 22:00:00,26.1,,26.6,26.1,,0,,,63,3.5,62,4.1,54,8,,,,,,,,,,,
2013-8-30 21:00:00,26.6,,27.5,26.6,,0,,,282,0.8,54,2.3,74,8,,,,,,,,,,,
2013-8-30 20:00:00,27.5,,28.2,27.5,,0,,,83,3.9,72,2.9,77,7.7,,,,,,,,,,,
2013-8-30 19:00:00,28.2,,29,28.2,,0,,,105,6.2,80,4.3,74,9.2,,,,,,,,,,,
2013-8-30 18:00:00,29,,29.6,29,,0,,,85,2.1,76,2.7,60,8.9,,,,,,,,,,,
2013-8-30 17:00:00,29.6,,30.4,29.6,,0,,,91,6.7,77,4.4,57,8.8,,,,,,,,,,,
2013-8-30 16:00:00,30.4,,31.2,30.4,,0,,,57,5.8,73,3.9,52,7.7,,,,,,,,,,,
2013-8-30 15:00:00,31.3,,32.2,31.1,,0,,,77,4,78,2.8,88,9.3,,,,,,,,,,,
2013-8-30 14:00:00,31.8,,32.7,31.6,,0,,,77,3.2,78,4.2,85,8.4,,,,,,,,,,,
2013-8-30 13:00:00,31.8,,32.2,30.7,,0,,,60,3.5,70,3.9,85,9.4,,,,,,,,,,,
2013-8-30 12:00:00,30.7,,31,30.4,,0,,,68,3.9,78,3.8,77,9.7,,,,,,,,,,,
2013-8-30 11:00:00,30.7,,30.7,29.9,,0,,,60,1.8,67,2.3,97,8.1,,,,,,,,,,,
2013-8-30 10:00:00,30.2,,30.3,29.7,,0,,,49,2.9,72,2.2,77,6.8,,,,,,,,,,,
2013-8-30 9:00:00,29.6,,29.8,28.8,,0.1,,,49,4.1,73,3.3,91,8.2,,,,,,,,,,,
2013-8-30 8:00:00,28.8,,28.8,27.8,,0,,,88,3.5,74,1.5,91,3.6,,,,,,,,,,,
2013-8-30 7:00:00,27.9,,28.4,27.9,,0.1,,,49,1.3,71,1.3,60,3.6,,,,,,,,,,,
2013-8-30 6:00:00,28.1,,28.1,28,,0,,,66,0,82,0.2,66,1.3,,,,,,,,,,,
2013-8-30 5:00:00,27.9,,28.1,27.9,,0,,,88,0,0,0,111,0.8,,,,,,,,,,,
2013-8-30 4:00:00,28.1,,28.3,28,,0,,,94,0,0,0,52,1.3,,,,,,,,,,,
2013-8-30 3:00:00,28.3,,28.5,28.3,,0,,,288,0,0,0,49,0.5,,,,,,,,,,,
2013-8-30 2:00:00,28.5,,28.6,28.4,,0,,,52,0,0,0,254,0.6,,,,,,,,,,,
2013-8-30 1:00:00,28.4,,28.8,28.4,,0,,,308,0,296,0.1,293,0.8,,,,,,,,,,,
2013-8-30 00:00:00,28.8,,28.9,28.8,,0,,,94,0.5,97,0.3,251,1.3,,,,,,,,,,,
2013-8-29 23:00:00,28.9,,29.2,28.9,,0,,,94,0.3,0,0,288,1.2,,,,,,,,,,,
2013-8-29 22:00:00,29.2,,29.5,29.2,,0,,,85,0,0,0,102,1.7,,,,,,,,,,,
2013-8-29 21:00:00,29.5,,29.8,29.5,,0,,,277,0.4,57,0.4,313,2.1,,,,,,,,,,,
2013-8-29 20:00:00,29.8,,30.4,29.8,,0,,,293,0,3,0.2,88,1.6,,,,,,,,,,,
2013-8-29 19:00:00,30.4,,31.2,30.4,,0,,,128,0,0,0,263,3.1,,,,,,,,,,,
2013-8-29 18:00:00,31.2,,31.6,30.6,,0,,,251,0.3,241,0.4,251,2.5,,,,,,,,,,,
2013-8-29 17:00:00,31.6,,33.6,31.6,,0,,,71,0.5,48,0.9,63,3.4,,,,,,,,,,,
2013-8-29 16:00:00,33.7,,35.6,33.7,,0,,,251,1.3,201,0.5,265,2.8,,,,,,,,,,,
2013-8-29 15:00:00,34.8,,34.8,34.1,,0,,,265,0.5,152,0.8,251,5,,,,,,,,,,,
2013-8-29 14:00:00,34.4,,34.5,33.7,,0,,,116,1,236,1.6,243,5.1,,,,,,,,,,,
2013-8-29 13:00:00,34.1,,34.2,33.1,,0,,,243,2.5,219,2,254,6.4,,,,,,,,,,,
2013-8-29 12:00:00,33.2,,33.4,32.3,,0,,,128,1.3,239,2.4,263,6.3,,,,,,,,,,,
2013-8-29 11:00:00,32.3,,32.4,31.2,,0,,,257,2.8,243,3.4,254,7.6,,,,,,,,,,,
2013-8-29 10:00:00,31.6,,31.6,30.8,,0,,,237,2.9,251,2.6,251,6.5,,,,,,,,,,,
2013-8-29 9:00:00,30.8,,30.8,29.9,,0,,,116,1.4,224,1.1,251,5.8,,,,,,,,,,,
2013-8-29 8:00:00,29.9,,29.9,28.9,,0,,,243,1.1,210,0.8,254,5.1,,,,,,,,,,,
2013-8-29 7:00:00,28.9,,28.9,28.3,,0,,,260,2.1,249,1.9,260,4.5,,,,,,,,,,,
2013-8-29 6:00:00,28.2,,28.3,28.2,,0,,,91,1.4,172,1.2,254,3.9,,,,,,,,,,,
2013-8-29 5:00:00,28.3,,28.4,28.3,,0,,,265,1.5,228,1.4,246,4.1,,,,,,,,,,,
2013-8-29 4:00:00,28.4,,28.5,28.4,,0,,,240,1.6,201,1.6,94,4.9,,,,,,,,,,,
2013-8-29 3:00:00,28.5,,28.7,28.5,,0,,,119,1.3,219,1.6,263,6.1,,,,,,,,,,,
2013-8-29 2:00:00,28.7,,28.8,28.7,,0,,,97,1.6,228,2.2,243,4.2,,,,,,,,,,,
2013-8-29 1:00:00,28.8,,28.9,28.8,,0,,,97,1.9,216,1.7,263,5.7,,,,,,,,,,,
2013-8-29 00:00:00,28.8,,28.9,28.6,,0,,,248,2,230,1.8,254,4.9,,,,,,,,,,,
2013-8-28 23:00:00,28.7,,28.8,28.7,,0,,,237,0.8,213,1.1,263,4.5,,,,,,,,,,,
2013-8-28 22:00:00,28.8,,29,28.8,,0,,,265,0.1,166,0.9,237,3.3,,,,,,,,,,,
2013-8-28 21:00:00,28.9,,29.2,28.9,,0,,,97,0.1,163,0.6,263,3.3,,,,,,,,,,,
2013-8-28 20:00:00,29.2,,29.7,29.2,,0,,,116,0.1,166,0.8,91,3.9,,,,,,,,,,,
2013-8-28 19:00:00,29.7,,30.6,29.7,,0,,,226,1.5,173,1.1,248,3.6,,,,,,,,,,,
2013-8-28 18:00:00,30.7,,32,30.7,,0,,,111,0.6,144,1.2,257,4.2,,,,,,,,,,,
2013-8-28 17:00:00,31.9,,33.2,31.9,,0,,,257,0.8,252,0.8,248,5.2,,,,,,,,,,,
2013-8-28 16:00:00,33.1,,33.3,32.7,,0,,,94,1.3,237,0.6,251,5.7,,,,,,,,,,,
2013-8-28 15:00:00,33.3,,33.8,33.2,,0,,,254,4.9,234,2.4,254,5,,,,,,,,,,,
2013-8-28 14:00:00,33.6,,33.7,32.1,,0,,,94,1.1,197,1.1,254,4.8,,,,,,,,,,,
2013-8-28 13:00:00,32.7,,33.1,31.8,,0,,,94,1.4,238,0.9,251,3.7,,,,,,,,,,,
2013-8-28 12:00:00,32.1,,32.1,31,,0,,,52,0,247,0.5,254,4.1,,,,,,,,,,,
2013-8-28 11:00:00,31.1,,31.4,30.1,,0,,,251,2.6,233,2.1,265,4.6,,,,,,,,,,,
2013-8-28 10:00:00,30.2,,30.4,29.3,,0,,,263,2,248,2.3,263,4.3,,,,,,,,,,,
2013-8-28 9:00:00,29.3,,29.5,28.6,,0,,,105,1.9,238,2,257,3.9,,,,,,,,,,,
2013-8-28 8:00:00,28.5,,28.6,27.1,,0,,,288,0.1,0,0,60,1.6,,,,,,,,,,,
2013-8-28 7:00:00,27,,27,26.2,,0,,,71,0.3,0,0,57,1.8,,,,,,,,,,,
2013-8-28 6:00:00,26.2,,26.2,26.1,,0,,,60,0.1,84,0.1,74,2.1,,,,,,,,,,,
2013-8-28 5:00:00,26.1,,26.3,26.1,,0,,,91,0.3,79,0.4,77,1.8,,,,,,,,,,,
2013-8-28 4:00:00,26.3,,26.5,26.3,,0,,,111,0,51,0.2,52,1.5,,,,,,,,,,,
2013-8-28 3:00:00,26.5,,26.6,26.5,,0,,,83,0,0,0,71,2.6,,,,,,,,,,,
2013-8-28 2:00:00,26.6,,26.6,26.5,,0,,,71,1.5,80,1,97,3,,,,,,,,,,,
2013-8-28 1:00:00,26.5,,26.5,26.3,,0,,,49,1.2,88,1,91,1.8,,,,,,,,,,,
2013-8-28 00:00:00,26.4,,26.4,26.3,,0,,,302,1,71,0.6,60,1.7,,,,,,,,,,,
