time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.9,,24,23.7,,0,,,181,0.6,205,0.9,63,4,,,,,,,,,,,
2013-9-1 00:00:00,24,,24,23.8,,0,,,164,2.2,59,0.8,46,4.5,,,,,,,,,,,
2013-8-31 23:00:00,23.9,,24,23.6,,0,,,108,0.4,243,0.5,63,3.5,,,,,,,,,,,
2013-8-31 22:00:00,24,,24.3,23.8,,0,,,189,0.1,154,0.5,26,4.2,,,,,,,,,,,
2013-8-31 21:00:00,24,,24.6,24,,0,,,187,0,194,0.5,52,3.6,,,,,,,,,,,
2013-8-31 20:00:00,24.5,,24.9,24.5,,0,,,133,0.1,98,0.1,43,4.8,,,,,,,,,,,
2013-8-31 19:00:00,24.7,,25.5,24.7,,0,,,161,0.3,154,0.6,32,3.6,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,26.2,25.5,,0,,,130,0.8,204,0.8,46,4.3,,,,,,,,,,,
2013-8-31 17:00:00,26.2,,26.9,26.2,,0,,,105,1.4,166,1.2,38,4.4,,,,,,,,,,,
2013-8-31 16:00:00,26.9,,28.1,26.9,,0,,,254,0.3,167,0.8,80,4.4,,,,,,,,,,,
2013-8-31 15:00:00,28,,28.6,27,,0,,,232,0.8,202,1.3,57,4.2,,,,,,,,,,,
2013-8-31 14:00:00,27.8,,28.4,26.8,,0,,,226,0.6,201,1,71,4.1,,,,,,,,,,,
2013-8-31 13:00:00,27.2,,28.4,27.1,,0,,,302,0.2,179,0.3,268,3.2,,,,,,,,,,,
2013-8-31 12:00:00,28.1,,28.2,26.8,,0,,,237,1.4,145,0.5,52,4.6,,,,,,,,,,,
2013-8-31 11:00:00,27,,27,26.3,,0,,,279,0.7,234,0.2,49,3.5,,,,,,,,,,,
2013-8-31 10:00:00,26.4,,26.4,25.1,,0,,,218,1,185,0.2,49,3.7,,,,,,,,,,,
2013-8-31 9:00:00,25.2,,25.5,25,,0,,,192,1.1,213,0.9,83,3.4,,,,,,,,,,,
2013-8-31 8:00:00,25,,25,24.6,,0,,,130,0.9,192,0.4,57,2.4,,,,,,,,,,,
2013-8-31 7:00:00,24.6,,24.7,24.5,,0,,,229,1,241,0.6,184,2.3,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.7,24.5,,0,,,49,0.4,177,0.1,164,2.3,,,,,,,,,,,
2013-8-31 5:00:00,24.6,,24.8,24.6,,0,,,133,0.9,153,0.5,170,2.6,,,,,,,,,,,
2013-8-31 4:00:00,24.8,,25,24.7,,0,,,175,0.5,183,0.8,46,4.4,,,,,,,,,,,
2013-8-31 3:00:00,24.9,,25.3,24.9,,0,,,130,0.6,122,1.1,187,4,,,,,,,,,,,
2013-8-31 2:00:00,25.2,,25.4,25.2,,0,,,212,1.1,143,1.1,66,3.6,,,,,,,,,,,
2013-8-31 1:00:00,25.5,,25.7,25.4,,0,,,187,3.3,164,1,198,4.6,,,,,,,,,,,
2013-8-31 00:00:00,25.7,,26,25.7,,0,,,164,1.3,182,1.5,195,5.6,,,,,,,,,,,
2013-8-30 23:00:00,26,,26.2,26,,0,,,246,0.5,186,1.3,32,4.1,,,,,,,,,,,
2013-8-30 22:00:00,26.2,,26.7,26.2,,0,,,181,1.4,190,0.9,178,5.1,,,,,,,,,,,
2013-8-30 21:00:00,26.7,,27.2,26.7,,0,,,218,0.4,148,1.2,38,4.8,,,,,,,,,,,
2013-8-30 20:00:00,27.2,,28,27.2,,0,,,142,2.6,146,1.1,57,5.6,,,,,,,,,,,
2013-8-30 19:00:00,28,,28.9,28,,0,,,161,0.9,169,1.5,277,4.2,,,,,,,,,,,
2013-8-30 18:00:00,28.9,,29.5,28.9,,0,,,187,0.7,56,0.6,71,5.3,,,,,,,,,,,
2013-8-30 17:00:00,29.6,,30,29.6,,0,,,161,0.4,134,0.6,26,3.7,,,,,,,,,,,
2013-8-30 16:00:00,30,,30.7,30,,0,,,139,1.1,168,0.7,29,4.4,,,,,,,,,,,
2013-8-30 15:00:00,30.6,,31.6,30.6,,0,,,189,0.6,123,0.9,206,3.2,,,,,,,,,,,
2013-8-30 14:00:00,31.4,,31.6,30.8,,0,,,66,0.3,51,0.7,52,5.3,,,,,,,,,,,
2013-8-30 13:00:00,30.8,,31,30.2,,0,,,181,0.2,200,0.9,57,4.4,,,,,,,,,,,
2013-8-30 12:00:00,30.3,,30.3,29.4,,0,,,246,0.3,143,0.9,49,3.8,,,,,,,,,,,
2013-8-30 11:00:00,29.5,,29.5,28.8,,0,,,192,0.9,187,0.3,38,4.4,,,,,,,,,,,
2013-8-30 10:00:00,29.4,,29.4,28.5,,0,,,46,0.4,111,0.6,52,3.9,,,,,,,,,,,
2013-8-30 9:00:00,28.5,,28.6,28.1,,0,,,220,0,203,0.4,184,3.7,,,,,,,,,,,
2013-8-30 8:00:00,28.1,,28.1,26.7,,0,,,167,2.1,180,0.8,173,2.8,,,,,,,,,,,
2013-8-30 7:00:00,26.9,,27.2,26.6,,0,,,212,0,195,0.6,23,2.2,,,,,,,,,,,
2013-8-30 6:00:00,26.6,,27.4,26.2,,0,,,122,0.5,189,0.7,257,2.6,,,,,,,,,,,
2013-8-30 5:00:00,27.4,,27.5,27,,0,,,215,0.1,202,0.4,203,1.8,,,,,,,,,,,
2013-8-30 4:00:00,27.1,,27.1,27,,0,,,156,0,12,0,156,0,,,,,,,,,,,
2013-8-30 3:00:00,27.1,,27.3,27.1,,0,,,32,0,35,0,32,0,,,,,,,,,,,
2013-8-30 2:00:00,27.4,,27.4,27.2,,0,,,49,0,52,0,49,0,,,,,,,,,,,
2013-8-30 1:00:00,27.2,,27.2,27.2,,0,,,63,0,2,0,63,0,,,,,,,,,,,
2013-8-30 00:00:00,27.3,,27.5,27.2,,0,,,63,0,0,0,60,0.1,,,,,,,,,,,
2013-8-29 23:00:00,27.3,,27.4,27.2,,0,,,203,0,0,0,251,0.1,,,,,,,,,,,
2013-8-29 22:00:00,27.3,,27.3,27.1,,0,,,12,0,0,0,330,0.1,,,,,,,,,,,
2013-8-29 21:00:00,27.1,,27.1,26.8,,0,,,296,0,0,0,296,0,,,,,,,,,,,
2013-8-29 20:00:00,26.9,,26.9,26.5,,0,,,52,0,0,0,15,1,,,,,,,,,,,
2013-8-29 19:00:00,26.6,,27.2,26.4,,0,,,288,0,0,0,353,1.7,,,,,,,,,,,
2013-8-29 18:00:00,27,,27,26.1,,0.4,,,265,0,0,0,293,0.8,,,,,,,,,,,
2013-8-29 17:00:00,26.1,,26.4,25.6,,34.4,,,263,0.1,248,0.2,153,4.2,,,,,,,,,,,
2013-8-29 16:00:00,26.7,,36.1,26.7,,8.1,,,232,1,250,0.6,173,5.5,,,,,,,,,,,
2013-8-29 15:00:00,36.2,,36.9,36,,0,,,29,1.7,55,0.9,296,2.3,,,,,,,,,,,
2013-8-29 14:00:00,36.5,,36.6,35.9,,0,,,83,0.5,52,1,319,2.9,,,,,,,,,,,
2013-8-29 13:00:00,36.3,,36.3,35,,0,,,319,0.6,312,0.4,285,3.2,,,,,,,,,,,
2013-8-29 12:00:00,34.9,,35.1,34.6,,0,,,355,0.8,345,0.1,330,3,,,,,,,,,,,
2013-8-29 11:00:00,34.6,,34.6,33.1,,0,,,336,0.5,348,0.4,288,2.4,,,,,,,,,,,
2013-8-29 10:00:00,33.1,,33.1,31.5,,0,,,111,0,34,0.4,240,2.4,,,,,,,,,,,
2013-8-29 9:00:00,31.5,,31.5,29.8,,0,,,333,1.3,43,0.7,195,2.4,,,,,,,,,,,
2013-8-29 8:00:00,29.8,,29.8,28.7,,0,,,310,0.8,249,0.2,310,1.6,,,,,,,,,,,
2013-8-29 7:00:00,28.6,,28.6,27.8,,0,,,333,1.3,356,0.4,308,1.7,,,,,,,,,,,
2013-8-29 6:00:00,27.8,,28.1,27.8,,0,,,274,0.1,316,0.3,4,1.6,,,,,,,,,,,
2013-8-29 5:00:00,28.1,,28.4,28.1,,0,,,353,0.6,4,0.2,324,2.1,,,,,,,,,,,
2013-8-29 4:00:00,28.3,,28.5,28.2,,0,,,12,0,18,0.3,32,1.9,,,,,,,,,,,
2013-8-29 3:00:00,28.5,,28.6,28.3,,0,,,46,0.3,56,0.5,333,2.3,,,,,,,,,,,
2013-8-29 2:00:00,28.3,,28.7,28.3,,0,,,29,0.1,39,0.7,40,1.4,,,,,,,,,,,
2013-8-29 1:00:00,28.7,,28.7,28.5,,0,,,308,0.3,338,0.3,319,1.9,,,,,,,,,,,
2013-8-29 00:00:00,28.5,,28.7,28.5,,0,,,299,0.1,9,0.2,274,1.6,,,,,,,,,,,
2013-8-28 23:00:00,28.6,,29,28.6,,0,,,341,0,6,0.3,336,2.5,,,,,,,,,,,
2013-8-28 22:00:00,28.9,,29.1,28.8,,0,,,336,1.5,347,0.4,344,2,,,,,,,,,,,
2013-8-28 21:00:00,29,,29.6,29,,0,,,296,0.2,341,0.3,299,1.7,,,,,,,,,,,
2013-8-28 20:00:00,29.6,,30.2,29.5,,0,,,308,0.4,9,0.4,18,2.5,,,,,,,,,,,
2013-8-28 19:00:00,30.2,,31.3,30.1,,0,,,251,0.1,316,0.8,49,2.7,,,,,,,,,,,
2013-8-28 18:00:00,31.3,,32.4,31.3,,0,,,232,0,10,0.1,333,1.8,,,,,,,,,,,
2013-8-28 17:00:00,32.4,,33.6,32.4,,0,,,336,1.1,3,0.5,9,3.1,,,,,,,,,,,
2013-8-28 16:00:00,33.6,,34.2,33.4,,0,,,344,0,324,0.2,66,1.8,,,,,,,,,,,
2013-8-28 15:00:00,33.8,,34.4,33.6,,0,,,220,0.1,32,0.2,46,1.8,,,,,,,,,,,
2013-8-28 14:00:00,34.2,,34.3,33.1,,0,,,327,0,313,0.5,7,2.1,,,,,,,,,,,
2013-8-28 13:00:00,33.3,,33.8,32.6,,0,,,288,0,328,0.4,226,1.8,,,,,,,,,,,
2013-8-28 12:00:00,32.6,,33,32.1,,0,,,305,0.8,24,0.6,268,2,,,,,,,,,,,
2013-8-28 11:00:00,32,,32,31,,0.1,,,60,0.7,55,0.4,310,2.4,,,,,,,,,,,
2013-8-28 10:00:00,30.9,,30.9,30,,0,,,341,0.1,337,0.2,358,2.3,,,,,,,,,,,
