time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.4,,22.4,21.8,,0,,,40,0.5,64,0.9,66,2.5,,,,,,,,,,,
2013-9-1 00:00:00,22,,22.9,22,,0,,,99,0,0,0,63,2.8,,,,,,,,,,,
2013-8-31 23:00:00,23,,23.7,23,,0,,,26,0,49,0.7,38,5,,,,,,,,,,,
2013-8-31 22:00:00,23.7,,24,23.5,,0,,,52,1.9,38,1.9,46,5.4,,,,,,,,,,,
2013-8-31 21:00:00,24.1,,24.4,24,,0,,,52,0.9,48,2.4,63,6.9,,,,,,,,,,,
2013-8-31 20:00:00,24.5,,25.1,24.5,,0,,,83,3.5,59,2.9,49,6.5,,,,,,,,,,,
2013-8-31 19:00:00,25.1,,26.1,25,,0,,,330,0.6,54,2,63,6.3,,,,,,,,,,,
2013-8-31 18:00:00,26.2,,27.1,26.2,,0,,,71,5.1,57,3.2,38,6.3,,,,,,,,,,,
2013-8-31 17:00:00,27.1,,28.2,27.1,,0,,,4,3.3,39,2.6,18,6.9,,,,,,,,,,,
2013-8-31 16:00:00,28.1,,28.7,27.9,,0,,,38,4.3,26,2.9,35,6.4,,,,,,,,,,,
2013-8-31 15:00:00,28.7,,30.6,28.7,,0,,,40,3.7,51,3.1,29,7.4,,,,,,,,,,,
2013-8-31 14:00:00,30.5,,31.9,30.5,,0,,,40,0.5,330,1.6,322,6.2,,,,,,,,,,,
2013-8-31 13:00:00,31.7,,31.7,29.4,,0,,,350,2,316,3.2,327,5.8,,,,,,,,,,,
2013-8-31 12:00:00,29.4,,30.3,28.2,,0,,,296,4.4,332,2.6,52,5.4,,,,,,,,,,,
2013-8-31 11:00:00,29,,30.1,28,,0,,,18,1.4,28,1.7,341,3.7,,,,,,,,,,,
2013-8-31 10:00:00,28.9,,28.9,26.9,,0,,,268,0.6,315,1.8,330,4.2,,,,,,,,,,,
