time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.8,,22.8,22.3,,0,,,108,0,59,0.6,52,2.1,,,,,,,,,,,
2013-9-1 00:00:00,22.6,,23.1,22.6,,0,,,12,0.3,30,0.4,38,4.2,,,,,,,,,,,
2013-8-31 23:00:00,23.1,,23.5,23.1,,0,,,52,2.5,50,1.8,40,4.7,,,,,,,,,,,
2013-8-31 22:00:00,23.5,,24,23.5,,0,,,4,2.1,43,1.6,32,5.5,,,,,,,,,,,
2013-8-31 21:00:00,23.9,,24.6,23.9,,0,,,7,1.9,34,2.5,7,7.6,,,,,,,,,,,
2013-8-31 20:00:00,24.6,,25.1,24.6,,0,,,21,3.8,41,1.5,38,6,,,,,,,,,,,
2013-8-31 19:00:00,25.1,,25.8,25.1,,0,,,49,1.4,44,2.6,71,7.7,,,,,,,,,,,
2013-8-31 18:00:00,25.8,,26.7,25.8,,0,,,46,3,55,1.8,40,7.4,,,,,,,,,,,
2013-8-31 17:00:00,26.7,,28.5,26.7,,0,,,52,1.4,41,2.5,38,6.8,,,,,,,,,,,
2013-8-31 16:00:00,28.4,,30,28.4,,0,,,9,1.8,35,2.8,333,6.6,,,,,,,,,,,
2013-8-31 15:00:00,29,,30.1,28.4,,0,,,38,0.3,47,1.6,7,6.6,,,,,,,,,,,
2013-8-31 14:00:00,29.2,,31,29.2,,0,,,324,2.3,22,2.4,353,7,,,,,,,,,,,
2013-8-31 13:00:00,30.3,,31.1,29.3,,0,,,355,1.5,356,3.1,341,6.3,,,,,,,,,,,
2013-8-31 12:00:00,30.6,,30.7,28,,0,,,333,1.5,359,1.6,353,6.2,,,,,,,,,,,
2013-8-31 11:00:00,28.4,,29,27.2,,0,,,29,2,8,2.3,355,5.5,,,,,,,,,,,
2013-8-31 10:00:00,28.2,,28.8,27.2,,0,,,347,2.7,9,2.3,74,5.8,,,,,,,,,,,
2013-8-31 9:00:00,27.7,,28.3,26.1,,0,,,4,3.2,359,2.5,52,4.6,,,,,,,,,,,
2013-8-31 8:00:00,26.1,,26.2,25.6,,0,,,350,1.7,30,1.3,4,4.4,,,,,,,,,,,
2013-8-31 7:00:00,26,,26,24.3,,0,,,353,0.8,28,1.2,63,3.8,,,,,,,,,,,
2013-8-31 6:00:00,24.3,,24.4,24,,0,,,88,0.4,49,1.1,32,3.4,,,,,,,,,,,
2013-8-31 5:00:00,24.4,,24.9,24.4,,0,,,43,0.7,54,0.7,40,5.2,,,,,,,,,,,
2013-8-31 4:00:00,24.9,,25,24.8,,0,,,52,2.9,35,2.8,40,5.8,,,,,,,,,,,
2013-8-31 3:00:00,24.9,,25.2,24.9,,0,,,29,3.6,22,2.2,23,4.8,,,,,,,,,,,
2013-8-31 2:00:00,25.2,,25.5,25.2,,0,,,40,1.5,45,2.5,85,7.1,,,,,,,,,,,
2013-8-31 1:00:00,25.5,,25.9,25.5,,0,,,40,1.3,32,0.8,29,7.6,,,,,,,,,,,
2013-8-31 00:00:00,25.9,,26.1,25.9,,0,,,18,3.2,16,2.8,29,7.1,,,,,,,,,,,
2013-8-30 23:00:00,26.1,,26.2,26,,0,,,49,2.3,29,1.8,38,7.4,,,,,,,,,,,
