time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23,,23,22.7,,0,,,271,3,29,1.7,68,5.1,,,,,,,,,,,
2013-9-1 00:00:00,22.8,,23,22.8,,0,,,274,1.1,327,2,274,5.7,,,,,,,,,,,
2013-8-31 23:00:00,23,,23.3,23,,0,,,288,1.7,292,2.3,88,6.1,,,,,,,,,,,
2013-8-31 22:00:00,23.3,,23.7,23.3,,0,,,68,3.2,338,2.1,85,5.7,,,,,,,,,,,
2013-8-31 21:00:00,23.7,,24,23.6,,0,,,274,1.9,76,2.1,74,6.3,,,,,,,,,,,
2013-8-31 20:00:00,24,,24.2,24,,0,,,77,4,74,2.4,80,6.7,,,,,,,,,,,
2013-8-31 19:00:00,24.2,,24.7,24.2,,0,,,88,2.2,78,4,71,7.4,,,,,,,,,,,
2013-8-31 18:00:00,24.7,,25.8,24.7,,0.1,,,85,1.5,48,3.2,80,7.8,,,,,,,,,,,
2013-8-31 17:00:00,25.8,,26.3,25.7,,0,,,85,2.7,68,2.9,71,9.4,,,,,,,,,,,
2013-8-31 16:00:00,26,,27.1,26,,0,,,71,2.4,57,2.9,68,7.8,,,,,,,,,,,
2013-8-31 15:00:00,26.9,,27.7,26.9,,0,,,277,4.9,18,4.1,279,8.9,,,,,,,,,,,
2013-8-31 14:00:00,27.3,,28.1,27.2,,0,,,71,5,360,3.6,274,9.3,,,,,,,,,,,
2013-8-31 13:00:00,27.5,,27.8,26.4,,0,,,282,3.4,317,4.3,277,7.9,,,,,,,,,,,
2013-8-31 12:00:00,26.6,,26.9,26.3,,0,,,291,3,65,2.3,271,7.9,,,,,,,,,,,
2013-8-31 11:00:00,26.4,,26.6,25.9,,0,,,282,4.9,284,4.6,277,8,,,,,,,,,,,
2013-8-31 10:00:00,25.9,,26,25,,0,,,74,2.4,65,1.8,285,6.6,,,,,,,,,,,
2013-8-31 9:00:00,25,,25,24.3,,0,,,285,2.7,322,3.5,277,7,,,,,,,,,,,
2013-8-31 8:00:00,24.3,,24.5,24.1,,0.1,,,279,4.6,282,3.8,88,6.2,,,,,,,,,,,
2013-8-31 7:00:00,24.3,,24.3,23.8,,0,,,285,3.4,350,2.9,271,5.9,,,,,,,,,,,
2013-8-31 6:00:00,23.8,,23.9,23.7,,0,,,80,2.5,301,2.5,291,5,,,,,,,,,,,
