time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,24,,24,23.7,,0,,,291,0.2,235,0.4,223,2.9,,,,,,,,,,,
2013-9-1 00:00:00,23.8,,24,23.7,,0,,,279,0.8,253,1,178,3,,,,,,,,,,,
2013-8-31 23:00:00,23.9,,24.1,23.9,,0,,,243,0.5,216,0.7,218,3.1,,,,,,,,,,,
2013-8-31 22:00:00,24,,24.5,24,,0,,,201,0.1,203,0.6,139,3.5,,,,,,,,,,,
2013-8-31 21:00:00,24.5,,24.6,24.3,,0,,,218,0.5,166,0.7,119,3.5,,,,,,,,,,,
2013-8-31 20:00:00,24.6,,25.2,24.6,,0,,,260,0.8,239,1.1,111,5,,,,,,,,,,,
2013-8-31 19:00:00,25.2,,25.8,25.2,,0,,,60,0.3,38,0.7,285,5.3,,,,,,,,,,,
2013-8-31 18:00:00,25.8,,26.3,25.8,,0,,,119,0.6,73,1.2,91,5.2,,,,,,,,,,,
2013-8-31 17:00:00,26.3,,27.2,26.3,,0,,,322,0.8,216,1.1,105,6.1,,,,,,,,,,,
2013-8-31 16:00:00,27.1,,27.4,27,,0,,,220,0.6,106,0.8,212,4.8,,,,,,,,,,,
2013-8-31 15:00:00,27.1,,27.7,27,,0,,,136,0.3,265,1,285,4.1,,,,,,,,,,,
2013-8-31 14:00:00,27.7,,28.4,27.6,,0,,,4,0.4,228,1.1,29,3.3,,,,,,,,,,,
2013-8-31 13:00:00,28.7,,30,27.6,,0,,,113,0.2,109,0.8,333,3.6,,,,,,,,,,,
2013-8-31 12:00:00,27.5,,29.1,27.4,,0,,,218,1.3,299,1,122,3.3,,,,,,,,,,,
2013-8-31 11:00:00,27.4,,28.8,26.5,,0,,,322,0.4,221,0.5,111,3,,,,,,,,,,,
2013-8-31 10:00:00,26.8,,27.9,26.3,,0,,,220,2.7,215,0.9,316,4.2,,,,,,,,,,,
2013-8-31 9:00:00,26.6,,26.7,24.9,,0,,,128,0.9,117,1,293,3,,,,,,,,,,,
2013-8-31 8:00:00,24.8,,24.8,24.6,,0,,,215,1,200,0.4,293,2.3,,,,,,,,,,,
2013-8-31 7:00:00,24.7,,24.9,24.6,,0,,,209,0.4,230,1,212,2.9,,,,,,,,,,,
2013-8-31 6:00:00,24.8,,24.9,24.7,,0,,,277,0.3,229,0.2,116,2.5,,,,,,,,,,,
2013-8-31 5:00:00,24.8,,25,24.8,,0,,,68,0.3,253,1,133,4.6,,,,,,,,,,,
2013-8-31 4:00:00,25,,25.3,25,,0,,,344,0.3,248,0.6,116,4,,,,,,,,,,,
2013-8-31 3:00:00,25.3,,25.6,25.3,,0,,,220,0.6,148,1.3,116,3.5,,,,,,,,,,,
2013-8-31 2:00:00,25.5,,25.6,25.4,,0,,,226,0.8,171,1,263,2.7,,,,,,,,,,,
2013-8-31 1:00:00,25.6,,25.8,25.6,,0,,,308,0.3,134,0.6,43,3.9,,,,,,,,,,,
2013-8-31 00:00:00,25.8,,26.1,25.8,,0,,,251,0.1,317,0.7,234,3.8,,,,,,,,,,,
2013-8-30 23:00:00,26.1,,26.6,26.1,,0,,,313,1.3,246,1.4,322,5.5,,,,,,,,,,,
2013-8-30 22:00:00,26.6,,26.9,26.5,,0,,,161,0.4,211,0.8,66,5.3,,,,,,,,,,,
2013-8-30 21:00:00,26.8,,27.5,26.8,,0,,,268,1,254,0.9,246,4.3,,,,,,,,,,,
2013-8-30 20:00:00,27.5,,28.3,27.5,,0,,,237,0.9,250,0.7,218,3.9,,,,,,,,,,,
2013-8-30 19:00:00,28.3,,29.2,28.3,,0,,,35,0.9,145,1.6,105,5,,,,,,,,,,,
2013-8-30 18:00:00,29.2,,30,29.2,,0,,,128,2.2,232,1.2,105,5.1,,,,,,,,,,,
2013-8-30 17:00:00,30,,30.3,29.9,,0,,,142,2.8,156,1.3,302,4.5,,,,,,,,,,,
2013-8-30 16:00:00,30.3,,31.1,30.3,,0,,,184,0.5,335,0.5,97,4.4,,,,,,,,,,,
2013-8-30 15:00:00,31.1,,31.2,30.8,,0,,,164,0.3,292,0.5,232,5.3,,,,,,,,,,,
2013-8-30 14:00:00,30.9,,31.5,30.8,,0,,,128,2.1,236,1.1,254,4.5,,,,,,,,,,,
2013-8-30 13:00:00,31.5,,31.7,30.9,,0,,,237,1,272,0.8,254,4.2,,,,,,,,,,,
2013-8-30 12:00:00,30.9,,31.1,30.2,,0,,,218,0.9,191,1.5,119,4.9,,,,,,,,,,,
