time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.7,,23.8,23.6,,0,,,206,1,35,0.9,38,4.1,,,,,,,,,,,
2013-9-1 00:00:00,23.6,,23.7,23.5,,0,,,74,1.3,44,1.9,26,5,,,,,,,,,,,
2013-8-31 23:00:00,23.7,,23.9,23.5,,0,,,63,1.4,355,1,74,4.8,,,,,,,,,,,
2013-8-31 22:00:00,23.7,,24,23.7,,0,,,52,1.6,21,1.6,49,4.3,,,,,,,,,,,
2013-8-31 21:00:00,23.9,,24.2,23.9,,0,,,302,0.3,16,1,63,5,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,24.9,24.3,,0,,,29,3,49,1.4,52,6.6,,,,,,,,,,,
2013-8-31 19:00:00,24.9,,25.5,24.9,,0,,,46,1.4,32,1.1,74,5.1,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,26.4,25.5,,0,,,353,1.5,26,1.9,330,6.1,,,,,,,,,,,
2013-8-31 17:00:00,26.4,,27.4,26.4,,0,,,40,1.9,355,1.9,7,6.1,,,,,,,,,,,
2013-8-31 16:00:00,27.4,,29,27.2,,0,,,330,0.3,17,0.9,330,6.3,,,,,,,,,,,
2013-8-31 15:00:00,29,,29.7,27.6,,0,,,12,2.4,14,2.4,344,6.7,,,,,,,,,,,
2013-8-31 14:00:00,29.3,,30,28.4,,0,,,32,1.2,10,1.1,353,5.1,,,,,,,,,,,
2013-8-31 13:00:00,28.7,,30,28.5,,0,,,310,2.9,357,1.9,38,4.8,,,,,,,,,,,
2013-8-31 12:00:00,29.3,,29.4,27.8,,0,,,80,0.7,298,3,308,6.4,,,,,,,,,,,
2013-8-31 11:00:00,27.8,,27.8,26.7,,0,,,52,1.3,13,1.3,63,5.3,,,,,,,,,,,
2013-8-31 10:00:00,26.8,,26.9,25.6,,0,,,353,2,343,1.6,85,3.8,,,,,,,,,,,
2013-8-31 9:00:00,25.6,,25.6,24.5,,0,,,302,1,6,0.6,18,3.7,,,,,,,,,,,
2013-8-31 8:00:00,24.5,,24.6,24,,0,,,350,1.3,320,1.2,299,3.5,,,,,,,,,,,
2013-8-31 7:00:00,24,,24.5,24,,0,,,293,0.6,329,0.9,26,4.3,,,,,,,,,,,
