time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.7,14.7,23.7,23.5,1009.8,0,57,57,19,2.5,56,2.4,74,4.5,50000,42479,,,,,,,,,
2013-9-1 00:00:00,23.6,14.6,23.7,23.6,1009.9,0,57,55,11,2,36,1.4,63,8,50000,43275,,,,,,,,,
2013-8-31 23:00:00,23.6,14,23.9,23.6,1009.7,0,55,54,95,1.5,33,2.8,358,6,50000,35086,,,,,,,,,
2013-8-31 22:00:00,23.9,14,24.3,23.9,1009.7,0,54,53,38,1.2,44,1,24,6.2,50000,43770,,,,,,,,,
2013-8-31 21:00:00,24.3,14.1,24.7,24.3,1009.6,0,53,53,42,3,38,2.7,39,6.7,50000,36759,,,,,,,,,
2013-8-31 20:00:00,24.8,14.6,25.4,24.8,1009.4,0,53,51,20,1.9,43,2.6,20,6.6,37966,34435,,,,,,,,,
2013-8-31 19:00:00,25.4,14.5,26.2,25.4,1009,0,51,49,85,2.7,46,1.4,3,7.7,47889,34502,,,,,,,,,
2013-8-31 18:00:00,26.2,15,27.7,26.2,1008.8,0,50,45,79,4.2,31,3.5,24,7.8,49054,27694,,,,,,,,,
2013-8-31 17:00:00,27.8,14.8,28.5,27.6,1008.3,0,45,41,9,3.2,50,3.8,35,7.5,50000,25264,,,,,,,,,
2013-8-31 16:00:00,28.5,14.7,29.6,28.3,1008.1,0,43,42,37,0.9,18,2.7,32,8.3,48270,20409,,,,,,,,,
2013-8-31 15:00:00,29.6,15.3,30.2,29,1007.7,0,42,35,63,6.7,42,3,63,6.7,47411,18899,,,,,,,,,
2013-8-31 14:00:00,29.7,13.9,30.1,29.6,1007.7,0,38,36,313,4,318,3.2,3,7.1,20426,14118,,,,,,,,,
2013-8-31 13:00:00,29.6,14.6,29.9,28.5,1007.9,0,40,39,356,2.9,28,2.4,309,6.8,20928,12981,,,,,,,,,
2013-8-31 12:00:00,28.6,15.2,29.2,28.5,1008.1,0,44,43,332,2.1,341,3.4,24,7.4,17643,11653,,,,,,,,,
2013-8-31 11:00:00,28.7,16.3,28.7,27.3,1008.2,0,47,46,26,2.1,27,1.8,295,6.3,20920,10984,,,,,,,,,
2013-8-31 10:00:00,27.3,18,27.3,26,1008.5,0,57,57,296,1.4,333,2.4,324,5.4,16358,9886,,,,,,,,,
2013-8-31 9:00:00,25.9,18.8,25.9,25.2,1008.4,0,65,64,348,1.6,357,2,310,4.8,12943,10106,,,,,,,,,
2013-8-31 8:00:00,25.2,18.9,25.2,24.4,1008,0,68,68,313,3.5,350,2.9,353,5,10319,9551,,,,,,,,,
2013-8-31 7:00:00,24.4,19,24.5,24.3,1007.6,0,72,72,37,0.8,352,2,351,4.5,11704,9195,,,,,,,,,
2013-8-31 6:00:00,24.5,19.1,24.8,24.5,1006.9,0,72,68,306,3.2,316,2.2,277,4.1,11871,11513,,,,,,,,,
2013-8-31 5:00:00,24.8,18.5,25,24.7,1006.5,0,68,68,303,0.3,13,1,34,4.7,31896,21989,,,,,,,,,
2013-8-31 4:00:00,25,18.7,25.3,25,1006,0,68,66,65,1.3,54,1.7,3,5.9,30235,21382,,,,,,,,,
2013-8-31 3:00:00,25.2,18.6,25.4,25.2,1005.8,0,67,65,95,0.7,57,1.8,34,7.1,34351,22052,,,,,,,,,
2013-8-31 2:00:00,25.3,18.5,25.6,25.3,1005.6,0,66,65,45,2.1,58,2.9,53,7.4,33971,19608,,,,,,,,,
2013-8-31 1:00:00,25.6,18.8,25.9,25.6,1005.3,0,66,65,19,1.6,34,2.5,358,7.1,25754,16584,,,,,,,,,
2013-8-31 00:00:00,25.9,18.8,26.3,25.9,1005.2,0,65,64,356,2.3,6,1.6,66,8.4,16984,14538,,,,,,,,,
2013-8-30 23:00:00,26.3,19.2,26.6,26.3,1005,0,65,64,33,4,45,3.1,24,7,14763,11657,,,,,,,,,
2013-8-30 22:00:00,26.6,19.2,27.2,26.5,1004.6,0,64,64,32,4.3,6,2.8,43,7.9,14939,8541,,,,,,,,,
2013-8-30 21:00:00,27.2,20,27.8,27.2,1005,0,65,65,13,4,13,2.6,29,8.2,9037,5402,,,,,,,,,
2013-8-30 20:00:00,27.8,21.4,28.8,27.8,1003.9,0,68,67,349,2.5,45,3.3,19,8.6,5510,4632,,,,,,,,,
2013-8-30 19:00:00,28.8,21.8,29.6,28.8,1002.8,0,66,63,70,3.1,64,3.3,36,8.1,4836,4563,,,,,,,,,
2013-8-30 18:00:00,29.6,22.1,30.5,29.6,1001.8,0,64,60,44,0,46,1.8,42,7.1,5217,4569,,,,,,,,,
2013-8-30 17:00:00,30.5,22.1,31.3,30.5,1001.4,0,61,59,97,1,37,0.9,25,7.8,4823,4640,,,,,,,,,
2013-8-30 16:00:00,31.3,22,32.8,31.3,1001.1,0,58,53,25,1.8,42,2.6,59,6.5,5258,4864,,,,,,,,,
2013-8-30 15:00:00,32.4,21.9,32.8,32.3,1000.8,0,54,50,16,3.6,26,2.7,28,9.2,5130,5068,,,,,,,,,
2013-8-30 14:00:00,32.8,21.6,32.8,31.8,1000.8,0,52,51,65,4.5,58,2.7,34,8.8,5850,4934,,,,,,,,,
2013-8-30 13:00:00,31.9,22,32.6,31.6,1000.9,0,56,52,64,2.5,23,2.8,42,9,5145,5145,,,,,,,,,
2013-8-30 12:00:00,31.6,21.8,31.7,31,1001.4,0,56,56,16,1.5,53,3,29,7.8,6163,5452,,,,,,,,,
