time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.5,,23.6,23.4,,0,,,353,2.4,12,2.9,26,7.5,28120,,,,,,,,,,
2013-9-1 00:00:00,23.5,,23.6,23.4,,0,,,358,4.3,359,3.9,4,6.6,26000,,,,,,,,,,
2013-8-31 23:00:00,23.6,,23.9,23.6,,0,,,347,2.5,359,3.6,4,7.9,29480,,,,,,,,,,
2013-8-31 22:00:00,23.9,,24.1,23.8,,0,,,7,4.5,10,3.6,7,8.4,27240,,,,,,,,,,
2013-8-31 21:00:00,24,,24.4,24,,0,,,350,3.8,13,2.7,26,7.5,25500,,,,,,,,,,
2013-8-31 20:00:00,24.4,,24.8,24.4,,0,,,32,1.8,24,3.1,7,7.4,23900,,,,,,,,,,
2013-8-31 19:00:00,24.6,,25.2,24.6,,0,,,32,3,17,3.8,18,8.2,58670,,,,,,,,,,
2013-8-31 18:00:00,25.3,,26.5,25.2,,0,,,43,2.8,23,3.5,1,9.7,58220,,,,,,,,,,
2013-8-31 17:00:00,26.5,,27.3,26.4,,0,,,353,8.3,11,5,344,8.5,75000,,,,,,,,,,
2013-8-31 16:00:00,26.8,,28.8,26.6,,0,,,26,4.2,18,4.7,9,8.8,66220,,,,,,,,,,
2013-8-31 15:00:00,28.4,,29,28.3,,0,,,29,6.3,7,4.7,7,9.2,61190,,,,,,,,,,
2013-8-31 14:00:00,28.7,,29.6,27.3,,0,,,271,2.7,3,3.5,26,8.5,56360,,,,,,,,,,
2013-8-31 13:00:00,27.4,,28.2,26.8,,0,,,9,4.4,7,4,9,7.1,75000,,,,,,,,,,
2013-8-31 12:00:00,27.8,,28.5,27.1,,0,,,327,1.5,20,3.6,15,5.8,51960,,,,,,,,,,
2013-8-31 11:00:00,27.9,,28.2,26.7,,0,,,4,5,25,2.6,7,6.6,75000,,,,,,,,,,
2013-8-31 10:00:00,27.5,,27.5,25.9,,0,,,18,3.8,15,3.7,355,6.5,75000,,,,,,,,,,
2013-8-31 9:00:00,26,,26.5,25.3,,0,,,142,0.6,280,1.4,347,6.4,61330,,,,,,,,,,
2013-8-31 8:00:00,25.3,,25.6,24.9,,0,,,15,5.1,8,3.5,7,6,31510,,,,,,,,,,
2013-8-31 7:00:00,25,,25,24.5,,0,,,358,2.8,1,3.2,7,6,22720,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.5,24.3,,0,,,1,4.9,6,3,355,6.9,46650,,,,,,,,,,
2013-8-31 5:00:00,24.4,,24.5,24.3,,0,,,344,3.5,12,3.7,15,7.6,43770,,,,,,,,,,
2013-8-31 4:00:00,24.4,,24.6,24.4,,0,,,40,3,19,3.2,12,7.3,7576,,,,,,,,,,
2013-8-31 3:00:00,24.6,,24.8,24.6,,0,,,15,3.5,12,3.7,350,8,56220,,,,,,,,,,
2013-8-31 2:00:00,24.7,,25,24.7,,0,,,18,5.3,0,5,9,8.7,64670,,,,,,,,,,
2013-8-31 1:00:00,25,,25.2,25,,0,,,7,3.5,9,5,347,9.5,39590,,,,,,,,,,
2013-8-31 00:00:00,25.3,,25.6,25.2,,0,,,12,4.4,356,3.8,355,8.8,48570,,,,,,,,,,
2013-8-30 23:00:00,25.6,,25.8,25.6,,0,,,12,4,5,3.7,12,9,41040,,,,,,,,,,
2013-8-30 22:00:00,25.8,,26.2,25.8,,0,,,12,7.9,6,5.5,23,8.9,25390,,,,,,,,,,
2013-8-30 21:00:00,26.1,,26.5,26.1,,0,,,9,5.1,10,4.3,7,10.2,27720,,,,,,,,,,
2013-8-30 20:00:00,26.5,,27.3,26.5,,0,,,1,7.7,3,5.4,353,11.4,19530,,,,,,,,,,
2013-8-30 19:00:00,27.4,,28.2,27.4,,0,,,355,8.2,0,5.8,23,11.1,16567,,,,,,,,,,
2013-8-30 18:00:00,28.2,,29,28.2,,0,,,7,4.6,13,4,358,10,14989,,,,,,,,,,
2013-8-30 17:00:00,29,,30,29,,0,,,353,6.7,16,4,15,7.9,18774,,,,,,,,,,
2013-8-30 16:00:00,29.9,,31.3,29.9,,0,,,12,3.1,23,3.4,15,7.3,9067,,,,,,,,,,
2013-8-30 15:00:00,31.3,,31.7,30.7,,0,,,29,2.7,31,3.3,344,6.9,8977,,,,,,,,,,
2013-8-30 14:00:00,31.2,,31.7,30.9,,0,,,40,2.6,33,3.3,23,8,7794,,,,,,,,,,
2013-8-30 13:00:00,31.3,,32,31.2,,0,,,7,3.4,15,3.3,15,8.3,8770,,,,,,,,,,
