time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.5,,23.6,23.3,,0,,,1,0,34,1.4,15,4.1,,,,,,,,,,,
2013-9-1 00:00:00,23.7,,23.7,23.2,,0,,,38,1.4,11,0.6,21,3.1,,,,,,,,,,,
2013-8-31 23:00:00,23.6,,23.8,23.3,,0,,,341,0.4,9,1.2,38,2.9,,,,,,,,,,,
2013-8-31 22:00:00,23.7,,24.1,23.7,,0,,,18,0.5,12,0.8,108,3.2,,,,,,,,,,,
2013-8-31 21:00:00,24.1,,24.4,23.9,,0,,,206,0.5,297,0.8,74,3.7,,,,,,,,,,,
2013-8-31 20:00:00,24.4,,24.9,24.4,,0,,,4,1,86,1.5,9,4.4,,,,,,,,,,,
2013-8-31 19:00:00,24.9,,25.3,24.9,,0,,,94,1.3,83,1,38,3.8,,,,,,,,,,,
2013-8-31 18:00:00,25.4,,26.3,25.4,,0,,,46,1,38,1.3,49,4,,,,,,,,,,,
2013-8-31 17:00:00,26.4,,27.1,26.3,,0,,,52,1.6,25,2.3,23,3.8,,,,,,,,,,,
2013-8-31 16:00:00,27.2,,27.8,27.1,,0,,,175,1,94,1.5,35,4.2,,,,,,,,,,,
2013-8-31 15:00:00,27.6,,28.3,27.5,,0,,,358,1.2,355,1.7,355,5,,,,,,,,,,,
2013-8-31 14:00:00,28,,28.4,27.5,,0,,,330,2.8,349,3.2,15,5,,,,,,,,,,,
2013-8-31 13:00:00,27.6,,28.5,27.6,,0,,,9,2,16,1.6,347,5.2,,,,,,,,,,,
2013-8-31 12:00:00,27.8,,28.3,27.5,,0,,,277,0.5,313,0.5,26,3.8,,,,,,,,,,,
2013-8-31 11:00:00,27.8,,27.8,26.7,,0,,,319,0.9,19,1.4,353,4,,,,,,,,,,,
2013-8-31 10:00:00,26.6,,26.6,25.4,,0,,,130,1,341,1.1,4,4.2,,,,,,,,,,,
2013-8-31 9:00:00,25.4,,25.5,24.8,,0,,,29,2,22,1.2,32,3.1,,,,,,,,,,,
2013-8-31 8:00:00,24.9,,24.9,24.4,,0,,,15,1.3,14,1.1,60,2.8,,,,,,,,,,,
2013-8-31 7:00:00,24.5,,24.7,24.4,,0,,,353,0.9,3,1.1,88,2.2,,,,,,,,,,,
2013-8-31 6:00:00,24.4,,24.5,24.3,,0,,,277,0,272,0.1,83,2,,,,,,,,,,,
2013-8-31 5:00:00,24.5,,24.6,24.4,,0,,,32,1.1,2,0.4,15,2.4,,,,,,,,,,,
2013-8-31 4:00:00,24.5,,24.8,24.5,,0,,,12,1.2,13,0.4,18,2.9,,,,,,,,,,,
2013-8-31 3:00:00,24.8,,25,24.8,,0,,,358,1.6,7,1.1,15,3.2,,,,,,,,,,,
2013-8-31 2:00:00,25,,25.2,24.9,,0,,,133,0.8,157,0.7,38,2.9,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.5,25.2,,0,,,4,1.1,48,0.4,40,4.8,,,,,,,,,,,
2013-8-31 00:00:00,25.5,,25.8,25.5,,0,,,353,2.4,21,1.8,32,4.4,,,,,,,,,,,
2013-8-30 23:00:00,25.8,,26.1,25.8,,0,,,35,3.8,38,1.8,9,5.4,,,,,,,,,,,
2013-8-30 22:00:00,26.1,,26.4,26,,0,,,164,0,277,0.7,350,3.8,,,,,,,,,,,
2013-8-30 21:00:00,26.4,,26.9,26.3,,0,,,74,2,65,1,18,5.4,,,,,,,,,,,
2013-8-30 20:00:00,26.9,,27.8,26.9,,0,,,38,2,20,2.3,18,5.2,,,,,,,,,,,
2013-8-30 19:00:00,27.8,,28.7,27.8,,0,,,63,1.5,20,2,35,5.2,,,,,,,,,,,
2013-8-30 18:00:00,28.7,,29.5,28.7,,0,,,26,1,9,1.4,105,4.9,,,,,,,,,,,
2013-8-30 17:00:00,29.5,,30.1,29.5,,0,,,122,1.1,56,1.1,21,3.9,,,,,,,,,,,
2013-8-30 16:00:00,30.1,,30.8,30.1,,0,,,187,1.2,128,1,128,4.6,,,,,,,,,,,
2013-8-30 15:00:00,30.8,,31.6,30.7,,0,,,40,1.3,45,1.4,66,5.3,,,,,,,,,,,
2013-8-30 14:00:00,31.8,,32,31.2,,0,,,4,1.6,353,1.8,23,4,,,,,,,,,,,
2013-8-30 13:00:00,31.1,,31.1,30.5,,0,,,35,0.5,18,0.9,15,4.7,,,,,,,,,,,
2013-8-30 12:00:00,30.5,,30.6,29.9,,0,,,15,1.3,36,1.2,9,4.7,,,,,,,,,,,
2013-8-30 11:00:00,29.8,,29.8,29.4,,0,,,38,2.4,63,1.7,18,5.6,,,,,,,,,,,
2013-8-30 10:00:00,29.7,,29.8,29.1,,0,,,88,1.8,68,1.9,40,5.7,,,,,,,,,,,
2013-8-30 9:00:00,29.4,,29.4,28.3,,0,,,102,1.3,159,1,15,4.9,,,,,,,,,,,
2013-8-30 8:00:00,28.3,,28.3,27.5,,0.1,,,338,1,55,1,18,3,,,,,,,,,,,
2013-8-30 7:00:00,27.5,,27.7,27.2,,0,,,23,0,23,0.8,23,2.4,,,,,,,,,,,
2013-8-30 6:00:00,27.2,,27.7,27,,0,,,29,1,27,1.4,18,3.1,,,,,,,,,,,
2013-8-30 5:00:00,27.7,,27.9,27.2,,0,,,23,1.8,360,1.3,353,2.5,,,,,,,,,,,
2013-8-30 4:00:00,27.2,,27.5,27.2,,0,,,4,0,0,0,130,1.5,,,,,,,,,,,
2013-8-30 3:00:00,27.4,,27.6,27.4,,0,,,116,0.5,121,0.2,128,1.4,,,,,,,,,,,
2013-8-30 2:00:00,27.5,,27.6,27.5,,0,,,83,0,0,0,212,0.9,,,,,,,,,,,
2013-8-30 1:00:00,27.5,,27.6,27.4,,0,,,187,0,190,0,341,0.4,,,,,,,,,,,
2013-8-30 00:00:00,27.6,,27.8,27.6,,0,,,319,0,0,0,226,2.8,,,,,,,,,,,
2013-8-29 23:00:00,27.6,,27.7,27.5,,0.1,,,128,0.5,142,0.2,195,2.6,,,,,,,,,,,
2013-8-29 22:00:00,27.6,,27.7,27.4,,0,,,198,0.8,149,0.8,184,4.4,,,,,,,,,,,
2013-8-29 21:00:00,27.4,,27.4,27.1,,0,,,192,1.9,189,1.7,209,3.5,,,,,,,,,,,
2013-8-29 20:00:00,27.1,,27.1,26.5,,0,,,63,0,84,0.2,175,2.2,,,,,,,,,,,
2013-8-29 19:00:00,26.5,,26.8,26.4,,0,,,38,1,37,0.6,9,2.7,,,,,,,,,,,
