time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,24,,24.1,23.9,,0,,,32,1.6,51,2.1,49,5.2,,,,,,,,,,,
2013-9-1 00:00:00,23.9,,24,23.8,,0,,,49,2.1,45,1.4,57,3.4,,,,,,,,,,,
2013-8-31 23:00:00,24,,24.5,24,,0,,,15,1.4,44,1.2,60,5,,,,,,,,,,,
2013-8-31 22:00:00,24.4,,24.9,24.4,,0,,,21,1.4,41,1.6,40,6.4,,,,,,,,,,,
2013-8-31 21:00:00,24.9,,25.2,24.9,,0,,,15,4.8,61,3.8,63,7.4,,,,,,,,,,,
2013-8-31 20:00:00,25.2,,26.1,25.2,,0,,,63,4.1,70,4.6,71,9,,,,,,,,,,,
2013-8-31 19:00:00,26.1,,26.8,26.1,,0,,,68,4.6,61,5,52,9.2,,,,,,,,,,,
2013-8-31 18:00:00,26.8,,27.9,26.7,,0,,,66,1.9,54,3.8,68,9.4,,,,,,,,,,,
2013-8-31 17:00:00,27.9,,29.2,27.8,,0,,,63,5.2,57,4.1,54,7.9,,,,,,,,,,,
2013-8-31 16:00:00,29.2,,30,28.6,,0,,,52,1.6,54,3.7,52,8.6,,,,,,,,,,,
2013-8-31 15:00:00,30,,30.2,29.3,,0,,,18,4.6,37,2.7,52,7.5,,,,,,,,,,,
2013-8-31 14:00:00,29.4,,29.6,28.7,,0,,,150,1.2,359,1.9,63,5.9,,,,,,,,,,,
2013-8-31 13:00:00,29.5,,30.1,28.8,,0.1,,,355,3.6,36,3.2,350,7.2,,,,,,,,,,,
2013-8-31 12:00:00,28.7,,28.9,28.7,,0,,,240,0,240,0,240,0,,,,,,,,,,,
2013-8-31 11:00:00,28.8,,29.3,28.5,,0,,,80,3.1,50,2.7,66,7.3,,,,,,,,,,,
2013-8-31 10:00:00,28.7,,29,27.9,,0,,,7,1.6,35,1.8,66,5.9,,,,,,,,,,,
2013-8-31 9:00:00,27.6,,27.7,25.5,,0,,,71,0.8,36,1.6,1,6.1,,,,,,,,,,,
2013-8-31 8:00:00,25.5,,25.5,24.3,,0,,,15,2.3,24,2.6,12,4.4,,,,,,,,,,,
2013-8-31 7:00:00,24.3,,24.4,24.3,,0,,,29,1.1,44,1.4,7,3.8,,,,,,,,,,,
2013-8-31 6:00:00,24.4,,24.7,24.4,,0,,,29,1.3,33,1.1,4,3.6,,,,,,,,,,,
2013-8-31 5:00:00,24.7,,25,24.6,,0,,,1,3.5,27,2.1,9,4,,,,,,,,,,,
2013-8-31 4:00:00,25,,25.5,25,,0,,,15,1.3,18,1.2,68,5.1,,,,,,,,,,,
2013-8-31 3:00:00,25.5,,25.6,25.4,,0,,,88,2.2,69,2.3,57,4.7,,,,,,,,,,,
2013-8-31 2:00:00,25.5,,25.8,25.4,,0,,,71,0.8,49,1.1,38,4.7,,,,,,,,,,,
2013-8-31 1:00:00,25.8,,26.2,25.8,,0,,,38,1.3,49,1.7,63,4.9,,,,,,,,,,,
2013-8-31 00:00:00,26.2,,26.7,26.2,,0,,,63,1.2,46,2.6,74,6.8,,,,,,,,,,,
2013-8-30 23:00:00,26.7,,26.9,26.7,,0,,,68,5.5,45,2.5,38,7.6,,,,,,,,,,,
2013-8-30 22:00:00,26.9,,27.3,26.9,,0,,,66,3.2,51,2.2,60,9.6,,,,,,,,,,,
2013-8-30 21:00:00,27.3,,28.1,27.2,,0,,,52,4.3,54,3.3,74,9.9,,,,,,,,,,,
2013-8-30 20:00:00,28.1,,29,28.1,,0,,,60,6.1,58,5.1,83,8.8,,,,,,,,,,,
2013-8-30 19:00:00,29,,30.1,29,,0,,,63,2.9,53,2.5,88,13,,,,,,,,,,,
2013-8-30 18:00:00,30.1,,31,30.1,,0,,,68,4.4,61,5.2,54,10.4,,,,,,,,,,,
2013-8-30 17:00:00,30.9,,31.3,30.9,,0,,,63,2.9,57,3.6,74,6.8,,,,,,,,,,,
2013-8-30 16:00:00,31.3,,32.3,31.3,,0,,,74,4.1,65,3.4,74,8.2,,,,,,,,,,,
2013-8-30 15:00:00,32.3,,33,32.3,,0,,,88,5.9,66,4.9,80,8,,,,,,,,,,,
2013-8-30 14:00:00,32.5,,32.7,32.3,,0,,,46,3.2,51,3.1,68,10.2,,,,,,,,,,,
2013-8-30 13:00:00,32.2,,32.3,31.8,,0,,,40,3.6,63,5.2,68,10,,,,,,,,,,,
2013-8-30 12:00:00,31.7,,31.7,30.8,,0,,,60,3.5,58,3,71,8.9,,,,,,,,,,,
2013-8-30 11:00:00,30.9,,31.1,30.8,,0,,,57,3.5,63,6.3,60,9.7,,,,,,,,,,,
2013-8-30 10:00:00,31,,31.3,30.6,,0,,,71,6.4,66,3.7,77,8.1,,,,,,,,,,,
2013-8-30 9:00:00,30.7,,30.8,29.9,,0,,,63,3.1,58,3.7,74,8.9,,,,,,,,,,,
2013-8-30 8:00:00,29.8,,29.8,29,,0,,,46,2.6,47,3.1,71,6.6,,,,,,,,,,,
2013-8-30 7:00:00,29,,29,28.4,,0,,,66,1.4,51,1.9,52,4.3,,,,,,,,,,,
2013-8-30 6:00:00,28.5,,28.6,28.4,,0,,,29,0,56,0.9,52,3.7,,,,,,,,,,,
2013-8-30 5:00:00,28.6,,28.8,28.6,,0,,,4,0.9,22,1.2,57,2.9,,,,,,,,,,,
2013-8-30 4:00:00,28.7,,28.8,28.6,,0,,,35,1.2,14,1.4,88,2.9,,,,,,,,,,,
2013-8-30 3:00:00,28.7,,28.8,28.5,,0,,,74,1.7,79,1.8,74,2.5,,,,,,,,,,,
2013-8-30 2:00:00,28.6,,28.7,28.6,,0,,,15,0,24,0.7,1,2.3,,,,,,,,,,,
2013-8-30 1:00:00,28.6,,28.6,28.5,,0,,,4,0,10,1,4,2,,,,,,,,,,,
2013-8-30 00:00:00,28.5,,28.5,28.4,,0,,,68,0,0,0,1,1.7,,,,,,,,,,,
2013-8-29 23:00:00,28.4,,28.4,28.2,,0,,,49,0,0,0,7,2.3,,,,,,,,,,,
2013-8-29 22:00:00,28.2,,28.4,28.2,,0,,,29,0.5,16,0.6,12,2.1,,,,,,,,,,,
2013-8-29 21:00:00,28.3,,28.5,28.2,,0,,,74,0,68,0.1,68,4.1,,,,,,,,,,,
2013-8-29 20:00:00,28.2,,28.3,28.2,,0,,,66,0,0,0,38,2,,,,,,,,,,,
2013-8-29 19:00:00,28.2,,28.4,28.1,,0,,,60,1.1,58,1.3,35,4.4,,,,,,,,,,,
2013-8-29 18:00:00,28.1,,28.1,27.6,,0,,,23,1.3,13,1.7,88,3.9,,,,,,,,,,,
2013-8-29 17:00:00,27.5,,27.8,26.8,,13.6,,,83,2.3,63,2.3,85,8,,,,,,,,,,,
2013-8-29 16:00:00,27.8,,29.8,26.9,,12.1,,,88,4,42,2.8,63,12.1,,,,,,,,,,,
2013-8-29 15:00:00,34.8,,37.9,34.8,,0,,,9,2.2,26,2.5,1,5.3,,,,,,,,,,,
2013-8-29 14:00:00,37.5,,37.6,36.7,,0,,,15,1.9,38,1.9,66,5.5,,,,,,,,,,,
2013-8-29 13:00:00,36.5,,37.2,36.1,,0,,,57,2.3,39,2.2,60,5.3,,,,,,,,,,,
2013-8-29 12:00:00,37.1,,37.1,36,,0,,,35,2.3,60,1.5,83,5.3,,,,,,,,,,,
2013-8-29 11:00:00,36.1,,36.3,35.3,,0,,,54,2,49,2.9,29,5.7,,,,,,,,,,,
2013-8-29 10:00:00,35.7,,35.7,33.7,,0,,,83,2.6,67,2.2,66,5.3,,,,,,,,,,,
2013-8-29 9:00:00,33.7,,33.7,31.7,,0,,,80,0.8,50,1,49,4.6,,,,,,,,,,,
