time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.3,,23.4,23.1,,0,,,353,1.7,18,1.9,7,6.9,19990,,,,,,,,,,
2013-9-1 00:00:00,23.4,,23.7,23.3,,0,,,26,2,9,2.5,21,7.6,19990,,,,,,,,,,
2013-8-31 23:00:00,23.5,,23.9,23.5,,0,,,23,2.9,13,2.9,15,9.1,19990,,,,,,,,,,
2013-8-31 22:00:00,24,,24,23.7,,0,,,32,1.8,35,2.9,18,7.9,19990,,,,,,,,,,
2013-8-31 21:00:00,23.9,,24.3,23.9,,0,,,4,2,17,4,353,9.6,19990,,,,,,,,,,
2013-8-31 20:00:00,24.3,,24.6,24.3,,0,,,29,6.8,31,4.8,29,10.7,19990,,,,,,,,,,
2013-8-31 19:00:00,24.5,,25,24.5,,0,,,71,3.4,33,4.2,7,10.4,19990,,,,,,,,,,
2013-8-31 18:00:00,25,,25.8,25,,0,,,347,4.3,31,3.3,23,10,19990,,,,,,,,,,
2013-8-31 17:00:00,25.8,,27.5,25.8,,0,,,29,6.7,18,4.1,12,10.6,19990,,,,,,,,,,
2013-8-31 16:00:00,27.4,,28,27.3,,0,,,49,3.2,25,4.1,49,11.5,19313,,,,,,,,,,
2013-8-31 15:00:00,28,,28.3,27.7,,0,,,119,3.7,22,4.8,9,11.7,19990,,,,,,,,,,
2013-8-31 14:00:00,28.1,,28.4,27.6,,0,,,29,4.6,29,4.5,12,10.2,19990,,,,,,,,,,
2013-8-31 13:00:00,27.9,,28.6,27.7,,0,,,26,2.9,41,4,40,9.6,19990,,,,,,,,,,
2013-8-31 12:00:00,28.1,,28.2,27.2,,0,,,282,3.2,4,4.5,29,9.5,19990,,,,,,,,,,
2013-8-31 11:00:00,27.9,,28,27.3,,0,,,130,1.6,59,2.7,341,8.6,15422,,,,,,,,,,
2013-8-31 10:00:00,27.8,,27.9,26.9,,0,,,7,3.5,355,3.9,12,9.5,17748,,,,,,,,,,
2013-8-31 9:00:00,27,,27.2,26.1,,0,,,355,2.4,352,4.8,344,10.6,18862,,,,,,,,,,
2013-8-31 8:00:00,26.2,,26.3,25.5,,0,,,333,4.3,352,4.5,12,9.3,11888,,,,,,,,,,
2013-8-31 7:00:00,25.6,,25.6,24.7,,0,,,35,5.2,15,3.5,12,8.3,16127,,,,,,,,,,
2013-8-31 6:00:00,24.7,,24.7,24.4,,0,,,341,3.8,9,5.2,7,9.5,19990,,,,,,,,,,
2013-8-31 5:00:00,24.6,,25,24.6,,0,,,60,1.9,31,3.5,18,9.1,19990,,,,,,,,,,
2013-8-31 4:00:00,24.9,,25.1,24.9,,0,,,12,7.7,23,5.1,38,9.7,19990,,,,,,,,,,
2013-8-31 3:00:00,25.1,,25.3,25.1,,0,,,12,3.5,5,4.9,15,9.9,18502,,,,,,,,,,
2013-8-31 2:00:00,25.3,,25.5,25.2,,0,,,94,2.6,22,3.7,4,10.7,19990,,,,,,,,,,
2013-8-31 1:00:00,25.5,,25.8,25.4,,0,,,4,5.9,4,5.3,9,10.8,18305,,,,,,,,,,
2013-8-31 00:00:00,25.7,,26.1,25.7,,0,,,7,2.8,353,5.2,23,13.3,15564,,,,,,,,,,
2013-8-30 23:00:00,26,,26.2,26,,0,,,355,10.3,355,7.4,15,11.9,11971,,,,,,,,,,
2013-8-30 22:00:00,26.2,,26.7,26.2,,0,,,4,8,356,6.7,4,13,6236,,,,,,,,,,
2013-8-30 21:00:00,26.7,,27.2,26.7,,0,,,66,4.1,2,5.6,4,14.6,5767,,,,,,,,,,
2013-8-30 20:00:00,27.3,,27.7,27.2,,0,,,74,3.4,19,4.3,60,13.3,3747,,,,,,,,,,
2013-8-30 19:00:00,27.7,,28.5,27.7,,0,,,288,1.8,23,5.1,15,12.7,3733,,,,,,,,,,
2013-8-30 18:00:00,28.5,,29,28.5,,0,,,344,9.5,1,5.6,18,13.8,3356,,,,,,,,,,
2013-8-30 17:00:00,29,,30.3,29,,0,,,38,4.2,13,5.2,15,11.9,5335,,,,,,,,,,
2013-8-30 16:00:00,30.1,,30.8,30.1,,0,,,355,5.4,9,5.2,12,10.7,5622,,,,,,,,,,
2013-8-30 15:00:00,30.8,,31.5,30.6,,0,,,66,5,2,4.5,358,10.7,4340,,,,,,,,,,
2013-8-30 14:00:00,31.6,,32.1,30.8,,0,,,336,3.7,13,4.6,26,10.4,4931,,,,,,,,,,
2013-8-30 13:00:00,31.1,,31.5,30.2,,0,,,338,7.9,6,6.6,344,12.1,4164,,,,,,,,,,
