time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.1,,23.4,23.1,,0,,,7,2.1,19,1.7,23,5.6,,,,,,,,,,,
2013-9-1 00:00:00,23.3,,23.4,23.2,,0,,,26,3.7,22,2.6,46,5.5,,,,,,,,,,,
2013-8-31 23:00:00,23.3,,23.7,23.3,,0,,,23,2.2,18,2.1,21,7,,,,,,,,,,,
2013-8-31 22:00:00,23.7,,24,23.6,,0,,,26,4,41,3.2,15,7.3,,,,,,,,,,,
2013-8-31 21:00:00,23.9,,24.5,23.9,,0,,,21,1.6,30,2.8,32,8.7,,,,,,,,,,,
2013-8-31 20:00:00,24.5,,25.3,24.5,,0,,,54,2.6,35,3.5,29,9.3,,,,,,,,,,,
2013-8-31 19:00:00,25.4,,26.1,25.4,,0,,,54,4.6,44,4,43,10,,,,,,,,,,,
2013-8-31 18:00:00,26.1,,27.1,26.1,,0,,,12,6.1,24,5,4,9.5,,,,,,,,,,,
2013-8-31 17:00:00,27.2,,27.8,27.2,,0,,,32,3.7,18,4.7,358,8.1,,,,,,,,,,,
2013-8-31 16:00:00,27.9,,29.4,27.9,,0,,,358,3.2,19,4.3,347,10,,,,,,,,,,,
2013-8-31 15:00:00,28.5,,30.4,28.4,,0,,,32,2.7,13,4,4,10.3,,,,,,,,,,,
2013-8-31 14:00:00,28.9,,30.9,28.5,,0,,,7,3.5,4,4.4,12,8.6,,,,,,,,,,,
2013-8-31 13:00:00,29.7,,30.6,28.3,,0,,,23,5.5,11,5.3,7,7.7,,,,,,,,,,,
2013-8-31 12:00:00,28.2,,29.7,28.2,,0,,,52,2.3,13,3.5,7,7.9,,,,,,,,,,,
2013-8-31 11:00:00,29,,29,27.7,,0,,,358,3.8,6,2.7,43,7.4,,,,,,,,,,,
2013-8-31 10:00:00,28.3,,28.3,27,,0,,,32,2.7,6,2.1,32,7.9,,,,,,,,,,,
2013-8-31 9:00:00,27.6,,27.8,25.5,,0,,,347,3.2,355,3.3,15,7.4,,,,,,,,,,,
2013-8-31 8:00:00,25.3,,25.3,23.4,,0,,,7,2.3,356,2.6,7,5.6,,,,,,,,,,,
2013-8-31 7:00:00,23.4,,23.6,23.4,,0,,,29,1.6,1,1.7,15,4.3,,,,,,,,,,,
2013-8-31 6:00:00,23.5,,23.7,23.4,,0,,,23,2.3,355,1.6,18,5.8,,,,,,,,,,,
2013-8-31 5:00:00,23.6,,23.9,23.6,,0,,,12,1.9,359,3,327,6.2,,,,,,,,,,,
2013-8-31 4:00:00,23.9,,24.4,23.9,,0,,,350,2.3,2,2.2,23,4.6,,,,,,,,,,,
2013-8-31 3:00:00,24.4,,24.5,24.4,,0,,,23,1.6,5,2.5,18,6.4,,,,,,,,,,,
2013-8-31 2:00:00,24.6,,24.9,24.6,,0,,,353,4.4,13,2.7,32,9.2,,,,,,,,,,,
2013-8-31 1:00:00,24.9,,25.3,24.9,,0,,,15,7.4,17,4.3,7,8.1,,,,,,,,,,,
2013-8-31 00:00:00,25.3,,25.8,25.3,,0,,,57,5.9,20,4.5,52,10.6,,,,,,,,,,,
2013-8-30 23:00:00,25.7,,26.4,25.7,,0,,,358,4.4,9,5.1,4,9.5,,,,,,,,,,,
2013-8-30 22:00:00,26.4,,26.7,26.4,,0,,,15,3.4,17,2.7,7,10.9,,,,,,,,,,,
2013-8-30 21:00:00,26.8,,27.5,26.7,,0,,,23,2,30,3,355,12.1,,,,,,,,,,,
2013-8-30 20:00:00,27.5,,28.5,27.5,,0,,,344,6.4,8,5.3,26,12,,,,,,,,,,,
