time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.8,15.9,23.2,22.7,1011.5,0,65,63,53,1.3,37,1.5,55,3.7,29296,21522,22.7,23.3,22.7,27.5,29.7,30.3,30.7,,
2013-9-1 00:00:00,23.2,15.8,23.2,23.1,1011.5,0,63,61,56,1.9,19,1.6,30,4.5,33528,18049,23.2,23.2,22.5,27.9,30.1,30.6,31,,
2013-8-31 23:00:00,23.3,15.4,23.5,23.3,1011.4,0,61,60,48,1.8,43,2.1,43,5.8,29944,19119,22.6,23.1,22.5,28.5,30.5,31,31.2,,
2013-8-31 22:00:00,23.5,15.3,23.9,23.5,1011.2,0,60,60,29,4.3,52,4.4,47,6.3,30265,13782,23.1,23.7,23.1,29.1,31.1,31.4,31.4,,
2013-8-31 21:00:00,23.9,15.7,24.4,23.9,1011.1,0,60,57,70,2.2,41,3.7,50,7.7,20283,16505,23.7,24.7,23.7,30,31.6,31.8,31.6,,
2013-8-31 20:00:00,24.4,15.3,25.2,24.4,1011.1,0,57,53,46,4.6,42,4.5,44,8.2,22092,19689,24.7,26.7,24.7,30.9,32.2,32.1,31.7,,
2013-8-31 19:00:00,25.2,14.9,26,25.2,1010.5,0,53,50,45,4.4,55,3.9,38,7.5,25594,19020,26.7,28.9,26.7,31.9,32.7,32.4,31.8,,
2013-8-31 18:00:00,26,15.1,26.9,26,1010.4,0,51,49,44,2.3,42,4.4,33,7.9,23830,18857,28.9,32.5,28.9,33.1,33.2,32.5,31.7,,
2013-8-31 17:00:00,26.9,15.3,28.2,26.9,1010.1,0,49,42,26,3.5,41,4.5,44,8.2,27591,17839,32.4,39.1,32.4,34.2,33.4,32.5,31.6,,
2013-8-31 16:00:00,28.3,14.5,28.8,28.2,1009.7,0,43,42,51,2.2,25,3.3,29,7.3,32310,15213,39.2,46.2,39.2,35,33.3,32.2,31.3,,
