time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.4,,22.6,22.2,,0,,,299,0,0,0,18,1.8,,,,,,,,,,,
2013-9-1 00:00:00,22.5,,22.5,22,,0,,,333,0.1,327,0.3,268,2.6,,,,,,,,,,,
2013-8-31 23:00:00,22.1,,22.7,22.1,,0,,,333,0,349,0.3,308,3.2,,,,,,,,,,,
2013-8-31 22:00:00,22.6,,22.8,22.4,,0,,,83,0.4,51,0.6,299,3.1,,,,,,,,,,,
2013-8-31 21:00:00,22.6,,22.9,22.6,,0,,,232,0.4,309,0.3,288,2.4,,,,,,,,,,,
2013-8-31 20:00:00,22.9,,23.7,22.8,,0,,,38,0.8,51,0.7,353,5.3,,,,,,,,,,,
2013-8-31 19:00:00,23.7,,24.5,23.7,,0,,,189,0.3,36,0.3,358,2.7,,,,,,,,,,,
2013-8-31 18:00:00,24.5,,25.1,24.5,,0,,,313,0.8,335,0.7,353,5.1,,,,,,,,,,,
2013-8-31 17:00:00,25.1,,26.7,25.1,,0,,,330,0.6,351,0.8,74,3.8,,,,,,,,,,,
2013-8-31 16:00:00,26.3,,27.6,26.2,,0,,,122,0.3,246,0.4,344,6.3,,,,,,,,,,,
2013-8-31 15:00:00,27,,28.6,26.6,,0,,,32,0.3,39,0.7,265,5.3,,,,,,,,,,,
2013-8-31 14:00:00,26.7,,28.8,26.7,,0,,,46,2.1,40,1.1,12,5.1,,,,,,,,,,,
2013-8-31 13:00:00,28,,30,26.8,,0,,,293,1,322,1.2,279,4.8,,,,,,,,,,,
2013-8-31 12:00:00,29.4,,29.4,27.1,,0,,,12,0.1,15,0.7,288,4.7,,,,,,,,,,,
2013-8-31 11:00:00,27.4,,28.5,27.1,,0,,,274,1.1,3,1.3,336,3.6,,,,,,,,,,,
2013-8-31 10:00:00,28,,28.3,25.9,,0,,,341,0.5,349,0.7,322,2.4,,,,,,,,,,,
2013-8-31 9:00:00,25.8,,26,24.7,,0,,,74,0,64,0.5,94,2,,,,,,,,,,,
2013-8-31 8:00:00,24.8,,24.9,23.9,,0,,,187,0.8,56,0.8,316,1.9,,,,,,,,,,,
2013-8-31 7:00:00,23.9,,24,23.5,,0,,,68,0.4,43,0.4,285,2.6,,,,,,,,,,,
2013-8-31 6:00:00,23.5,,23.6,23.3,,0,,,299,0.1,290,0.2,113,2.1,,,,,,,,,,,
2013-8-31 5:00:00,23.4,,23.6,23.3,,0,,,32,0.5,343,0.3,308,1.4,,,,,,,,,,,
2013-8-31 4:00:00,23.6,,24.1,23.5,,0,,,173,0,140,0.4,254,1.6,,,,,,,,,,,
2013-8-31 3:00:00,24.1,,24.4,24.1,,0,,,299,0.1,358,0.3,336,2.6,,,,,,,,,,,
2013-8-31 2:00:00,24.3,,24.7,24.3,,0,,,52,0.3,347,0.4,310,2.8,,,,,,,,,,,
2013-8-31 1:00:00,24.6,,25.1,24.6,,0,,,130,0.6,77,1,344,3.1,,,,,,,,,,,
2013-8-31 00:00:00,24.9,,25.4,24.8,,0,,,46,0.6,56,0.5,308,4.9,,,,,,,,,,,
2013-8-30 23:00:00,25.4,,25.7,25.4,,0,,,80,1.1,25,0.8,263,5.2,,,,,,,,,,,
2013-8-30 22:00:00,25.5,,25.7,25.4,,0,,,1,1,34,0.4,299,3.5,,,,,,,,,,,
2013-8-30 21:00:00,25.7,,26.5,25.7,,0,,,254,0.5,58,0.7,94,4,,,,,,,,,,,
