time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-8-31 11:00:00,27.2,,27.2,26.5,,0,,,198,2.5,200,2.5,201,6.8,,,,,,,,,,,
2013-8-31 10:00:00,26.6,,26.7,25.7,,0,,,206,2,202,2.2,209,5.9,,,,,,,,,,,
2013-8-31 9:00:00,25.7,,25.7,25,,0,,,192,3.1,203,1.3,203,4.7,,,,,,,,,,,
2013-8-31 8:00:00,25,,25,24.6,,0,,,209,1.1,214,1.2,198,4.7,,,,,,,,,,,
2013-8-31 7:00:00,24.7,,24.9,24.7,,0,,,195,2.7,203,1.9,195,4.3,,,,,,,,,,,
2013-8-31 6:00:00,24.8,,24.8,24.5,,0,,,243,1.5,216,1.2,246,4.7,,,,,,,,,,,
2013-8-31 5:00:00,24.7,,24.7,24.6,,0,,,212,0.9,209,1.1,192,6.7,,,,,,,,,,,
2013-8-31 4:00:00,24.6,,25,24.5,,0,,,201,2.1,206,1.2,195,5.5,,,,,,,,,,,
2013-8-31 3:00:00,24.9,,25.3,24.9,,0,,,195,2.1,204,1.3,192,6.4,,,,,,,,,,,
2013-8-31 2:00:00,25.3,,25.4,25.2,,0,,,209,1.4,214,1.2,195,6.1,,,,,,,,,,,
2013-8-31 1:00:00,25.3,,25.7,25.3,,0,,,192,1.8,202,0.9,203,6.6,,,,,,,,,,,
2013-8-31 00:00:00,25.7,,26,25.7,,0,,,212,2.4,200,3.2,195,7.4,,,,,,,,,,,
2013-8-30 23:00:00,26,,26.3,26,,0,,,195,3.5,199,2.7,198,7.7,,,,,,,,,,,
2013-8-30 22:00:00,26.2,,26.5,26.1,,0,,,203,1.1,209,1.8,201,7.5,,,,,,,,,,,
2013-8-30 21:00:00,26.5,,27.1,26.5,,0,,,240,1.3,204,2,192,6.3,,,,,,,,,,,
2013-8-30 20:00:00,27,,27.8,27,,0,,,195,1.3,208,1.6,195,8.9,,,,,,,,,,,
2013-8-30 19:00:00,27.9,,28.8,27.9,,0,,,195,1.8,208,2.1,195,7.8,,,,,,,,,,,
2013-8-30 18:00:00,28.8,,29.5,28.8,,0,,,243,1,213,2.2,248,6.6,,,,,,,,,,,
2013-8-30 17:00:00,29.5,,30,29.5,,0,,,198,1.3,210,1.9,212,4.9,,,,,,,,,,,
2013-8-30 16:00:00,30,,30.6,30,,0,,,240,1.4,222,1,209,5.8,,,,,,,,,,,
2013-8-30 15:00:00,30.5,,30.9,30.5,,0,,,198,2.3,208,1.3,198,7.3,,,,,,,,,,,
2013-8-30 14:00:00,30.8,,31.3,30.6,,0,,,195,3.8,208,2,192,7.9,,,,,,,,,,,
2013-8-30 13:00:00,30.7,,30.7,30.3,,0,,,254,2.4,216,3.1,195,8,,,,,,,,,,,
2013-8-30 12:00:00,30.5,,30.5,29.6,,0,,,203,1.8,203,1.8,251,7.7,,,,,,,,,,,
2013-8-30 11:00:00,29.7,,29.7,29.2,,0,,,248,1,233,1.7,248,6.4,,,,,,,,,,,
2013-8-30 10:00:00,29.1,,29.4,28.8,,0,,,206,0.9,210,0.9,195,7.4,,,,,,,,,,,
2013-8-30 9:00:00,29,,29.2,28.2,,0,,,198,1.8,221,1.5,254,6.9,,,,,,,,,,,
2013-8-30 8:00:00,28.3,,28.3,27.6,,0,,,206,1.4,220,1.7,251,4.5,,,,,,,,,,,
2013-8-30 7:00:00,27.5,,27.6,27.4,,0,,,203,0.9,198,1.2,192,3.4,,,,,,,,,,,
