name,lon,lat,cap,type,svf,district
徐家汇公园,121.4369972,31.1996,1.0,1,0.9641,上海市区
闸北公园,121.4530028,31.2725,1.0,1,0.8649,上海市区
静安公园,121.4400028,31.2236,1.0,1,0.2781,上海市区
延中绿地,121.4411306,31.22362222,1.0,1,0.9053,上海市区
大宁灵石公园,121.4349972,31.2773,1.0,1,0.9948,上海市区
四平科技公园,121.5029972,31.2891,1.0,1,0.9476,上海市区
曲阳公园,121.4830028,31.2882,1.0,1,0.9765999999999999,上海市区
徐家汇,121.431375,31.19239722,1.0,1,0.6695,上海市区
交大,121.4225556,31.02330556,1.0,1,0.9398000000000001,闵行区
松江,121.2271528,31.01489722,1.0,1,0.9567,松江区
上大附中,121.39,31.31,1.0,1,0.5985,宝山区
襄阳公园,121.4519556,31.21946389,0.999101729,1,0.9655,上海市区
闵行,121.3671972,31.114075,0.994990893,1,0.8961,闵行区
甘泉公园,121.4225083,31.26918333,0.991347905,1,0.8366,上海市区
三泉公园,121.442,31.318,0.985852234,1,0.7304999999999999,宝山区
蓬莱公园,121.4120028,31.2083,0.982923497,1,0.5325,上海市区
安亭,121.1605556,31.29555556,0.981661511,1,0.9883,嘉定区
人民公园,121.4690028,31.2338,0.976800707,1,0.9815999999999999,上海市区
淮海公园,121.473,31.2254,0.970628415,1,0.9867,上海市区
和平公园,121.4970028,31.2725,0.969234224,1,0.9912000000000001,上海市区
长寿公园,121.4347361,31.24418333,0.969009656,1,0.9929000000000001,上海市区
绿川学校,121.5466111,31.17055556,0.967079099,1,0.992,原浦东区
康健公园,121.41755,31.16604167,0.965501792,1,0.252,闵行区
真新,121.3525,31.25916667,0.959016393,1,0.8320000000000001,嘉定区
青浦,121.1277778,31.15551389,0.95787796,1,0.8787999999999999,青浦区
复兴公园,121.463625,31.21861944,0.954918033,1,0.2962,上海市区
未来岛公园,121.3708417,31.26696,0.953096539,1,0.89,上海市区
鲁迅公园,121.4789972,31.2753,0.951493375,1,0.9798,上海市区
曹路,121.6552778,31.26222222,0.94610375,1,0.9961,原浦东区
济阳公园,121.47475,31.17258333,0.942204301,1,0.9793000000000001,原浦东区
枫泾,121.0166667,30.89377778,0.903885021,1,0.9752,金山区
崇明,121.4071639,31.62519167,0.891165756,2,0.9978,崇明区
金桥,121.6111111,31.24805556,0.890681004,2,0.9609000000000001,原浦东区
中山公园,121.4120028,31.22467778,0.890635527,2,0.963,上海市区
黄兴公园,121.5233333,31.29277778,0.890410959,2,0.9825,上海市区
世博局,121.5006389,31.19294444,0.888216846,2,0.9947,原浦东区
长风公园,121.3927833,31.22334444,0.887491579,2,0.8987,上海市区
宝山,121.4854444,31.40825,0.883196721,2,0.4388,宝山区
浦东,121.7039333,31.19086667,0.880910296,2,0.8308,原浦东区
金山,121.1656944,30.89361111,0.877016129,2,0.9153,金山区
上海植物园,121.442,31.15,0.870649001,2,0.9856999999999999,闵行区
九亭,121.2843889,31.14077778,0.864339373,2,0.5226,松江区
体育公园,121.3658333,31.1475,0.857711003,2,0.7398,闵行区
川沙,121.7047222,31.18916667,0.85313272,2,0.9662000000000001,原浦东区
埔江,121.5125556,31.07772222,0.828879407,2,0.995,闵行区
三林,121.4880556,31.13805556,0.818549293,2,0.9995999999999999,原浦东区
奉贤,121.4720194,30.9209,0.818549293,2,0.8728,奉贤区
上海动物园,121.361,31.1939,0.816532258,2,0.92,闵行区
世博公园,121.4719444,31.18472222,0.776867031,2,0.8992,原浦东区
黄浦公园,121.4866667,31.24305556,0.774309454,2,0.9847,上海市区
叶榭,121.3169444,30.945,0.754032258,2,0.9972,松江区
东方体育中心,121.4716667,31.15861111,0.752301819,2,1.0,原浦东区
航头,121.5925,31.02611111,0.733760495,2,0.8096,原南汇区
陈家角,121.2858333,31.21911111,0.712204007,2,0.9698,闵行区
四团中学,121.7169667,30.94281667,0.701774085,2,0.978,奉贤区
浦东防汛办,121.5411389,31.22275,0.693327441,3,0.5740999999999999,原浦东区
陆家嘴,121.5,31.24,0.6875,3,0.9826999999999999,原浦东区
老港,121.8361111,31.04138889,0.67921147,3,0.9913,原南汇区
复兴岛,121.5605556,31.27833333,0.671146953,3,1.0,上海市区
浦江二小,121.52675,31.06986111,0.66040654,3,0.9993000000000001,闵行区
朱泾,121.1619444,30.90527778,0.656648452,3,0.4424,金山区
孙桥,121.6161111,31.16888889,0.630136986,3,0.5816,原浦东区
农业中心,121.2384167,30.99788889,0.621415771,3,0.9176000000000001,松江区
长兴岛,121.6901667,31.39197222,0.612249545,3,0.8754000000000001,崇明区
朱桥,121.1855556,31.40944444,0.603862565,3,0.9965,嘉定区
防汛前线,121.7002778,31.29222222,0.571493625,3,1.0,原浦东区
六灶中学,121.6944444,31.11638889,0.558992488,3,0.889,原南汇区
南桥新城,121.4937667,30.92423333,0.54212204,3,0.5932999999999999,奉贤区
嘉定,121.2327917,31.40527778,0.538934426,3,0.9953,嘉定区
光明中学,121.7516667,31.10527778,0.531876138,3,1.0,原南汇区
松隐,121.2331944,30.89380556,0.522793622,3,0.992,金山区
浏河,121.2852778,31.48472222,0.51935337,3,1.0,嘉定区
浦江三小,121.52925,31.02302778,0.514571949,3,1.0,闵行区
华新,121.2303333,31.24783333,0.504553734,3,1.0,青浦区
泥城公园,121.8066667,30.90583333,0.47928051,4,0.991,原南汇区
亭林,121.3369444,30.88527778,0.47654827,4,0.9995,金山区
凌桥,121.5119444,31.38138889,0.476092896,4,0.7872,原浦东区
练塘,121.0276389,30.97025,0.466757741,4,0.987,青浦区
朱行,121.3402778,30.84166667,0.443324373,4,0.9982,金山区
干巷,121.2266667,30.83305556,0.412634409,4,0.9976,金山区
朱家角,121.0372222,31.105,0.380600358,4,0.9997,青浦区
侯家镇,121.4536111,31.615,0.362350862,4,1.0,崇明区
水上运动场,121.0,31.10194444,0.358378871,4,1.0,青浦区
临港新城,121.9211111,30.905,0.353718638,4,0.9934000000000001,原南汇区
邬桥,121.3989139,30.95996667,0.328551913,4,0.9987,奉贤区
罗店度假村,121.32,31.4,0.327195149,4,1.0,宝山区
旗忠网球馆,121.3526167,31.04108333,0.325136612,4,0.8344,闵行区
奉城政府,121.6541556,30.91258333,0.319892473,4,0.7752,奉贤区
马陆大裕村,121.3166667,31.38333333,0.306675627,4,0.7698999999999999,嘉定区
海通国际,121.6772222,31.32,0.298497268,4,0.9017000000000001,原浦东区
毛桥,121.2470833,31.47588889,0.264336918,4,0.9917,嘉定区
雷达站,121.8826972,31.00763333,0.257513661,4,0.9840000000000001,原南汇区
石洞口,121.4167778,31.46844444,0.242533124,4,0.9795,宝山区
青东养老院,121.144,31.12886111,0.23804177,4,1.0,青浦区
五厍,121.1277778,30.93472222,0.223360656,4,0.9892,松江区
金汇港北闸,121.486175,31.00493056,0.14516129,4,1.0,奉贤区
青浦现代农业园区,121.0166667,30.95222222,0.145070739,4,0.9998999999999999,青浦区
五四农场,121.731675,30.86006111,0.14503643,4,1.0,奉贤区
浦南花卉,121.2456944,30.94247222,0.142600494,4,0.9611,松江区
城市沙滩,121.3494444,30.70722222,0.130464481,4,0.5702,金山区
钱圩,121.2422222,30.78833333,0.11931065,4,0.9873999999999999,金山区
天马山,121.1286111,31.09138889,0.095878136,5,0.9647,松江区
吴泾通海路,121.4833333,31.03333333,0.091397849,5,1.0,闵行区
体育场,121.3213889,30.78888889,0.086458567,5,0.7774,金山区
横沙岛,121.849425,31.29801667,0.081068942,5,0.9582999999999999,崇明区
泖港,121.1750639,30.93643611,0.068989071,5,1.0,松江区
崇明现代农业园区,121.7984167,31.59063889,0.036604536,5,0.9854,崇明区
女儿泾水闸,121.3217778,30.9865,0.024193548,5,0.9984000000000001,闵行区
西部渔村,121.0944444,31.02222222,0.024193548,5,0.9791,松江区
廊下,121.1458333,30.79,0.019265233,5,0.9956999999999999,金山区
浦江光继村,121.5495833,30.99997222,0.01867031,5,1.0,闵行区
九段沙,121.9053694,31.210625,0.0,5,0.9956999999999999,崇明区
薛家泓泵站,121.8598333,31.11311111,0.0,5,0.9984999999999999,原浦东区
沧海桑田,121.9096944,31.01541667,0.0,5,0.6029,原南汇区
永丰街道,121.2191667,30.96694444,0.0,5,0.9891,松江区
明珠湖,121.2455556,31.72833333,0.0,5,0.7624,崇明区
东滩公园,121.8786222,31.46723333,0.0,5,0.9945999999999999,崇明区
崇启大桥沪苏收费站,121.6522222,31.66583333,0.0,5,0.7615999999999999,崇明区
漕泾休闲水庄,121.3875,30.82611111,0.0,5,1.0,金山区
